rank_test_macro_f1,param_classifier__penalty,param_classifier__C,param_classifier__l1_ratio,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1
1,l2,3.0,,0.9396139889032696,0.027523034078079805,0.920369211514393,0.03644222683412651,0.8803076923076922,0.04438028241748382,0.9457545271629779,0.024643608218870985,0.9774290598290598,0.014524989009287483,0.9938074807480749
2,l2,1.0,,0.9362805063651976,0.028672262485206126,0.9157592824363787,0.03804180094789919,0.8723076923076922,0.04722851410301515,0.9428973843058351,0.02562258708673509,0.9793846153846154,0.012933311191975865,0.9914720452576559
2,elasticnet,3.0,0.2,0.9362805063651976,0.028672262485206126,0.9157592824363787,0.03804180094789919,0.8723076923076922,0.04722851410301515,0.9428973843058351,0.02562258708673509,0.9790358974358974,0.013067137168556448,0.9930329600000146
4,elasticnet,0.3,0.8,0.9360006974230858,0.018012804207975897,0.9148345153664303,0.024585435973583838,0.8572307692307692,0.04038161160990257,0.9430181086519115,0.015652526924813608,0.9757333333333333,0.008260451666125468,0.9702715532688538
5,l2,0.3,,0.9328686913392857,0.03130898069456531,0.9109489216593204,0.04186599373928952,0.8643076923076922,0.05480379203396217,0.9400402414486922,0.027767474397907027,0.9806222222222221,0.012812339731006085,0.9852397032745008
5,elasticnet,1.0,0.2,0.9328686913392857,0.03130898069456531,0.9109489216593204,0.04186599373928952,0.8643076923076922,0.05480379203396217,0.9400402414486922,0.027767474397907027,0.9820512820512821,0.01254737184783424,0.9883567666788335
5,elasticnet,3.0,0.5,0.9328686913392857,0.03130898069456531,0.9109489216593204,0.04186599373928952,0.8643076923076922,0.05480379203396217,0.9400402414486922,0.027767474397907027,0.981340170940171,0.012365077993005246,0.9899161721391465
8,elasticnet,0.3,0.5,0.9299310817377913,0.022028173653095933,0.907228284468274,0.02963274680108053,0.8572307692307692,0.04038161160990257,0.9373038229376258,0.019428161341543473,0.9792341880341879,0.010199445224328037,0.9774409777856686
9,l1,1.0,,0.9297596637629442,0.026652576183315648,0.9068396923986987,0.036136208780048605,0.8569230769230769,0.04849449428885056,0.9372635814889335,0.023316577397167065,0.9811555555555556,0.01244952277334159,0.9813568830019769
10,l2,0.1,,0.9294568763133739,0.03339348656104497,0.9061385608822622,0.0448560486733501,0.8563076923076922,0.060401810388636956,0.9371830985915492,0.02948256720923868,0.9818666666666667,0.01198649445762673,0.978271355512659
10,elasticnet,3.0,0.8,0.9294568763133739,0.03339348656104497,0.9061385608822622,0.0448560486733501,0.8563076923076922,0.060401810388636956,0.9371830985915492,0.02948256720923868,0.9824068376068376,0.012722278465261336,0.9891382644604223
12,l1,0.3,,0.9292760791123662,0.02224863704920813,0.9054142255113579,0.030412042240079262,0.8415384615384616,0.049461000116701834,0.937344064386318,0.01929307840833497,0.9715213675213675,0.006227479698633168,0.9670649208208907
13,elasticnet,0.1,0.2,0.9265192667118793,0.024496284328519982,0.9024179236912155,0.03319048266243989,0.8492307692307692,0.046501256584153994,0.9344466800804829,0.02144774838335726,0.978208547008547,0.007998527149100553,0.9718915145125088
14,elasticnet,1.0,0.8,0.9264365117596679,0.02844964777643576,0.9022478556640048,0.038363017813542157,0.8489230769230769,0.047312632637601035,0.9344064386317907,0.025019697999485488,0.9815111111111111,0.013044576944244733,0.9821245143665875
15,l1,3.0,,0.9263426486825221,0.02845750302264637,0.9020601295097131,0.038378680562071964,0.8486153846153845,0.04760388826046453,0.9343661971830987,0.02502824010537637,0.9816957264957266,0.01334345616169607,0.9875890197921013
15,l2,0.03,,0.9263426486825221,0.02845750302264637,0.9020601295097131,0.038378680562071964,0.8486153846153845,0.04760388826046453,0.9343661971830987,0.02502824010537637,0.980088888888889,0.012949741405492862,0.9712651479651301
17,elasticnet,0.1,0.5,0.9259075940428902,0.017319951490164392,0.9007414571244359,0.024442226413848498,0.8335384615384616,0.045683759884227605,0.934486921529175,0.014495079303840709,0.9682051282051283,0.005257403839108639,0.9525541881517444
18,elasticnet,0.3,0.2,0.9231683062947956,0.0240518005661331,0.8978152315505294,0.03245153433078195,0.8409230769230769,0.03684093426977416,0.9315492957746478,0.021144344507619896,0.9832888888888889,0.011036549827675551,0.9805858945957201
18,elasticnet,1.0,0.5,0.9231683062947956,0.0240518005661331,0.8978152315505294,0.03245153433078195,0.8409230769230769,0.03684093426977416,0.9315492957746478,0.021144344507619896,0.9820512820512821,0.012597648106638265,0.9836645413128494
20,l2,0.003,,0.916816471965749,0.03169846398701366,0.8895638371290545,0.04285473308710674,0.8406153846153845,0.0574454204559506,0.9257947686116701,0.02783399513355701,0.9625846153846155,0.017551453510886304,0.9396113673090069
21,l2,0.01,,0.9165466600631895,0.031534287348289315,0.8888391994478951,0.04241873505828523,0.8326153846153845,0.05409087247592797,0.9257947686116701,0.02783399513355701,0.9728615384615384,0.013726066134138324,0.9603222474914984
22,elasticnet,0.03,0.2,0.9158201103310741,0.012778230604650366,0.8866958203683458,0.017973320358672544,0.8095384615384615,0.02967915212747689,0.9259154929577464,0.010751623476569359,0.9673025641025641,0.0070700193420504915,0.9435540465270055
23,elasticnet,0.1,0.8,0.9153862613426735,0.019671148952103513,0.8855569571758286,0.027374197486815677,0.8015384615384615,0.035909155596049604,0.9259154929577464,0.016699183019069103,0.9551999999999999,0.011391658199893875,0.9425408007212562
24,l1,0.1,,0.9085709411658826,0.016912162699618736,0.8759156785243741,0.023359478614346393,0.7858461538461539,0.03080613171885248,0.920241448692153,0.014481666831492435,0.9423658119658119,0.017710225371071187,0.9333828097782396
25,elasticnet,0.03,0.5,0.901286334700466,0.028916349501846832,0.8651663245192062,0.0410420584212967,0.769846153846154,0.05291592080419853,0.9145271629778673,0.023909449205540906,0.9411692307692308,0.014975301847535318,0.9146641230944532
26,l2,0.001,,0.9002287990973026,0.037669096586807026,0.8667168259841709,0.05067326601363043,0.8086153846153845,0.05996132876067344,0.9115090543259556,0.03321989477246445,0.9433367521367522,0.018577484591365483,0.9284940439879239
27,elasticnet,0.01,0.2,0.8908956623724092,0.02287359978808238,0.8502701432933991,0.03228845554206011,0.7464615384615383,0.04486824894414325,0.9060362173038229,0.01905380540190101,0.9406153846153845,0.014667232471703406,0.9031462650537879
28,elasticnet,0.03,0.8,0.8725605930974905,0.028584852815163653,0.823141716164972,0.04118397804470205,0.7064615384615384,0.05338616712442173,0.8917505030181087,0.02314110740287316,0.9208273504273505,0.0291056162160743,0.8873864752638111
29,l1,0.03,,0.8646291907973171,0.03492773615543251,0.8109523809523809,0.05161147174926295,0.6901538461538462,0.06994571013910651,0.8859959758551307,0.027259118926173127,0.9149811965811967,0.030945700218972527,0.871941046814366
30,elasticnet,0.01,0.5,0.7582609207144939,0.029666511295363247,0.6442547810968864,0.04711494010980493,0.4769230769230769,0.049499267820775884,0.8120724346076459,0.019772847831764882,0.9064478632478632,0.03509752048491125,0.7739027882786761
31,l1,0.001,,0.39062968515742125,0.0013493253373313416,0.0,0.0,0.0,0.0,0.641046277665996,0.003621730382293764,0.5,0.0,0.3906252947279072
31,l1,0.003,,0.39062968515742125,0.0013493253373313416,0.0,0.0,0.0,0.0,0.641046277665996,0.003621730382293764,0.5,0.0,0.3906252947279072
31,l1,0.01,,0.39062968515742125,0.0013493253373313416,0.0,0.0,0.0,0.0,0.641046277665996,0.003621730382293764,0.5,0.0,0.3906252947279072
