metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9921428571428571,0.0015971914124998442
train_precision,0.993308504034761,0.0024706399751393926
train_recall,0.994413407821229,0.0
train_f1,0.9938594170647826,0.001238760990320578
train_roc_auc,0.9993362464738095,0.00027931591731737124
test_accuracy,0.9408450704225352,0.020890699963649766
test_precision,0.9268401360544217,0.02204780427983571
test_recall,0.9869565217391305,0.011907012119677518
test_f1,0.9558743934303845,0.01533432481668623
test_roc_auc,0.9754782608695652,0.017962363509169396
