mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__class_weight,param_estimator__criterion,param_estimator__max_depth,param_estimator__min_samples_leaf,param_learning_rate,param_n_estimators,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_f1_g,split1_test_f1_g,split2_test_f1_g,split3_test_f1_g,split4_test_f1_g,mean_test_f1_g,std_test_f1_g,rank_test_f1_g,split0_train_f1_g,split1_train_f1_g,split2_train_f1_g,split3_train_f1_g,split4_train_f1_g,mean_train_f1_g,std_train_f1_g,split0_test_f1_b,split1_test_f1_b,split2_test_f1_b,split3_test_f1_b,split4_test_f1_b,mean_test_f1_b,std_test_f1_b,rank_test_f1_b,split0_train_f1_b,split1_train_f1_b,split2_train_f1_b,split3_train_f1_b,split4_train_f1_b,mean_train_f1_b,std_train_f1_b,split0_test_recall_b,split1_test_recall_b,split2_test_recall_b,split3_test_recall_b,split4_test_recall_b,mean_test_recall_b,std_test_recall_b,rank_test_recall_b,split0_train_recall_b,split1_train_recall_b,split2_train_recall_b,split3_train_recall_b,split4_train_recall_b,mean_train_recall_b,std_train_recall_b,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.21631178855895997,0.008074787039210043,0.032953739166259766,0.0024286158431202263,,entropy,2,2,0.5,50,"{'estimator__class_weight': None, 'estimator__criterion': 'entropy', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 2, 'learning_rate': 0.5, 'n_estimators': 50}",0.9541047188106011,0.9519560741249142,0.9199267902081903,0.9519560741249142,0.9215070643642072,0.9398901443265654,0.015682478044733,1,0.9961023956346831,1.0,1.0,0.9961273962596988,1.0,0.9984459583788763,0.0019033209249629806,0.967032967032967,0.967741935483871,0.946236559139785,0.967741935483871,0.945054945054945,0.9587616684390878,0.010718744345390786,4,0.997229916897507,1.0,1.0,0.997229916897507,1.0,0.9988919667590028,0.001357058029242745,0.9411764705882353,0.9361702127659575,0.8936170212765957,0.9361702127659575,0.8979591836734694,0.9210186202140431,0.02072711115097441,1,0.9949748743718593,1.0,1.0,0.9950248756218906,1.0,0.99799994999875,0.002449602013338257,0.9230769230769231,0.88,0.84,0.88,0.88,0.8806153846153846,0.026282038774230947,1,0.99,1.0,1.0,0.9900990099009901,1.0,0.996019801980198,0.004874827659651452,0.9577464788732394,0.9571428571428572,0.9285714285714286,0.9571428571428572,0.9285714285714286,0.9458350100603623,0.014097378424461961,2,0.9964285714285714,1.0,1.0,0.99644128113879,1.0,0.9985739705134723,0.0017465269245972356,0.988034188034188,0.9697777777777777,0.944,0.983111111111111,0.9208888888888889,0.9611623931623932,0.025276737593383065,254,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.21217937469482423,0.024833898259239033,0.02764129638671875,0.004361417213575942,,entropy,2,5,0.5,50,"{'estimator__class_weight': None, 'estimator__criterion': 'entropy', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 5, 'learning_rate': 0.5, 'n_estimators': 50}",0.9541047188106011,0.9519560741249142,0.9028677150786308,0.9682971014492754,0.9215070643642072,0.9397465347655258,0.023929441198753607,2,0.9961023956346831,1.0,1.0,1.0,1.0,0.9992204791269366,0.001559041746126777,0.967032967032967,0.967741935483871,0.9361702127659575,0.9782608695652174,0.945054945054945,0.9588521859805915,0.01566834764367833,3,0.997229916897507,1.0,1.0,1.0,1.0,0.9994459833795014,0.0011080332409972194,0.9411764705882353,0.9361702127659575,0.8695652173913043,0.9583333333333334,0.8979591836734694,0.92064088355046,0.03227003053737376,2,0.9949748743718593,1.0,1.0,1.0,1.0,0.9989949748743718,0.0020100502512562903,0.9230769230769231,0.88,0.8,0.92,0.88,0.8806153846153846,0.04439308011537584,1,0.99,1.0,1.0,1.0,1.0,0.998,0.0040000000000000036,0.9577464788732394,0.9571428571428572,0.9142857142857143,0.9714285714285714,0.9285714285714286,0.9458350100603623,0.021062621812731656,2,0.9964285714285714,1.0,1.0,1.0,1.0,0.9992857142857143,0.0014285714285714238,0.988034188034188,0.9697777777777777,0.944,0.9822222222222222,0.9208888888888889,0.9609846153846153,0.025124408341567827,263,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.11493196487426757,0.0028146567920573112,0.021028709411621094,0.001493401966492467,,entropy,3,5,0.1,25,"{'estimator__class_weight': None, 'estimator__criterion': 'entropy', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 5, 'learning_rate': 0.1, 'n_estimators': 25}",0.9220978714066272,0.9519560741249142,0.9181286549707601,0.9682971014492754,0.9352451433857539,0.9391449690674663,0.018769490522743702,3,0.9601706970128023,0.9604448198198199,0.9604448198198199,0.9481821921500205,0.9522920203735145,0.9563069098351955,0.005124525817846169,0.946236559139785,0.967741935483871,0.9473684210526315,0.9782608695652174,0.9574468085106383,0.9594109187504285,0.012224317702996014,2,0.972972972972973,0.972972972972973,0.972972972972973,0.9651474530831099,0.967741935483871,0.97036166149718,0.003301750343105681,0.8979591836734694,0.9361702127659575,0.8888888888888888,0.9583333333333334,0.9130434782608695,0.9188790193845037,0.025403658206069248,3,0.9473684210526315,0.9479166666666666,0.9479166666666666,0.9312169312169312,0.9368421052631579,0.9422521581732107,0.0069483000116917415,0.8461538461538461,0.88,0.8,0.92,0.84,0.8572307692307692,0.04038161160990257,58,0.9,0.900990099009901,0.900990099009901,0.8712871287128713,0.8811881188118812,0.8908910891089109,0.012372672753911542,0.9295774647887324,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9428571428571428,0.9459154929577466,0.016456440191181556,1,0.9642857142857143,0.9644128113879004,0.9644128113879004,0.9537366548042705,0.9572953736654805,0.9608286731062531,0.004481610351073589,0.9876068376068377,0.967111111111111,0.9604444444444444,0.9751111111111112,0.9324444444444444,0.9645435897435897,0.01842463675053844,162,0.991361111111111,0.9988448844884488,0.9946094609460946,0.9946369636963697,0.997057205720572,0.9953019251925191,0.002533190338404827
0.26047115325927733,0.01040656679270888,0.04202494621276855,0.003541414026857399,balanced,gini,2,5,1.5,50,"{'estimator__class_weight': 'balanced', 'estimator__criterion': 'gini', 'estimator__max_depth': 2, 'estimator__min_samples_leaf': 5, 'learning_rate': 1.5, 'n_estimators': 50}",0.9691304347826086,0.9365942028985508,0.8489570846319827,0.9843014128728415,0.9519560741249142,0.9381878418621795,0.04740914981025514,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.9565217391304348,0.9072164948453608,0.989010989010989,0.967741935483871,0.9597504056071745,0.028400421243326483,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9166666666666666,0.7906976744186046,0.9795918367346939,0.9361702127659575,0.9166252781171845,0.06646190120549857,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.68,0.96,0.88,0.8646153846153848,0.09702802620801106,47,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9428571428571428,0.8714285714285714,0.9857142857142858,0.9571428571428572,0.94579476861167,0.03984769127329398,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9923076923076923,0.9644444444444444,0.9573333333333333,0.9964444444444445,0.9671111111111111,0.9755282051282052,0.015772069232412558,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.26887927055358884,0.021984919893282332,0.03133397102355957,0.0008041722378224681,,entropy,3,2,1.0,50,"{'estimator__class_weight': None, 'estimator__criterion': 'entropy', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 2, 'learning_rate': 1.0, 'n_estimators': 50}",0.9055851063829787,0.9529042386185244,0.9199267902081903,0.9682971014492754,0.9365942028985508,0.9366614879115038,0.022407298444222856,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9361702127659575,0.967032967032967,0.946236559139785,0.9782608695652174,0.9565217391304348,0.9568444695268724,0.014849407276653294,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875,0.9387755102040817,0.8936170212765957,0.9583333333333334,0.9166666666666666,0.9164785062961356,0.029973762912810765,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8076923076923077,0.92,0.84,0.92,0.88,0.8735384615384616,0.04431623849203406,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9154929577464789,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9428571428571428,0.9430985915492958,0.019864525845508314,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9871794871794872,0.9466666666666667,0.9706666666666667,0.9822222222222222,0.9733333333333334,0.9720136752136753,0.014001736010000328,70,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3607468605041504,0.015678347816035353,0.033936166763305665,0.005534782682066993,balanced,entropy,3,2,1.0,50,"{'estimator__class_weight': 'balanced', 'estimator__criterion': 'entropy', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 2, 'learning_rate': 1.0, 'n_estimators': 50}",0.9532587228439764,0.9377777777777778,0.9199267902081903,0.9519560741249142,0.9199267902081903,0.9365692310326098,0.014633498116942045,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.967741935483871,0.9555555555555556,0.946236559139785,0.967741935483871,0.946236559139785,0.9567025089605735,0.009634579278228776,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9387755102040817,0.92,0.8936170212765957,0.9361702127659575,0.8936170212765957,0.9164359531046461,0.019710943892151427,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8846153846153846,0.92,0.84,0.88,0.84,0.8729230769230769,0.030235368606863402,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9577464788732394,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.9285714285714286,0.9429778672032194,0.012914057093885982,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9923076923076923,0.9448888888888889,0.9671111111111111,0.9777777777777777,0.9706666666666666,0.9705504273504273,0.015465898852676067,92,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5131631374359131,0.02462515810195443,0.044317197799682614,0.0051847577366791065,,entropy,3,2,0.5,100,"{'estimator__class_weight': None, 'estimator__criterion': 'entropy', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 2, 'learning_rate': 0.5, 'n_estimators': 100}",0.9382608695652175,0.9365942028985508,0.9028677150786308,0.9682971014492754,0.9365942028985508,0.9365228183780451,0.02071377346701312,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9565217391304348,0.9565217391304348,0.9361702127659575,0.9782608695652174,0.9565217391304348,0.9567992599444958,0.013314573432245751,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.92,0.9166666666666666,0.8695652173913043,0.9583333333333334,0.9166666666666666,0.9162463768115943,0.028159849176621572,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8846153846153846,0.88,0.8,0.92,0.88,0.8729230769230769,0.03942305816134637,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9436619718309859,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.9430181086519115,0.018073025540656994,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9914529914529914,0.9546666666666667,0.9715555555555555,0.992,0.9600000000000001,0.9739350427350427,0.015519915591565486,47,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0564446449279785,0.032644906700571394,0.06568517684936523,0.007142988146630393,,entropy,3,2,0.5,200,"{'estimator__class_weight': None, 'estimator__criterion': 'entropy', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 2, 'learning_rate': 0.5, 'n_estimators': 200}",0.9382608695652175,0.9365942028985508,0.9028677150786308,0.9682971014492754,0.9365942028985508,0.9365228183780451,0.02071377346701312,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9565217391304348,0.9565217391304348,0.9361702127659575,0.9782608695652174,0.9565217391304348,0.9567992599444958,0.013314573432245751,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.92,0.9166666666666666,0.8695652173913043,0.9583333333333334,0.9166666666666666,0.9162463768115943,0.028159849176621572,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8846153846153846,0.88,0.8,0.92,0.88,0.8729230769230769,0.03942305816134637,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9436619718309859,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.9428571428571428,0.9430181086519115,0.018073025540656994,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9888888888888888,0.9502222222222223,0.9591111111111111,0.9937777777777778,0.9617777777777777,0.9707555555555555,0.01730116673436705,88,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5242257595062256,0.05119813327932395,0.03842620849609375,0.0056829810729532625,,entropy,3,1,0.5,100,"{'estimator__class_weight': None, 'estimator__criterion': 'entropy', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 1, 'learning_rate': 0.5, 'n_estimators': 100}",0.9541047188106011,0.9365942028985508,0.9028677150786308,0.9519560741249142,0.9365942028985508,0.9364233827622496,0.018329950017138177,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.967032967032967,0.9565217391304348,0.9361702127659575,0.967741935483871,0.9565217391304348,0.956797718708733,0.011403354944528063,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9411764705882353,0.9166666666666666,0.8695652173913043,0.9361702127659575,0.9166666666666666,0.9160490468157662,0.02528935764767188,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.8,0.88,0.88,0.8726153846153846,0.03995737373722567,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9577464788732394,0.9428571428571428,0.9142857142857143,0.9571428571428572,0.9428571428571428,0.9429778672032192,0.015760885878825848,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9923076923076923,0.9502222222222222,0.9617777777777778,0.9911111111111112,0.9448888888888889,0.9680615384615384,0.02006916697869255,125,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.6417977809906006,0.17554936787361086,0.05118217468261719,0.009886997677379987,balanced,entropy,3,5,0.5,100,"{'estimator__class_weight': 'balanced', 'estimator__criterion': 'entropy', 'estimator__max_depth': 3, 'estimator__min_samples_leaf': 5, 'learning_rate': 0.5, 'n_estimators': 100}",0.9382608695652175,0.9365942028985508,0.9028677150786308,0.9843014128728415,0.9199267902081903,0.9363901981246862,0.027180236194809033,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9565217391304348,0.9565217391304348,0.9361702127659575,0.989010989010989,0.946236559139785,0.9568922478355202,0.017747306990653276,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.92,0.9166666666666666,0.8695652173913043,0.9795918367346939,0.8936170212765957,0.915888148413852,0.03665375932233686,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8846153846153846,0.88,0.8,0.96,0.84,0.8729230769230769,0.05323699385570994,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9436619718309859,0.9428571428571428,0.9142857142857143,0.9857142857142858,0.9285714285714286,0.9430181086519115,0.023906739873452307,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9863247863247864,0.9466666666666667,0.944,0.9875555555555555,0.9457777777777778,0.9620649572649572,0.020332398565867812,220,1.0,1.0,1.0,1.0,1.0,1.0,0.0
