metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9992857142857143,0.0015971914124998444
train_precision,0.9988888888888889,0.0024845199749997573
train_recall,1.0,0.0
train_f1,0.9994428969359331,0.0012457203217268835
train_roc_auc,1.0,0.0
test_accuracy,0.9352112676056338,0.016058808804213186
test_precision,0.9263363004776378,0.021869505372518697
test_recall,0.9782608695652174,0.0
test_f1,0.9514851172199545,0.011503301498215587
test_roc_auc,0.9620869565217391,0.013674586974475557
