rank_test_macro_f1,param_n_estimators,param_learning_rate,param_estimator__max_depth,param_estimator__min_samples_leaf,param_estimator__criterion,param_estimator__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
10,200,0.5,3,5,entropy,balanced,0.9363901981246862,0.027180236194809033,0.9568922478355202,0.017747306990653276,0.915888148413852,0.03665375932233686,0.8729230769230769,0.05323699385570994,0.9430181086519115,0.023906739873452307,0.9620649572649572,0.020332398565867812,1.0,0.0
12,200,1.5,3,2,gini,balanced,0.936281991982732,0.020699160935866507,0.9569842738205365,0.013315858808841133,0.9155797101449276,0.028102491927051203,0.8652307692307692,0.040137043345526965,0.9430181086519115,0.018073025540656994,0.977668376068376,0.013819924930278409,1.0,0.0
13,200,1.0,3,1,entropy,,0.9361889064957248,0.023226008275708084,0.9569862632170529,0.014949068452174473,0.9153915497743963,0.03151702757138051,0.8649230769230769,0.04119401346751892,0.9429778672032192,0.0202896729842504,0.9712341880341882,0.02019859150630271,1.0,0.0
14,100,1.5,3,2,entropy,,0.936041562943197,0.022962001237641118,0.9572126355996226,0.014792320749712878,0.9148704902867715,0.031145467888819264,0.8575384615384616,0.04627266756211067,0.9430583501006036,0.02006430722304695,0.9780239316239318,0.01141315997500658,1.0,0.0
15,25,0.5,3,5,gini,balanced,0.9336448888127483,0.011828220512582279,0.954407160748959,0.008277646470113902,0.9128826168765378,0.015499421473307885,0.8732307692307693,0.028693029481537912,0.9401609657947686,0.010738210222173483,0.9685948717948717,0.020009174314821247,1.0,0.0
16,50,1.0,3,1,gini,balanced,0.9336002909928128,0.01858138419219221,0.9544952700736269,0.012442234077632916,0.9127053119119989,0.02482459582719277,0.8735384615384616,0.04431623849203406,0.9402012072434609,0.01652615911577075,0.9606632478632479,0.025709488997851478,1.0,0.0
17,25,0.5,3,2,gini,balanced,0.9334573012265348,0.027834650941644123,0.9545566635328205,0.018331352885533853,0.912357938920249,0.03735830796505066,0.8729230769230769,0.04684204857596324,0.9401609657947686,0.024598883656437292,0.9697094017094017,0.012119588200345633,1.0,0.0
18,50,1.0,1,1,gini,,0.9333936705429137,0.0463084362167736,0.9544565815849871,0.03199557837722983,0.9123307595008401,0.06068019790478793,0.8726153846153846,0.06447163497210481,0.9400804828973843,0.041857181110004686,0.9608341880341881,0.025223028020505283,0.9812428529056163,0.003830454814979494
18,50,1.0,1,2,gini,,0.9333936705429137,0.0463084362167736,0.9544565815849871,0.03199557837722983,0.9123307595008401,0.06068019790478793,0.8726153846153846,0.06447163497210481,0.9400804828973843,0.041857181110004686,0.9608341880341881,0.025223028020505283,0.9812428529056163,0.003830454814979494
18,50,1.0,1,5,gini,,0.9333936705429137,0.0463084362167736,0.9544565815849871,0.03199557837722983,0.9123307595008401,0.06068019790478793,0.8726153846153846,0.06447163497210481,0.9400804828973843,0.041857181110004686,0.9608341880341881,0.025223028020505283,0.9812428529056163,0.003830454814979494
