metric,train_diff_mean,train_diff_std,test_diff_mean,test_diff_std,test_diff_wins,test_diff_losses,test_diff_ties
accuracy,-0.0008333333333333415,0.004161091743099122,-0.0009389671361502372,0.016094266583756785,7,9,14
macro_f1,-0.0008273844518298379,0.00449422396714901,-0.00022440940669236445,0.01777141467398401,8,9,13
b_recall,0.006930693069306937,0.008682245439296651,0.022666666666666665,0.037410429426632585,11,0,19
b_f1,-0.000930623579334248,0.005720078812084812,0.0009776518218124752,0.02319597265381795,8,9,13
g_recall,-0.005214152700186211,0.0063837593712107845,-0.013768115942028987,0.01934604318835271,0,13,17
g_f1,-0.0007241453243254388,0.0032727771965049128,-0.0014264706351971783,0.012534761829511477,7,10,13
roc_auc,0.0,0.0,0.0,0.0,0,0,30
