model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fold
AdaBoost,iteration_3,42,0.9857142857142858,0.9782608695652174,1.0,0.989010989010989,1.0,0.971830985915493,0.9574468085106383,1.0,0.9782608695652174,0.9846153846153847,1
AdaBoost,iteration_3,42,0.9857651245551602,0.9782608695652174,1.0,0.989010989010989,0.9998349834983499,0.9571428571428572,0.9375,1.0,0.967741935483871,0.9773333333333334,2
AdaBoost,iteration_3,42,0.9857651245551602,0.9782608695652174,1.0,0.989010989010989,1.0,0.9142857142857143,0.8979591836734694,0.9777777777777777,0.9361702127659575,0.9413333333333334,3
AdaBoost,iteration_3,42,0.9786476868327402,0.967741935483871,1.0,0.9836065573770492,0.9993949394939494,0.9857142857142858,0.9782608695652174,1.0,0.989010989010989,0.98,4
AdaBoost,iteration_3,42,0.9786476868327402,0.9728260869565217,0.9944444444444445,0.9835164835164835,0.9993674367436743,0.8714285714285714,0.8913043478260869,0.9111111111111111,0.9010989010989011,0.9208888888888889,5
