metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9814794102694459,0.00585694558358539
train_precision,0.9781297403000895,0.0054055240447164424
train_recall,0.9933333333333334,0.004648111258522625
train_f1,0.9856687929515653,0.004521237364247389
train_roc_auc,0.9946444444444443,0.0034522306139746313
test_accuracy,0.951549295774648,0.016343305290027324
test_precision,0.9444842738205365,0.011455935960169234
test_recall,0.9822222222222223,0.018592445034090556
test_f1,0.962922491253487,0.012605631062694007
test_roc_auc,0.9790427350427351,0.018845516201395823
