model,fold,test_accuracy,test_macro_f1,test_f1_g,test_f1_b,test_recall_g,test_recall_b,test_precision_g,test_precision_b,test_roc_auc
SVM,1,0.9859154929577465,0.9847015729368671,0.989010989010989,0.9803921568627451,1.0,0.9615384615384616,0.9782608695652174,1.0,0.9982905982905983
SVM,2,0.9571428571428572,0.9529042386185244,0.967032967032967,0.9387755102040817,0.9777777777777777,0.92,0.9565217391304348,0.9583333333333334,0.9546666666666667
SVM,3,0.9571428571428572,0.9529042386185244,0.967032967032967,0.9387755102040817,0.9777777777777777,0.92,0.9565217391304348,0.9583333333333334,0.9893333333333334
SVM,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,0.9902222222222222
SVM,5,0.9285714285714286,0.9228905045164133,0.9438202247191011,0.9019607843137255,0.9333333333333333,0.92,0.9545454545454546,0.8846153846153846,0.9786666666666667
RF,1,0.9436619718309859,0.9382608695652175,0.9565217391304348,0.92,0.9777777777777777,0.8846153846153846,0.9361702127659575,0.9583333333333334,0.9914529914529914
RF,2,0.9285714285714286,0.9215070643642072,0.945054945054945,0.8979591836734694,0.9555555555555556,0.88,0.9347826086956522,0.9166666666666666,0.9675555555555556
RF,3,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,0.987111111111111
RF,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,0.984
RF,5,0.9,0.8920467063229787,0.9213483146067416,0.8627450980392157,0.9111111111111111,0.88,0.9318181818181818,0.8461538461538461,0.9622222222222222
LR,1,0.9859154929577465,0.9847015729368671,0.989010989010989,0.9803921568627451,1.0,0.9615384615384616,0.9782608695652174,1.0,0.9991452991452991
LR,2,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,0.9635555555555555
LR,3,0.9428571428571428,0.9365942028985508,0.9565217391304348,0.9166666666666666,0.9777777777777777,0.88,0.9361702127659575,0.9565217391304348,0.9902222222222223
LR,4,0.9571428571428572,0.9519560741249142,0.967741935483871,0.9361702127659575,1.0,0.88,0.9375,1.0,0.9697777777777777
LR,5,0.9142857142857143,0.9048913043478262,0.9347826086956522,0.875,0.9555555555555556,0.84,0.9148936170212766,0.9130434782608695,0.9644444444444444
AdaBoost,1,0.9577464788732394,0.9541047188106011,0.967032967032967,0.9411764705882353,0.9777777777777777,0.9230769230769231,0.9565217391304348,0.96,0.988034188034188
AdaBoost,2,0.9571428571428572,0.9519560741249142,0.967741935483871,0.9361702127659575,1.0,0.88,0.9375,1.0,0.9697777777777777
AdaBoost,3,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,0.944
AdaBoost,4,0.9571428571428572,0.9519560741249142,0.967741935483871,0.9361702127659575,1.0,0.88,0.9375,1.0,0.983111111111111
AdaBoost,5,0.9285714285714286,0.9215070643642072,0.945054945054945,0.8979591836734694,0.9555555555555556,0.88,0.9347826086956522,0.9166666666666666,0.9208888888888889
DT,1,0.9154929577464789,0.9073913043478261,0.9347826086956522,0.88,0.9555555555555556,0.8461538461538461,0.9148936170212766,0.9166666666666666,0.8961538461538462
DT,2,0.9285714285714286,0.9215070643642072,0.945054945054945,0.8979591836734694,0.9555555555555556,0.88,0.9347826086956522,0.9166666666666666,0.9324444444444445
DT,3,0.8714285714285714,0.8558682223747426,0.9032258064516129,0.8085106382978723,0.9333333333333333,0.76,0.875,0.8636363636363636,0.8831111111111112
DT,4,0.9428571428571428,0.9388111888111889,0.9545454545454546,0.9230769230769231,0.9333333333333333,0.96,0.9767441860465116,0.8888888888888888,0.9444444444444444
DT,5,0.8571428571428571,0.8470279720279721,0.8863636363636364,0.8076923076923077,0.8666666666666667,0.84,0.9069767441860465,0.7777777777777778,0.8502222222222222
Voting-Hard,1,0.971830985915493,0.9691304347826086,0.9782608695652174,0.96,1.0,0.9230769230769231,0.9574468085106383,1.0,
Voting-Hard,2,0.9428571428571428,0.9365942028985508,0.9565217391304348,0.9166666666666666,0.9777777777777777,0.88,0.9361702127659575,0.9565217391304348,
Voting-Hard,3,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,
Voting-Hard,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,
Voting-Hard,5,0.9142857142857143,0.9066666666666667,0.9333333333333333,0.88,0.9333333333333333,0.88,0.9333333333333333,0.88,
Voting-Soft,1,0.9577464788732394,0.9532587228439764,0.967741935483871,0.9387755102040817,1.0,0.8846153846153846,0.9375,1.0,1.0
Voting-Soft,2,0.9428571428571428,0.9365942028985508,0.9565217391304348,0.9166666666666666,0.9777777777777777,0.88,0.9361702127659575,0.9565217391304348,0.9697777777777777
Voting-Soft,3,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,0.9857777777777778
Voting-Soft,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,0.9884444444444445
Voting-Soft,5,0.9142857142857143,0.9066666666666667,0.9333333333333333,0.88,0.9333333333333333,0.88,0.9333333333333333,0.88,0.9671111111111111
Voting-Soft-3,1,0.971830985915493,0.9691304347826086,0.9782608695652174,0.96,1.0,0.9230769230769231,0.9574468085106383,1.0,1.0
Voting-Soft-3,2,0.9571428571428572,0.9529042386185244,0.967032967032967,0.9387755102040817,0.9777777777777777,0.92,0.9565217391304348,0.9583333333333334,0.9671111111111111
Voting-Soft-3,3,0.9428571428571428,0.9365942028985508,0.9565217391304348,0.9166666666666666,0.9777777777777777,0.88,0.9361702127659575,0.9565217391304348,0.9911111111111112
Voting-Soft-3,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,0.9875555555555556
Voting-Soft-3,5,0.9285714285714286,0.9215070643642072,0.945054945054945,0.8979591836734694,0.9555555555555556,0.88,0.9347826086956522,0.9166666666666666,0.975111111111111
Stacking,1,0.9859154929577465,0.9847015729368671,0.989010989010989,0.9803921568627451,1.0,0.9615384615384616,0.9782608695652174,1.0,0.9991452991452991
Stacking,2,0.9571428571428572,0.9529042386185244,0.967032967032967,0.9387755102040817,0.9777777777777777,0.92,0.9565217391304348,0.9583333333333334,0.9671111111111111
Stacking,3,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,0.9857777777777778
Stacking,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,0.9893333333333333
Stacking,5,0.9142857142857143,0.9066666666666667,0.9333333333333333,0.88,0.9333333333333333,0.88,0.9333333333333333,0.88,0.975111111111111
Stacking-3,1,0.9859154929577465,0.9847015729368671,0.989010989010989,0.9803921568627451,1.0,0.9615384615384616,0.9782608695652174,1.0,0.9991452991452991
Stacking-3,2,0.9571428571428572,0.9529042386185244,0.967032967032967,0.9387755102040817,0.9777777777777777,0.92,0.9565217391304348,0.9583333333333334,0.9671111111111111
Stacking-3,3,0.9571428571428572,0.9529042386185244,0.967032967032967,0.9387755102040817,0.9777777777777777,0.92,0.9565217391304348,0.9583333333333334,0.9902222222222223
Stacking-3,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,0.9875555555555556
Stacking-3,5,0.9142857142857143,0.9066666666666667,0.9333333333333333,0.88,0.9333333333333333,0.88,0.9333333333333333,0.88,0.976
