model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
SVM,iteration_2,0,0.9642857142857143,0.9617486338797814,0.9832402234636871,0.9723756906077348,0.989048066817855,0.9014084507042254,0.8823529411764706,0.9782608695652174,0.9278350515463918,0.9869565217391305
SVM,iteration_2,1,0.9642857142857143,0.9567567567567568,0.9888268156424581,0.9725274725274725,0.9943027822335306,0.9154929577464789,0.9,0.9782608695652174,0.9375,0.9695652173913044
SVM,iteration_2,2,0.9571428571428572,0.9562841530054644,0.9776536312849162,0.9668508287292817,0.9888821284363073,0.9859154929577465,0.9787234042553191,1.0,0.989247311827957,1.0
SVM,iteration_2,3,0.975,0.9725274725274725,0.9888268156424581,0.9806094182825484,0.988550251673212,0.971830985915493,0.9583333333333334,1.0,0.9787234042553191,0.991304347826087
SVM,iteration_2,4,0.975,0.967391304347826,0.994413407821229,0.9807162534435262,0.9920349576857127,0.9577464788732394,0.9574468085106383,0.9782608695652174,0.967741935483871,0.9765217391304347
