model,iteration,seed,best_threshold,train_accuracy,train_macro_f1,train_b_recall,train_b_f1,train_g_recall,train_g_f1,train_roc_auc,test_accuracy,test_macro_f1,test_b_recall,test_b_f1,test_g_recall,test_g_f1,test_roc_auc
SVM,iteration_7_iter6,0,0.4096567533513408,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9942474694396813,0.9577464788732394,0.9541047188106011,0.96,0.9411764705882353,0.9565217391304348,0.967032967032967,0.9860869565217392
SVM,iteration_7_iter6,1,0.15588537320055584,0.9857142857142858,0.9845781009032826,0.9900990099009901,0.9803921568627451,0.9832402234636871,0.9887640449438202,0.9991703080922617,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9756521739130435
SVM,iteration_7_iter6,2,0.1408133139369696,0.9785714285714285,0.976867151354924,0.9801980198019802,0.9705882352941176,0.9776536312849162,0.9831460674157303,0.9952430997289673,0.971830985915493,0.9696581196581197,1.0,0.9615384615384616,0.9565217391304348,0.9777777777777777,0.9991304347826087
SVM,iteration_7_iter6,3,0.04736657876743877,0.9821428571428571,0.9806819279435912,0.9801980198019802,0.9753694581280788,0.9832402234636871,0.9859943977591037,0.9960727916367055,0.9859154929577465,0.9844195742813254,0.96,0.9795918367346939,1.0,0.989247311827957,0.9895652173913043
SVM,iteration_7_iter6,4,0.0,0.9821428571428571,0.9805984007538907,0.9702970297029703,0.9751243781094527,0.9888268156424581,0.9860724233983287,0.9953537253166658,0.9577464788732394,0.9532587228439764,0.92,0.9387755102040817,0.9782608695652174,0.967741935483871,0.9860869565217392
