ccp_alpha,impurity
0.0,0.0
0.0028314164116633326,0.005662832823326665
0.004273504273504274,0.009936337096830939
0.004273504273504274,0.014209841370335213
0.004558404558404557,0.01876824592873977
0.004884004884004885,0.023652250812744652
0.005565493937586966,0.02921774475033162
0.005593350211997472,0.03481109496232909
0.00852480852480852,0.05186071201194613
0.008791208791208791,0.060651920803154916
0.009559154295996398,0.07977022939514772
0.0096728391637122,0.10878874688628432
0.010721247563352828,0.1409524895763428
0.010952495661975786,0.15190498523831858
0.1132823821388298,0.2651873673771484
0.19503616976946564,0.460223537146614
