model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
DecisionTree,iteration_3,0,0.95,0.9558011049723757,0.9664804469273743,0.9611111111111111,0.9525969356712208,0.8732394366197183,0.8936170212765957,0.9130434782608695,0.9032258064516129,0.8013043478260871
DecisionTree,iteration_3,1,0.9607142857142857,0.9516129032258065,0.9888268156424581,0.9698630136986301,0.9564411748437414,0.9154929577464789,0.9347826086956522,0.9347826086956522,0.9347826086956522,0.9508695652173913
DecisionTree,iteration_3,2,0.9607142857142857,0.9468085106382979,0.994413407821229,0.9700272479564033,0.9514630233973118,0.9014084507042254,0.9333333333333333,0.9130434782608695,0.9230769230769231,0.8882608695652174
DecisionTree,iteration_3,3,0.9678571428571429,0.956989247311828,0.994413407821229,0.9753424657534246,0.9606726035732064,0.8450704225352113,0.8723404255319149,0.8913043478260869,0.8817204301075269,0.8156521739130435
DecisionTree,iteration_3,4,0.9571428571428572,0.9613259668508287,0.9720670391061452,0.9666666666666667,0.9550860113944354,0.8732394366197183,0.8936170212765957,0.9130434782608695,0.9032258064516129,0.8452173913043477
