rank_test_macro_f1,param_ccp_alpha,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,0.00852480852480852,0.8909370135262321,0.0328150005919862,0.859224582795475,0.04239304124316291,0.8492307692307692,0.052937386258723865,0.9002414486921528,0.030084728810789572,0.889097435897436,0.048611778629774026,0.9617041644852611,0.012330820462876925
2,0.004273504273504274,0.8889864645158763,0.04018875431272122,0.8584391294979531,0.05024195204054111,0.8652307692307692,0.053767855160129906,0.8974245472837021,0.03771385976739569,0.8844034188034188,0.04924606789834113,0.9961357446346646,0.0024335281066702043
2,0.004884004884004885,0.8889864645158763,0.04018875431272122,0.8584391294979531,0.05024195204054111,0.8652307692307692,0.053767855160129906,0.8974245472837021,0.03771385976739569,0.8787145299145299,0.04998537344687656,0.9930378323130349,0.008249031192198403
2,0.005565493937586966,0.8889864645158763,0.04018875431272122,0.8584391294979531,0.05024195204054111,0.8652307692307692,0.053767855160129906,0.8974245472837021,0.03771385976739569,0.8833709401709402,0.04683975589305181,0.9891867377325954,0.00892107922779701
2,0.005593350211997472,0.8889864645158763,0.04018875431272122,0.8584391294979531,0.05024195204054111,0.8652307692307692,0.053767855160129906,0.8974245472837021,0.03771385976739569,0.8833709401709402,0.04683975589305181,0.9891867377325954,0.00892107922779701
6,0.0,0.8887797823091941,0.039933833718003194,0.8578237448825684,0.04945921886020473,0.8572307692307692,0.04038161160990257,0.8974245472837021,0.03771385976739569,0.8886153846153846,0.037830971560795165,1.0,0.0
6,0.0028314164116633326,0.8887797823091941,0.039933833718003194,0.8578237448825684,0.04945921886020473,0.8572307692307692,0.04038161160990257,0.8974245472837021,0.03771385976739569,0.8886153846153846,0.037830971560795165,1.0,0.0
8,0.008791208791208791,0.8880409547682809,0.03186012716689265,0.8557736024033181,0.04124822291553089,0.8492307692307692,0.052937386258723865,0.8974245472837021,0.02917030420009739,0.8884991452991453,0.0485396050692832,0.9601852063759321,0.013711728766017773
8,0.009559154295996398,0.8880409547682809,0.03186012716689265,0.8557736024033181,0.04124822291553089,0.8492307692307692,0.052937386258723865,0.8974245472837021,0.02917030420009739,0.8884991452991453,0.0485396050692832,0.9601852063759321,0.013711728766017773
8,0.0096728391637122,0.8880409547682809,0.03186012716689265,0.8557736024033181,0.04124822291553089,0.8492307692307692,0.052937386258723865,0.8974245472837021,0.02917030420009739,0.8884991452991453,0.0485396050692832,0.9601852063759321,0.013711728766017773
11,0.010721247563352828,0.8876138615229561,0.030295540421564127,0.8546327460607811,0.03906128361698176,0.8412307692307692,0.050656284620939525,0.89738430583501,0.027854234319634328,0.8902666666666667,0.05086712780723938,0.9538636074486128,0.017354247204841564
11,0.010952495661975786,0.8876138615229561,0.030295540421564127,0.8546327460607811,0.03906128361698176,0.8412307692307692,0.050656284620939525,0.89738430583501,0.027854234319634328,0.8902666666666667,0.05086712780723938,0.9538636074486128,0.017354247204841564
13,0.004558404558404557,0.8856021676533186,0.04066135539794099,0.8536772247360483,0.05125721552806738,0.8572307692307692,0.05958753692017328,0.8945674044265592,0.03795090785626503,0.8704478632478633,0.05537694407144628,0.994569823633714,0.005265793843673581
14,0.1132823821388298,0.7717903454701865,0.13505817631392078,0.6664768034200942,0.22240214622501314,0.5929230769230769,0.2703906444234267,0.8230985915492959,0.08336969627422806,0.7797435897435897,0.13259208816998558,0.8481270652469768,0.04457770718520094
