model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
RandomForest,iteration_3,0,0.9785714285714285,0.9675675675675676,1.0,0.9835164835164835,0.9996128104430555,0.9436619718309859,0.9375,0.9782608695652174,0.9574468085106383,0.9660869565217391
RandomForest,iteration_3,1,0.9857142857142858,0.9834254143646409,0.994413407821229,0.9888888888888889,0.9997234360307539,0.9295774647887324,0.9183673469387755,0.9782608695652174,0.9473684210526315,0.9652173913043478
RandomForest,iteration_3,2,0.9821428571428571,0.978021978021978,0.994413407821229,0.9861495844875346,0.9993915592676585,0.971830985915493,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9921739130434782
RandomForest,iteration_3,3,0.9785714285714285,0.9726775956284153,0.994413407821229,0.9834254143646409,0.9993915592676585,0.9014084507042254,0.9148936170212766,0.9347826086956522,0.9247311827956989,0.9600000000000001
RandomForest,iteration_3,4,0.9821428571428571,0.978021978021978,0.994413407821229,0.9861495844875346,0.9996681232369047,0.9154929577464789,0.9,0.9782608695652174,0.9375,0.9686956521739131
