rank_test_macro_f1,param_n_estimators,param_criterion,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_ccp_alpha,param_max_samples,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_g,std_test_f1_g,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,200,entropy,0.5,32,1,8,0.001,1.0,0.9460412032672763,0.029689118204468293,0.9632065923791029,0.02004481160196153,0.9288758141554494,0.03934418373284662,0.8886153846153846,0.04708396126372573,0.9515090543259559,0.02655722203486256,0.9749743589743591,0.015605450177514774,0.9945749100718535,0.003951328573207338
1,200,entropy,0.5,32,1,8,0.0,1.0,0.9460412032672763,0.029689118204468293,0.9632065923791029,0.02004481160196153,0.9288758141554494,0.03934418373284662,0.8886153846153846,0.04708396126372573,0.9515090543259559,0.02655722203486256,0.9749743589743591,0.015605450177514774,0.9945749100718535,0.003951328573207338
1,200,log_loss,0.5,32,1,8,0.001,1.0,0.9460412032672763,0.029689118204468293,0.9632065923791029,0.02004481160196153,0.9288758141554494,0.03934418373284662,0.8886153846153846,0.04708396126372573,0.9515090543259559,0.02655722203486256,0.9749743589743591,0.015605450177514774,0.9945749100718535,0.003951328573207338
4,100,entropy,0.5,32,1,2,0.001,,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9778290598290598,0.01456890093901473,1.0,0.0
4,200,log_loss,0.5,32,1,2,0.001,,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9776341880341881,0.01405793341856749,1.0,0.0
4,300,log_loss,0.5,16,1,2,0.001,1.0,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9783452991452991,0.013922912278071364,1.0,0.0
4,300,entropy,0.5,32,1,2,0.001,1.0,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9781675213675213,0.01393469380471188,1.0,0.0
4,100,log_loss,0.5,32,1,2,0.001,1.0,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9778290598290598,0.01456890093901473,1.0,0.0
4,200,log_loss,0.5,16,1,4,0.0,1.0,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9762188034188034,0.014488848553728671,1.0,0.0
4,200,entropy,0.5,32,1,2,0.0,1.0,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9776341880341881,0.01405793341856749,1.0,0.0
4,100,entropy,0.5,16,1,2,0.0,1.0,0.9430849204196889,0.034054421938562986,0.960865455255357,0.023596759334684046,0.9253043855840207,0.04454000949410266,0.8886153846153846,0.04708396126372573,0.948651911468813,0.030832513742207752,0.9777504273504274,0.014368371365512372,1.0,0.0
