mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_leaf_nodes,param_max_features,param_criterion,param_ccp_alpha,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_f1_g,split1_test_f1_g,split2_test_f1_g,split3_test_f1_g,split4_test_f1_g,mean_test_f1_g,std_test_f1_g,rank_test_f1_g,split0_train_f1_g,split1_train_f1_g,split2_train_f1_g,split3_train_f1_g,split4_train_f1_g,mean_train_f1_g,std_train_f1_g,split0_test_f1_b,split1_test_f1_b,split2_test_f1_b,split3_test_f1_b,split4_test_f1_b,mean_test_f1_b,std_test_f1_b,rank_test_f1_b,split0_train_f1_b,split1_train_f1_b,split2_train_f1_b,split3_train_f1_b,split4_train_f1_b,mean_train_f1_b,std_train_f1_b,split0_test_recall_b,split1_test_recall_b,split2_test_recall_b,split3_test_recall_b,split4_test_recall_b,mean_test_recall_b,std_test_recall_b,rank_test_recall_b,split0_train_recall_b,split1_train_recall_b,split2_train_recall_b,split3_train_recall_b,split4_train_recall_b,mean_train_recall_b,std_train_recall_b,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.5084226608276368,0.009312718937656743,0.029459333419799803,0.00034174186267023365,200,8,1,1.0,32,0.5,entropy,0.001,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.9048913043478262,0.9460412032672763,0.029689118204468293,1,1.0,0.9922375690607734,0.9883821887790962,0.9961273962596988,0.9961273962596988,0.9945749100718535,0.003951328573207338,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9347826086956522,0.9632065923791029,0.02004481160196153,1,1.0,0.994475138121547,0.9916897506925207,0.997229916897507,0.997229916897507,0.9961249445218163,0.0028231467663892857,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.875,0.9288758141554494,0.03934418373284662,1,1.0,0.99,0.9850746268656716,0.9950248756218906,0.9950248756218906,0.9930248756218905,0.005079541079738714,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,0.9801980198019802,0.9801980198019802,0.9900990099009901,0.9900990099009901,0.9881188118811881,0.007409222548067217,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9142857142857143,0.9515090543259559,0.02655722203486256,1,1.0,0.9928825622775801,0.9893238434163701,0.99644128113879,0.99644128113879,0.995017793594306,0.003629195383340049,0.9948717948717949,0.9626666666666667,0.9760000000000001,0.9884444444444445,0.9528888888888889,0.9749743589743591,0.015605450177514774,112,1.0,1.0,0.9996149614961497,1.0,1.0,0.9999229922992299,0.00015401540154011962
0.5537936210632324,0.014850964134102957,0.03020644187927246,0.000666690158796186,200,8,1,1.0,32,0.5,entropy,0.0,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.9048913043478262,0.9460412032672763,0.029689118204468293,1,1.0,0.9922375690607734,0.9883821887790962,0.9961273962596988,0.9961273962596988,0.9945749100718535,0.003951328573207338,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9347826086956522,0.9632065923791029,0.02004481160196153,1,1.0,0.994475138121547,0.9916897506925207,0.997229916897507,0.997229916897507,0.9961249445218163,0.0028231467663892857,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.875,0.9288758141554494,0.03934418373284662,1,1.0,0.99,0.9850746268656716,0.9950248756218906,0.9950248756218906,0.9930248756218905,0.005079541079738714,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,0.9801980198019802,0.9801980198019802,0.9900990099009901,0.9900990099009901,0.9881188118811881,0.007409222548067217,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9142857142857143,0.9515090543259559,0.02655722203486256,1,1.0,0.9928825622775801,0.9893238434163701,0.99644128113879,0.99644128113879,0.995017793594306,0.003629195383340049,0.9948717948717949,0.9626666666666667,0.9760000000000001,0.9884444444444445,0.9528888888888889,0.9749743589743591,0.015605450177514774,112,1.0,1.0,0.9996149614961497,1.0,1.0,0.9999229922992299,0.00015401540154011962
0.5149795055389405,0.01969147873647302,0.029609107971191408,0.0013134834492834792,200,8,1,1.0,32,0.5,log_loss,0.001,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.9048913043478262,0.9460412032672763,0.029689118204468293,1,1.0,0.9922375690607734,0.9883821887790962,0.9961273962596988,0.9961273962596988,0.9945749100718535,0.003951328573207338,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9347826086956522,0.9632065923791029,0.02004481160196153,1,1.0,0.994475138121547,0.9916897506925207,0.997229916897507,0.997229916897507,0.9961249445218163,0.0028231467663892857,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.875,0.9288758141554494,0.03934418373284662,1,1.0,0.99,0.9850746268656716,0.9950248756218906,0.9950248756218906,0.9930248756218905,0.005079541079738714,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,0.9801980198019802,0.9801980198019802,0.9900990099009901,0.9900990099009901,0.9881188118811881,0.007409222548067217,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9142857142857143,0.9515090543259559,0.02655722203486256,1,1.0,0.9928825622775801,0.9893238434163701,0.99644128113879,0.99644128113879,0.995017793594306,0.003629195383340049,0.9948717948717949,0.9626666666666667,0.9760000000000001,0.9884444444444445,0.9528888888888889,0.9749743589743591,0.015605450177514774,112,1.0,1.0,0.9996149614961497,1.0,1.0,0.9999229922992299,0.00015401540154011962
0.25840072631835936,0.005131829041685285,0.02196025848388672,0.0006398079734946274,100,2,1,,32,0.5,entropy,0.001,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': None, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.8901098901098901,0.9430849204196889,0.034054421938562986,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9230769230769231,0.960865455255357,0.023596759334684046,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.8571428571428571,0.9253043855840207,0.04454000949410266,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9,0.948651911468813,0.030832513742207752,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9935897435897436,0.9773333333333334,0.9777777777777777,0.9888888888888889,0.9515555555555555,0.9778290598290598,0.01456890093901473,31,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17
0.5300685405731201,0.008445519648363724,0.03037996292114258,0.0004618013499510151,200,2,1,,32,0.5,log_loss,0.001,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': None, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.8901098901098901,0.9430849204196889,0.034054421938562986,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9230769230769231,0.960865455255357,0.023596759334684046,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.8571428571428571,0.9253043855840207,0.04454000949410266,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9,0.948651911468813,0.030832513742207752,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9957264957264957,0.9728888888888889,0.9755555555555556,0.9888888888888889,0.9551111111111111,0.9776341880341881,0.01405793341856749,38,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7999343872070312,0.020712003745274172,0.03804864883422852,0.0005956489878122746,300,2,1,1.0,16,0.5,log_loss,0.001,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.8901098901098901,0.9430849204196889,0.034054421938562986,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9230769230769231,0.960865455255357,0.023596759334684046,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.8571428571428571,0.9253043855840207,0.04454000949410266,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9,0.948651911468813,0.030832513742207752,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9957264957264957,0.9715555555555555,0.9777777777777779,0.9902222222222222,0.9564444444444445,0.9783452991452991,0.013922912278071364,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8118511199951172,0.006562873095414486,0.03915691375732422,0.0014184279228409578,300,2,1,1.0,32,0.5,entropy,0.001,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.8901098901098901,0.9430849204196889,0.034054421938562986,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9230769230769231,0.960865455255357,0.023596759334684046,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.8571428571428571,0.9253043855840207,0.04454000949410266,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9,0.948651911468813,0.030832513742207752,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9957264957264956,0.9715555555555555,0.9768888888888889,0.9902222222222222,0.9564444444444444,0.9781675213675213,0.01393469380471188,22,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,1.0,7.021666937153402e-17
0.2669707775115967,0.006168300080041159,0.02196340560913086,0.0005365899707892959,100,2,1,1.0,32,0.5,log_loss,0.001,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.8901098901098901,0.9430849204196889,0.034054421938562986,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9230769230769231,0.960865455255357,0.023596759334684046,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.8571428571428571,0.9253043855840207,0.04454000949410266,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9,0.948651911468813,0.030832513742207752,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9935897435897436,0.9773333333333334,0.9777777777777777,0.9888888888888889,0.9515555555555555,0.9778290598290598,0.01456890093901473,31,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,4.965068306494546e-17
0.5198849678039551,0.014264955608707372,0.030975723266601564,0.0005298328529259171,200,4,1,1.0,16,0.5,log_loss,0.0,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.0}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.8901098901098901,0.9430849204196889,0.034054421938562986,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9230769230769231,0.960865455255357,0.023596759334684046,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.8571428571428571,0.9253043855840207,0.04454000949410266,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9,0.948651911468813,0.030832513742207752,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9948717948717949,0.9644444444444444,0.976,0.9893333333333333,0.9564444444444445,0.9762188034188034,0.014488848553728671,79,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,4.965068306494546e-17
0.5269692420959473,0.010215294233011823,0.03160758018493652,0.002022011388223351,200,2,1,1.0,32,0.5,entropy,0.0,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.9691304347826086,0.9519560741249142,0.9199267902081903,0.9843014128728415,0.8901098901098901,0.9430849204196889,0.034054421938562986,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9782608695652174,0.967741935483871,0.946236559139785,0.989010989010989,0.9230769230769231,0.960865455255357,0.023596759334684046,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.9361702127659575,0.8936170212765957,0.9795918367346939,0.8571428571428571,0.9253043855840207,0.04454000949410266,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,0.88,0.84,0.96,0.84,0.8886153846153846,0.04708396126372573,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.971830985915493,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9,0.948651911468813,0.030832513742207752,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9957264957264957,0.9728888888888889,0.9755555555555556,0.9888888888888889,0.9551111111111111,0.9776341880341881,0.01405793341856749,38,1.0,1.0,1.0,1.0,1.0,1.0,0.0
