candidate_id,params,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,test_f1_g_mean,test_f1_g_std,test_f1_b_mean,test_f1_b_std,test_recall_b_mean,test_recall_b_std,test_roc_auc_mean,test_roc_auc_std,cv_rank_macro_f1,cv_mean_macro_f1,cv_mean_accuracy,cv_mean_f1_g,cv_mean_recall_b,cv_mean_roc_auc,cv_mean_train_macro_f1
11,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.9464788732394366,0.020890699963649763,0.9398144302708668,0.0242218333805139,0.9598151078436146,0.01519449022439499,0.919813752698119,0.03326857323217234,0.8799999999999999,0.056568542494923775,0.9715652173913043,0.010138921617657266,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9777504273504274,1.0
4,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': None, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9464788732394366,0.020890699963649763,0.9398144302708668,0.0242218333805139,0.9598151078436146,0.01519449022439499,0.919813752698119,0.03326857323217234,0.8799999999999999,0.056568542494923775,0.9711304347826089,0.010240953405521565,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9778290598290598,1.0
8,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.5, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9464788732394366,0.020890699963649763,0.9398144302708668,0.0242218333805139,0.9598151078436146,0.01519449022439499,0.919813752698119,0.03326857323217234,0.8799999999999999,0.056568542494923775,0.9711304347826089,0.010240953405521565,4,0.9430849204196889,0.948651911468813,0.960865455255357,0.8886153846153846,0.9778290598290598,1.0
12,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': None, 'max_leaf_nodes': None, 'max_features': 0.3, 'criterion': 'log_loss', 'ccp_alpha': 0.0}",0.9408450704225352,0.02089069996364977,0.9342255870944708,0.023146541618284007,0.9550611032669556,0.01596877450716236,0.9133900709219857,0.030413105630878665,0.8879999999999999,0.04381780460041328,0.974608695652174,0.011381841406364028,12,0.9428668608795497,0.9486921529175051,0.9611028055628337,0.8809230769230769,0.9774700854700855,1.0
21,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_samples': None, 'max_leaf_nodes': None, 'max_features': 0.3, 'criterion': 'log_loss', 'ccp_alpha': 0.0}",0.9408450704225352,0.02089069996364977,0.9342255870944708,0.023146541618284007,0.9550611032669556,0.01596877450716236,0.9133900709219857,0.030413105630878665,0.8879999999999999,0.04381780460041328,0.9735652173913044,0.010517785818579893,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9772991452991452,0.9984475138121546
16,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_samples': 1.0, 'max_leaf_nodes': 32, 'max_features': 0.3, 'criterion': 'gini', 'ccp_alpha': 0.0}",0.9380281690140844,0.021360212518455088,0.9312338138580657,0.023650381047363302,0.9528190533927849,0.016332896929155703,0.9096485743233463,0.031053221226123008,0.8879999999999999,0.04381780460041328,0.9685217391304348,0.01401322626653031,16,0.9398840581349758,0.9457947686116702,0.9587154313662027,0.8806153846153846,0.9701880341880342,0.9710281300973603
23,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_samples': None, 'max_leaf_nodes': 16, 'max_features': 0.3, 'criterion': 'entropy', 'ccp_alpha': 0.001}",0.9380281690140844,0.021360212518455088,0.9307831047760334,0.02451189650603215,0.9531361592710852,0.015728407460109815,0.9084300502809819,0.03338058902294186,0.8799999999999999,0.056568542494923775,0.9720000000000001,0.012288282644827515,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9739213675213676,0.9976729930640944
15,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_samples': 0.8, 'max_leaf_nodes': None, 'max_features': 0.3, 'criterion': 'log_loss', 'ccp_alpha': 0.0}",0.9352112676056338,0.023567888071382423,0.927931260853336,0.026254611802801732,0.9508057841180195,0.017893032765275176,0.9050567375886525,0.03469750430491634,0.8799999999999999,0.04898979485566356,0.9739130434782609,0.011585141386499284,14,0.9399105780319627,0.9458350100603623,0.9587616684390878,0.8809230769230769,0.9735726495726496,0.9796806168817425
14,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_samples': 0.8, 'max_leaf_nodes': None, 'max_features': 0.3, 'criterion': 'log_loss', 'ccp_alpha': 0.0}",0.9352112676056338,0.01605880880421319,0.9279076406152615,0.018033822363540442,0.9507998452689043,0.012122268499454027,0.9050154359616187,0.024129812231050186,0.8799999999999999,0.04898979485566356,0.9728695652173913,0.012086643724447994,14,0.9399105780319627,0.9458350100603623,0.9587616684390878,0.8809230769230769,0.9733880341880342,0.9796530916705238
18,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.3, 'criterion': 'log_loss', 'ccp_alpha': 0.001}",0.9352112676056338,0.023567888071382423,0.9278417913642732,0.026607417701417207,0.9508453691822586,0.01769562760629557,0.904838213546288,0.035676242619905846,0.8799999999999999,0.056568542494923775,0.9726956521739132,0.011364389045359712,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9769299145299145,0.9992254792519397
19,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 1.0, 'max_leaf_nodes': 16, 'max_features': 0.3, 'criterion': 'entropy', 'ccp_alpha': 0.0}",0.9352112676056338,0.023567888071382423,0.9278417913642732,0.026607417701417207,0.9508453691822586,0.01769562760629557,0.904838213546288,0.035676242619905846,0.8799999999999999,0.056568542494923775,0.9716521739130435,0.014636102655597227,17,0.9396659985948365,0.9458350100603623,0.9589527816736793,0.8729230769230769,0.9771213675213675,1.0
