model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
DecisionTree,iteration_2,0,0.9392857142857143,0.9550561797752809,0.9497206703910615,0.9523809523809523,0.9633829304718181,0.8732394366197183,0.8936170212765957,0.9130434782608695,0.9032258064516129,0.8104347826086956
DecisionTree,iteration_2,1,0.9464285714285714,0.9315789473684211,0.9888268156424581,0.959349593495935,0.965235909065767,0.8450704225352113,0.8431372549019608,0.9347826086956522,0.8865979381443299,0.9378260869565217
DecisionTree,iteration_2,2,0.9464285714285714,0.9270833333333334,0.994413407821229,0.9595687331536388,0.9679462359643787,0.8873239436619719,0.8653846153846154,0.9782608695652174,0.9183673469387755,0.9252173913043478
DecisionTree,iteration_2,3,0.9464285714285714,0.9408602150537635,0.9776536312849162,0.958904109589041,0.9799767686265834,0.8169014084507042,0.8666666666666667,0.8478260869565217,0.8571428571428571,0.8508695652173914
DecisionTree,iteration_2,4,0.9428571428571428,0.9405405405405406,0.9720670391061452,0.9560439560439561,0.9862547707284696,0.8732394366197183,0.8936170212765957,0.9130434782608695,0.9032258064516129,0.9043478260869565
