metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.957857142857143,0.01083267920578793
train_precision,0.938344471582268,0.014889062591846133
train_recall,1.0,0.0
train_f1,0.9681429102193748,0.00793263002224318
train_roc_auc,0.9906742629570221,0.0029126269787070782
test_accuracy,0.923943661971831,0.01605880880421319
test_precision,0.9080362144857943,0.020832481114277736
test_recall,0.9826086956521738,0.009722034684781687
test_f1,0.9437207778714167,0.011348604313454764
test_roc_auc,0.9557391304347826,0.02102388595665265
