metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9814285714285713,0.002988071523336013
train_precision,0.9790540950761946,0.002444395864148833
train_recall,0.9921787709497206,0.0030599025558947493
train_f1,0.985570944906125,0.002328744882146286
train_roc_auc,0.9952541622877371,0.002181667294229492
test_accuracy,0.9549295774647886,0.03211761760842642
test_precision,0.9468606591572799,0.03718949977240673
test_recall,0.9869565217391305,0.011907012119677518
test_f1,0.9662579277194819,0.023262748432067663
test_roc_auc,0.9874782608695651,0.008444190181780995
