rank_test_macro_f1,param_classifier__C,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,3.0,0.9465122660349069,0.016028594036824266,0.9301020408163266,0.02079007726521924,0.8969230769230769,0.018917447567925436,0.951549295774648,0.014617896642213203,0.9790427350427351,0.01685594211895787,0.9797480463578461,0.005740446681468096
2,10.0,0.936990986159526,0.022023709932082025,0.9174785062961355,0.0286263768325843,0.8815384615384616,0.041028205048081946,0.9430583501006037,0.02006430722304695,0.9783384615384616,0.017542874105448397,0.9906940798178707,0.001918457680152539
3,30.0,0.9340669940907885,0.026392780395756398,0.9140275259039786,0.033552670444241914,0.8815384615384616,0.041028205048081946,0.9402012072434609,0.0244876407063782,0.975842735042735,0.018192475519685936,0.9945786145654711,0.0030979408815247577
4,1.0,0.9330074417030149,0.028527040049509508,0.9112358276643991,0.03909849438274337,0.8649230769230769,0.054561403442013205,0.9401207243460764,0.024663313860081935,0.9810188034188034,0.01341221287335816,0.9672393032501038,0.0054239529294551735
5,0.3,0.9299963588109911,0.016635149670008228,0.9074055894328129,0.022450242745103828,0.8572307692307692,0.03147498302164779,0.9373038229376258,0.014635168157236726,0.9806700854700855,0.012180225018886243,0.9518721933303869,0.0047848218631709755
6,0.1,0.9230138318900611,0.021379696624033245,0.8972813238770685,0.028663754229357716,0.8335384615384616,0.038039530979755286,0.9316297786720323,0.018926062855537426,0.9753777777777778,0.009912605766720442,0.9320569698164783,0.0058034293203200644
