metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9671428571428571,0.007742672638813829
train_precision,0.9629416641034603,0.006994388384054746
train_recall,0.9865921787709496,0.00636969511228567
train_f1,0.9746159327181128,0.005975219092266971
train_roc_auc,0.9905636373693236,0.0025161546126254183
test_accuracy,0.9464788732394366,0.03645684255083038
test_precision,0.9353712974551522,0.04170150845652626
test_recall,0.9869565217391305,0.011907012119677518
test_f1,0.9602095406227079,0.026488313714573858
test_roc_auc,0.9848695652173914,0.012027064627492248
