model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fold
SVM,iteration_2,42,0.9642857142857143,0.9619565217391305,0.9833333333333333,0.9725274725274725,0.9851666666666667,0.9577464788732394,0.9375,1.0,0.967741935483871,0.9948717948717949,1
SVM,iteration_2,42,0.9786476868327402,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9949944994499449,0.9428571428571428,0.9361702127659575,0.9777777777777777,0.9565217391304348,0.9573333333333334,2
SVM,iteration_2,42,0.9715302491103203,0.967391304347826,0.9888888888888889,0.978021978021978,0.98998899889989,0.9,0.88,0.9777777777777777,0.9263157894736842,0.992,3
SVM,iteration_2,42,0.9679715302491103,0.9672131147540983,0.9833333333333333,0.9752066115702479,0.9907040704070407,0.9714285714285714,0.9574468085106383,1.0,0.9782608695652174,0.984,4
SVM,iteration_2,42,0.9679715302491103,0.9621621621621622,0.9888888888888889,0.9753424657534246,0.9892189218921892,0.9285714285714286,0.9347826086956522,0.9555555555555556,0.945054945054945,0.9768888888888889,5
