metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9344534824605999,0.01656031444590029
train_precision,0.9559728471976616,0.011663766675015858
train_recall,0.9411111111111111,0.01600540032320885
train_f1,0.9484614179959845,0.013068051631130465
train_roc_auc,0.9850183718371837,0.006631885433310862
test_accuracy,0.8773843058350101,0.04609503812105112
test_precision,0.8913643410852714,0.05503930321000332
test_recall,0.9244444444444445,0.01987615979999816
test_f1,0.9069522045583167,0.03234562127387678
test_roc_auc,0.8828376068376068,0.08760913067668162
