metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9943009659379765,0.0031858759062591293
train_precision,0.9955555555555555,0.0024845199749997573
train_recall,0.9955555555555555,0.0024845199749997573
train_f1,0.9955555555555555,0.0024845199749997573
train_roc_auc,0.9993270627062707,0.00045396629777889826
test_accuracy,0.9457545271629779,0.02755239159413402
test_precision,0.9366982732038236,0.025519988840516993
test_recall,0.9822222222222223,0.018592445034090556
test_f1,0.9588587662921464,0.020811717875624906
test_roc_auc,0.9774290598290598,0.016239431398602067
