mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__l1_ratio,param_classifier__penalty,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_f1_b,split1_test_f1_b,split2_test_f1_b,split3_test_f1_b,split4_test_f1_b,mean_test_f1_b,std_test_f1_b,rank_test_f1_b,split0_train_f1_b,split1_train_f1_b,split2_train_f1_b,split3_train_f1_b,split4_train_f1_b,mean_train_f1_b,std_train_f1_b,split0_test_recall_b,split1_test_recall_b,split2_test_recall_b,split3_test_recall_b,split4_test_recall_b,mean_test_recall_b,std_test_recall_b,rank_test_recall_b,split0_train_recall_b,split1_train_recall_b,split2_train_recall_b,split3_train_recall_b,split4_train_recall_b,mean_train_recall_b,std_train_recall_b,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
1.6473527908325196,0.6100361554221524,0.047588443756103514,0.01802017530939723,3.0,,l2,"{'classifier__C': 3.0, 'classifier__l1_ratio': None, 'classifier__penalty': 'l2'}",0.9847015729368671,0.9199267902081903,0.9365942028985508,0.9519560741249142,0.9048913043478262,0.9396139889032696,0.027523034078079805,1,0.9922222222222222,1.0,0.9922717271727173,0.9922717271727173,0.9922717271727173,0.9938074807480749,0.0030963189891199112,0.9803921568627451,0.8936170212765957,0.9166666666666666,0.9361702127659575,0.875,0.920369211514393,0.03644222683412651,1,0.99,1.0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.992059405940594,0.003970482205997448,0.9615384615384616,0.84,0.88,0.88,0.84,0.8803076923076922,0.04438028241748382,1,0.99,1.0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.992059405940594,0.003970482205997448,0.9859154929577465,0.9285714285714286,0.9428571428571428,0.9571428571428572,0.9142857142857143,0.9457545271629779,0.024643608218870985,1,0.9928571428571429,1.0,0.9928825622775801,0.9928825622775801,0.9928825622775801,0.9943009659379765,0.0028495340377096643,0.9991452991452991,0.9635555555555555,0.9902222222222223,0.9697777777777777,0.9644444444444444,0.9774290598290598,0.014524989009287483,16,0.9990555555555555,1.0,0.9993949394939494,0.9987898789878987,0.9993949394939494,0.9993270627062707,0.00040603980053101135
1.4738147735595704,0.3864937711876219,0.0363955020904541,0.00480295227406688,1.0,,l2,"{'classifier__C': 1.0, 'classifier__l1_ratio': None, 'classifier__penalty': 'l2'}",0.9847015729368671,0.9199267902081903,0.9199267902081903,0.9519560741249142,0.9048913043478262,0.9362805063651976,0.028672262485206126,2,0.9883071869040494,0.9961273962596988,0.9922717271727173,0.9883821887790962,0.9922717271727173,0.9914720452576559,0.0029159841131002244,0.9803921568627451,0.8936170212765957,0.8936170212765957,0.9361702127659575,0.875,0.9157592824363787,0.03804180094789919,2,0.9849246231155779,0.9950248756218906,0.9900990099009901,0.9850746268656716,0.9900990099009901,0.9890444290810241,0.0037609082164228747,0.9615384615384616,0.84,0.84,0.88,0.84,0.8723076923076922,0.04722851410301515,2,0.98,0.9900990099009901,0.9900990099009901,0.9801980198019802,0.9900990099009901,0.98609900990099,0.004899379673407407,0.9859154929577465,0.9285714285714286,0.9285714285714286,0.9571428571428572,0.9142857142857143,0.9428973843058351,0.02562258708673509,3,0.9892857142857143,0.99644128113879,0.9928825622775801,0.9893238434163701,0.9928825622775801,0.9921631926792068,0.0026712847937849678,0.9991452991452991,0.967111111111111,0.9902222222222223,0.9724444444444444,0.968,0.9793846153846154,0.012933311191975865,12,0.9990555555555555,1.0,0.9991749174917492,0.9985148514851485,0.9992849284928493,0.9992060506050604,0.0004770642759511347
1.6656185150146485,0.25266148853730086,0.024696493148803712,0.003877867693964549,3.0,0.2,elasticnet,"{'classifier__C': 3.0, 'classifier__l1_ratio': 0.2, 'classifier__penalty': 'elasticnet'}",0.9847015729368671,0.9199267902081903,0.9199267902081903,0.9519560741249142,0.9048913043478262,0.9362805063651976,0.028672262485206126,2,0.9922222222222222,0.9961273962596988,0.9922717271727173,0.9922717271727173,0.9922717271727173,0.9930329600000146,0.001547336922693528,0.9803921568627451,0.8936170212765957,0.8936170212765957,0.9361702127659575,0.875,0.9157592824363787,0.03804180094789919,2,0.99,0.9950248756218906,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9910643810649722,0.0019806185215530997,0.9615384615384616,0.84,0.84,0.88,0.84,0.8723076923076922,0.04722851410301515,2,0.99,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900792079207921,3.960396039603964e-05,0.9859154929577465,0.9285714285714286,0.9285714285714286,0.9571428571428572,0.9142857142857143,0.9428973843058351,0.02562258708673509,3,0.9928571428571429,0.99644128113879,0.9928825622775801,0.9928825622775801,0.9928825622775801,0.9935892221657345,0.0014260634693051943,0.9982905982905983,0.968,0.9902222222222223,0.9742222222222222,0.9644444444444444,0.9790358974358974,0.013067137168556448,14,0.999,1.0,0.9993399339933993,0.9987348734873487,0.9993949394939494,0.9992939493949397,0.00042656609277663644
1.6309897899627686,0.30284231268142475,0.0403693675994873,0.021026924320252768,0.3,0.8,elasticnet,"{'classifier__C': 0.3, 'classifier__l1_ratio': 0.8, 'classifier__penalty': 'elasticnet'}",0.9370567375886525,0.9365942028985508,0.9181286549707601,0.9682971014492754,0.9199267902081903,0.9360006974230858,0.018012804207975897,4,0.960565601937919,0.9805501335880504,0.9727701870232706,0.9688089688089687,0.96866287498606,0.9702715532688538,0.006493456311937316,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.9583333333333334,0.8936170212765957,0.9148345153664303,0.024585435973583838,4,0.9484536082474226,0.9748743718592965,0.964824120603015,0.9595959595959596,0.9591836734693877,0.9613863467550164,0.008591368823790647,0.8461538461538461,0.88,0.8,0.92,0.84,0.8572307692307692,0.04038161160990257,7,0.92,0.9603960396039604,0.9504950495049505,0.9405940594059405,0.9306930693069307,0.9404356435643564,0.014227912247165665,0.9436619718309859,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9430181086519115,0.015652526924813608,2,0.9642857142857143,0.9822064056939501,0.9750889679715302,0.9715302491103203,0.9715302491103203,0.972928317234367,0.0058198816441378766,0.9888888888888888,0.9706666666666666,0.9795555555555556,0.9751111111111112,0.9644444444444444,0.9757333333333333,0.008260451666125468,17,0.9899444444444445,0.9946094609460947,0.9946094609460947,0.9951595159515951,0.9942244224422442,0.9937094609460946,0.0019059482741770077
0.7702020645141602,0.04281848442226481,0.029030752182006837,0.004399216774868073,0.3,,l2,"{'classifier__C': 0.3, 'classifier__l1_ratio': None, 'classifier__penalty': 'l2'}",0.9847015729368671,0.9199267902081903,0.9028677150786308,0.9519560741249142,0.9048913043478262,0.9328686913392857,0.03130898069456531,5,0.9843741280205369,0.9883300801528303,0.9883821887790962,0.984475138121547,0.9806369812984936,0.9852397032745008,0.002896358899670799,0.9803921568627451,0.8936170212765957,0.8695652173913043,0.9361702127659575,0.875,0.9109489216593204,0.04186599373928952,5,0.9797979797979798,0.9849246231155779,0.9850746268656716,0.98,0.9751243781094527,0.9809843215777365,0.0037140761111183755,0.9615384615384616,0.84,0.8,0.88,0.84,0.8643076923076922,0.05480379203396217,4,0.97,0.9702970297029703,0.9801980198019802,0.9702970297029703,0.9702970297029703,0.9722178217821782,0.0039917570198447555,0.9859154929577465,0.9285714285714286,0.9142857142857143,0.9571428571428572,0.9142857142857143,0.9400402414486922,0.027767474397907027,5,0.9857142857142858,0.9893238434163701,0.9893238434163701,0.9857651245551602,0.9822064056939501,0.9864667005592274,0.0026658949694135722,1.0,0.9662222222222222,0.9902222222222223,0.9777777777777777,0.9688888888888888,0.9806222222222221,0.012812339731006085,10,0.9986111111111111,0.9995599559955997,0.999064906490649,0.9982398239823982,0.9987898789878988,0.9988531353135315,0.00044343440873331703
1.6117984294891357,0.23650667680879894,0.04385499954223633,0.027240571007368545,1.0,0.2,elasticnet,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.2, 'classifier__penalty': 'elasticnet'}",0.9847015729368671,0.9199267902081903,0.9028677150786308,0.9519560741249142,0.9048913043478262,0.9328686913392857,0.03130898069456531,5,0.9883071869040494,0.9883300801528303,0.9883821887790962,0.9883821887790962,0.9883821887790962,0.9883567666788335,3.1966151732938536e-05,0.9803921568627451,0.8936170212765957,0.8695652173913043,0.9361702127659575,0.875,0.9109489216593204,0.04186599373928952,5,0.9849246231155779,0.9849246231155779,0.9850746268656716,0.9850746268656716,0.9850746268656716,0.9850146253656341,7.3486529446688e-05,0.9615384615384616,0.84,0.8,0.88,0.84,0.8643076923076922,0.05480379203396217,4,0.98,0.9702970297029703,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.978178217821782,0.003941340294534572,0.9859154929577465,0.9285714285714286,0.9142857142857143,0.9571428571428572,0.9142857142857143,0.9400402414486922,0.027767474397907027,5,0.9892857142857143,0.9893238434163701,0.9893238434163701,0.9893238434163701,0.9893238434163701,0.989316217590239,1.5251652262326944e-05,0.9991452991452991,0.968,0.9893333333333334,0.9866666666666667,0.967111111111111,0.9820512820512821,0.01254737184783424,3,0.9987222222222222,0.9998899889988999,0.9991749174917492,0.9982948294829482,0.9990649064906492,0.9990293729372937,0.0005285832960529573
1.7132518768310547,0.14698121353009555,0.025043821334838866,0.0034426526417423325,3.0,0.5,elasticnet,"{'classifier__C': 3.0, 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet'}",0.9847015729368671,0.9199267902081903,0.9028677150786308,0.9519560741249142,0.9048913043478262,0.9328686913392857,0.03130898069456531,5,0.9883071869040494,0.9922375690607734,0.9922717271727173,0.9883821887790962,0.9883821887790962,0.9899161721391465,0.0019095845919205748,0.9803921568627451,0.8936170212765957,0.8695652173913043,0.9361702127659575,0.875,0.9109489216593204,0.04186599373928952,5,0.9849246231155779,0.99,0.9900990099009901,0.9850746268656716,0.9850746268656716,0.9870345773495822,0.002462486427418209,0.9615384615384616,0.84,0.8,0.88,0.84,0.8643076923076922,0.05480379203396217,4,0.98,0.9801980198019802,0.9900990099009901,0.9801980198019802,0.9801980198019802,0.982138613861386,0.0039809368310904,0.9859154929577465,0.9285714285714286,0.9142857142857143,0.9571428571428572,0.9142857142857143,0.9400402414486922,0.027767474397907027,5,0.9892857142857143,0.9928825622775801,0.9928825622775801,0.9893238434163701,0.9893238434163701,0.990739705134723,0.0017496909252426572,0.9991452991452991,0.9671111111111111,0.9893333333333334,0.983111111111111,0.968,0.981340170940171,0.012365077993005246,8,0.9988333333333334,1.0,0.9991749174917492,0.9983498349834983,0.9991749174917492,0.999106600660066,0.0005394193323690943
1.330324935913086,0.14443126309479973,0.027101612091064452,0.0063222106010334496,0.3,0.5,elasticnet,"{'classifier__C': 0.3, 'classifier__l1_ratio': 0.5, 'classifier__penalty': 'elasticnet'}",0.9370567375886525,0.9199267902081903,0.9028677150786308,0.9682971014492754,0.9215070643642072,0.9299310817377913,0.022028173653095933,8,0.9725916292598342,0.984475138121547,0.9767127071823205,0.9767127071823205,0.9767127071823205,0.9774409777856686,0.003862297942183112,0.9166666666666666,0.8936170212765957,0.8695652173913043,0.9583333333333334,0.8979591836734694,0.907228284468274,0.02963274680108053,8,0.9644670050761421,0.98,0.97,0.97,0.97,0.9708934010152284,0.005032359406031744,0.8461538461538461,0.84,0.8,0.92,0.88,0.8572307692307692,0.04038161160990257,7,0.95,0.9702970297029703,0.9603960396039604,0.9603960396039604,0.9603960396039604,0.9602970297029703,0.006419629733642513,0.9436619718309859,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.9285714285714286,0.9373038229376258,0.019428161341543473,9,0.975,0.9857651245551602,0.9786476868327402,0.9786476868327402,0.9786476868327402,0.9793416370106762,0.0035087235489558543,0.9957264957264957,0.9724444444444444,0.9813333333333334,0.9813333333333333,0.9653333333333333,0.9792341880341879,0.010199445224328037,13,0.9939444444444445,0.9973047304730474,0.9964796479647965,0.9966996699669967,0.9958195819581959,0.9960496149614961,0.0011547703607134182
1.99799485206604,0.4286670725924777,0.04236946105957031,0.013551138184858326,1.0,,l1,"{'classifier__C': 1.0, 'classifier__l1_ratio': None, 'classifier__penalty': 'l1'}",0.9532587228439764,0.9028677150786308,0.9028677150786308,0.9682971014492754,0.9215070643642072,0.9297596637629442,0.026652576183315648,9,0.9765611920308053,0.9883300801528303,0.9845434543454346,0.9806369812984936,0.9767127071823205,0.9813568830019769,0.004557740554905509,0.9387755102040817,0.8695652173913043,0.8695652173913043,0.9583333333333334,0.8979591836734694,0.9068396923986987,0.036136208780048605,9,0.9696969696969697,0.9849246231155779,0.9801980198019802,0.9751243781094527,0.97,0.9759887981447962,0.005895193725421574,0.8846153846153846,0.8,0.8,0.92,0.88,0.8569230769230769,0.04849449428885056,9,0.96,0.9702970297029703,0.9801980198019802,0.9702970297029703,0.9603960396039604,0.9682376237623762,0.00749509528217576,0.9577464788732394,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.9285714285714286,0.9372635814889335,0.023316577397167065,10,0.9785714285714285,0.9893238434163701,0.9857651245551602,0.9822064056939501,0.9786476868327402,0.9829028978139298,0.004165919632303949,1.0,0.9724444444444444,0.9831111111111112,0.9866666666666666,0.9635555555555555,0.9811555555555556,0.01244952277334159,9,0.9971111111111112,0.998844884488449,0.9982398239823983,0.9975797579757976,0.9977997799779978,0.9979150715071509,0.0005902704413695829
0.6423475742340088,0.2517367620005219,0.04515681266784668,0.039393166560356616,0.1,,l2,"{'classifier__C': 0.1, 'classifier__l1_ratio': None, 'classifier__penalty': 'l2'}",0.9847015729368671,0.9028677150786308,0.9028677150786308,0.9519560741249142,0.9048913043478262,0.9294568763133739,0.03339348656104497,10,0.9727167694427817,0.9768151815181518,0.9806369812984936,0.984475138121547,0.9767127071823205,0.978271355512659,0.003987138265587663,0.9803921568627451,0.8695652173913043,0.8695652173913043,0.9361702127659575,0.875,0.9061385608822622,0.0448560486733501,10,0.964824120603015,0.9702970297029703,0.9751243781094527,0.98,0.97,0.9720491056830877,0.005140876086483871,0.9615384615384616,0.8,0.8,0.88,0.84,0.8563076923076922,0.060401810388636956,10,0.96,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9603960396039604,0.9662574257425742,0.004949069101564617,0.9859154929577465,0.9142857142857143,0.9142857142857143,0.9571428571428572,0.9142857142857143,0.9371830985915492,0.02948256720923868,11,0.975,0.9786476868327402,0.9822064056939501,0.9857651245551602,0.9786476868327402,0.9800533807829181,0.003653714315257025,1.0,0.9662222222222222,0.9893333333333334,0.9813333333333334,0.9724444444444444,0.9818666666666667,0.01198649445762673,5,0.9975555555555555,0.9990649064906492,0.9983498349834983,0.9978547854785478,0.9981848184818483,0.9982019801980198,0.000510921978430408
