model,seed,test_accuracy,test_macro_f1,test_f1_g,test_f1_b,test_recall_g,test_recall_b,test_precision_g,test_precision_b,test_roc_auc,seed_std,test_accuracy_std,test_macro_f1_std,test_f1_g_std,test_f1_b_std,test_recall_g_std,test_recall_b_std,test_precision_g_std,test_precision_b_std,test_roc_auc_std,model_label,model_label_cn
AdaBoost_iter4,2.0,0.9352112676056338,0.9269667022915016,0.9514851172199545,0.9024482873630488,0.9782608695652174,0.8560000000000001,0.9263363004776378,0.9552653867871259,0.9620869565217391,1.5811388300841898,0.01605880880421319,0.01888160985556546,0.011503301498215617,0.02626360714710436,0.0,0.04560701700396552,0.021869505372518677,0.0022553981871078566,0.013674586974475553,AdaBoost iter4 (default th),AdaBoost iter4 (默认阈值)
AdaBoost_th048,2.0,0.9408450704225352,0.9326954738887776,0.9560914308693427,0.9092995169082126,0.9913043478260869,0.8480000000000001,0.9235588235294119,0.9817805383022774,0.9620869565217391,1.5811388300841898,0.020890699963649756,0.024285418577285132,0.015190844534830654,0.03342160824088476,0.011907012119677526,0.05215361924162117,0.024686948082199737,0.024990943067505458,0.013674586974475553,AdaBoost iter4 (th=0.48),AdaBoost iter4 (阈=0.48)
DT_iter4,2.0,0.8816901408450704,0.8704567327416456,0.9085366993922394,0.8323767660910517,0.9086956521739131,0.8320000000000001,0.9086325792616264,0.8334814814814815,0.8645217391304347,1.5811388300841898,0.03535183210707361,0.03779406593843215,0.02822767400274093,0.047535728282056156,0.0357210363590326,0.04381780460041327,0.024054562248139198,0.056852515377959316,0.06130326856897662,DT iter4 (pruned+search),DT iter4 (剪枝+搜索)
LR_iter4,2.0,0.9408450704225352,0.9330597684080691,0.9558743934303845,0.9102451433857539,0.9869565217391305,0.8560000000000001,0.9268401360544217,0.9726896292113683,0.9754782608695652,1.5811388300841898,0.02089069996364977,0.024034823421524094,0.015334324816686272,0.03276008041636207,0.011907012119677507,0.04560701700396549,0.022047804279835718,0.024973820311496718,0.017962363509169393,LR iter4 (poly2),LR iter4 (poly2)
RF_iter2,2.0,0.9464788732394366,0.9404797037910386,0.9593675708473836,0.9215918367346939,0.9739130434782609,0.8960000000000001,0.945386216466235,0.9492463768115942,0.9802608695652173,1.5811388300841898,0.01542880443676526,0.01727647418476886,0.01162377078199207,0.02294810012138033,0.00972203468478168,0.0357770876399966,0.018386508443957696,0.0182747819098952,0.009950729281440336,RF iter2 (default),RF iter2 (默认)
RF_iter4,2.0,0.9464788732394366,0.9398144302708668,0.9598151078436146,0.919813752698119,0.9826086956521738,0.8800000000000001,0.9384072759538599,0.9650848861283643,0.9715652173913043,1.5811388300841898,0.020890699963649752,0.02422183338051389,0.01519449022439498,0.03326857323217232,0.009722034684781668,0.05656854249492373,0.02768216784191188,0.019703845749514545,0.01013892161765729,RF iter4 (local search),RF iter4 (局部搜索)
SVM_iter5,2.0,0.952112676056338,0.9462952243729964,0.9639331586329076,0.928657290113085,0.9826086956521738,0.8960000000000001,0.9463859993581151,0.9658095238095237,0.987304347826087,1.5811388300841898,0.02136021251845505,0.02491522454246694,0.015436563174946563,0.03440726407322759,0.00972203468478168,0.06066300355241234,0.029454502332204716,0.019331661902884576,0.00842177392195008,SVM iter5 (RBF+balanced),SVM iter5 (RBF+balanced)
