model,fold,test_accuracy,test_macro_f1,test_f1_g,test_f1_b,test_recall_g,test_recall_b,test_precision_g,test_precision_b,test_roc_auc
RF_iter2,1,0.9436619718309859,0.9382608695652175,0.9565217391304348,0.92,0.9777777777777777,0.8846153846153846,0.9361702127659575,0.9583333333333334,0.9914529914529914
RF_iter2,2,0.9285714285714286,0.9215070643642072,0.945054945054945,0.8979591836734694,0.9555555555555556,0.88,0.9347826086956522,0.9166666666666666,0.9675555555555556
RF_iter2,3,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,0.987111111111111
RF_iter2,4,0.9714285714285714,0.9682971014492754,0.9782608695652174,0.9583333333333334,1.0,0.92,0.9574468085106383,1.0,0.984
RF_iter2,5,0.9,0.8920467063229787,0.9213483146067416,0.8627450980392157,0.9111111111111111,0.88,0.9318181818181818,0.8461538461538461,0.9622222222222222
RF_iter4,1,0.971830985915493,0.9691304347826086,0.9782608695652174,0.96,1.0,0.9230769230769231,0.9574468085106383,1.0,0.9923076923076923
RF_iter4,2,0.9571428571428572,0.9519560741249142,0.967741935483871,0.9361702127659575,1.0,0.88,0.9375,1.0,0.9777777777777779
RF_iter4,3,0.9285714285714286,0.9199267902081903,0.946236559139785,0.8936170212765957,0.9777777777777777,0.84,0.9166666666666666,0.9545454545454546,0.9777777777777777
RF_iter4,4,0.9857142857142858,0.9843014128728415,0.989010989010989,0.9795918367346939,1.0,0.96,0.9782608695652174,1.0,0.9893333333333333
RF_iter4,5,0.9,0.8901098901098901,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.84,0.9130434782608695,0.875,0.9515555555555555
DT_iter4,1,0.9154929577464789,0.9073913043478261,0.9347826086956522,0.88,0.9555555555555556,0.8461538461538461,0.9148936170212766,0.9166666666666666,0.8961538461538462
DT_iter4,2,0.9285714285714286,0.9215070643642072,0.945054945054945,0.8979591836734694,0.9555555555555556,0.88,0.9347826086956522,0.9166666666666666,0.9324444444444445
DT_iter4,3,0.8714285714285714,0.8558682223747426,0.9032258064516129,0.8085106382978723,0.9333333333333333,0.76,0.875,0.8636363636363636,0.8831111111111112
DT_iter4,4,0.9428571428571428,0.9388111888111889,0.9545454545454546,0.9230769230769231,0.9333333333333333,0.96,0.9767441860465116,0.8888888888888888,0.9444444444444444
