mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_f1_b,split1_test_f1_b,split2_test_f1_b,split3_test_f1_b,split4_test_f1_b,mean_test_f1_b,std_test_f1_b,rank_test_f1_b,split0_train_f1_b,split1_train_f1_b,split2_train_f1_b,split3_train_f1_b,split4_train_f1_b,mean_train_f1_b,std_train_f1_b,split0_test_recall_b,split1_test_recall_b,split2_test_recall_b,split3_test_recall_b,split4_test_recall_b,mean_test_recall_b,std_test_recall_b,rank_test_recall_b,split0_train_recall_b,split1_train_recall_b,split2_train_recall_b,split3_train_recall_b,split4_train_recall_b,mean_train_recall_b,std_train_recall_b,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.011522722244262696,0.002106819223931525,0.02376875877380371,0.003866702927716677,0.00852480852480852,{'ccp_alpha': 0.00852480852480852},0.9073913043478261,0.9215070643642072,0.8558682223747426,0.9228905045164133,0.8470279720279721,0.8909370135262321,0.0328150005919862,1,0.9529042386185244,0.9491968569640499,0.95299431247909,0.9767127071823205,0.9767127071823205,0.9617041644852611,0.012330820462876925,0.88,0.8979591836734694,0.8085106382978723,0.9019607843137255,0.8076923076923077,0.859224582795475,0.04239304124316291,1,0.9387755102040817,0.934010152284264,0.9387755102040817,0.97,0.97,0.9503122345384855,0.016168896810201117,0.8461538461538461,0.88,0.76,0.92,0.84,0.8492307692307692,0.052937386258723865,8,0.92,0.9108910891089109,0.9108910891089109,0.9603960396039604,0.9603960396039604,0.9325148514851485,0.023006594742101445,0.9154929577464789,0.9285714285714286,0.8714285714285714,0.9285714285714286,0.8571428571428571,0.9002414486921528,0.030084728810789572,1,0.9571428571428572,0.9537366548042705,0.9572953736654805,0.9786476868327402,0.9786476868327402,0.9650940518556178,0.011139419992456146,0.8961538461538462,0.9306666666666668,0.8191111111111111,0.9493333333333335,0.8502222222222222,0.889097435897436,0.048611778629774026,3,0.9563333333333334,0.9576457645764577,0.9516776677667766,0.9896589658965896,0.9785478547854785,0.9667727172717273,0.01471446065378246
0.015883207321166992,0.002642583055027511,0.023691320419311525,0.005362067005382289,0.004273504273504274,{'ccp_alpha': 0.004273504273504274},0.8929110105580694,0.9066666666666667,0.8901098901098901,0.9388111888111889,0.8164335664335665,0.8889864645158763,0.04018875431272122,2,0.9961023956346831,0.9961273962596988,0.9923047431263008,0.9961441881526407,1.0,0.9961357446346646,0.0024335281066702043,0.8627450980392157,0.88,0.8571428571428571,0.9230769230769231,0.7692307692307693,0.8584391294979531,0.05024195204054111,2,0.9949748743718593,0.9950248756218906,0.9901960784313726,0.9950738916256158,1.0,0.9950539440101476,0.0031006393767240878,0.8461538461538461,0.88,0.84,0.96,0.8,0.8652307692307692,0.053767855160129906,1,0.99,0.9900990099009901,1.0,1.0,1.0,0.996019801980198,0.004874827659651452,0.9014084507042254,0.9142857142857143,0.9,0.9428571428571428,0.8285714285714286,0.8974245472837021,0.03771385976739569,2,0.9964285714285714,0.99644128113879,0.9928825622775801,0.99644128113879,1.0,0.9964387391967463,0.0022507371723793075,0.8384615384615385,0.916,0.8893333333333334,0.9560000000000001,0.8222222222222223,0.8844034188034188,0.04924606789834113,9,0.9963333333333333,0.9958745874587459,0.9994774477447744,0.9998074807480748,1.0,0.9982985698569855,0.0018055068509421886
0.012414169311523438,0.004586720665831914,0.020660400390625,0.0027951243411083555,0.004884004884004885,{'ccp_alpha': 0.004884004884004885},0.8929110105580694,0.9066666666666667,0.8901098901098901,0.9388111888111889,0.8164335664335665,0.8889864645158763,0.04018875431272122,2,0.9961023956346831,0.9961273962596988,0.9768151815181518,0.9961441881526407,1.0,0.9930378323130349,0.008249031192198403,0.8627450980392157,0.88,0.8571428571428571,0.9230769230769231,0.7692307692307693,0.8584391294979531,0.05024195204054111,2,0.9949748743718593,0.9950248756218906,0.9702970297029703,0.9950738916256158,1.0,0.9910741342644671,0.010565806573043722,0.8461538461538461,0.88,0.84,0.96,0.8,0.8652307692307692,0.053767855160129906,1,0.99,0.9900990099009901,0.9702970297029703,1.0,1.0,0.9900792079207921,0.010846063544093303,0.9014084507042254,0.9142857142857143,0.9,0.9428571428571428,0.8285714285714286,0.8974245472837021,0.03771385976739569,2,0.9964285714285714,0.99644128113879,0.9786476868327402,0.99644128113879,1.0,0.9935917641077783,0.007598393293954019,0.8384615384615385,0.916,0.8608888888888889,0.9560000000000001,0.8222222222222223,0.8787145299145299,0.04998537344687656,12,0.9963333333333333,0.9958745874587459,0.9811331133113311,0.9998074807480748,1.0,0.9946297029702971,0.006960739890690225
0.010601615905761719,0.0011678186570159906,0.023732328414916994,0.005174016696972781,0.005565493937586966,{'ccp_alpha': 0.005565493937586966},0.8929110105580694,0.9066666666666667,0.8901098901098901,0.9388111888111889,0.8164335664335665,0.8889864645158763,0.04018875431272122,2,0.9921870640102685,0.9884325644579223,0.9730093170684853,0.9923047431263008,1.0,0.9891867377325954,0.00892107922779701,0.8627450980392157,0.88,0.8571428571428571,0.9230769230769231,0.7692307692307693,0.8584391294979531,0.05024195204054111,2,0.98989898989899,0.9852216748768473,0.9655172413793104,0.9901960784313726,1.0,0.9861667969173041,0.011391393954098071,0.8461538461538461,0.88,0.84,0.96,0.8,0.8652307692307692,0.053767855160129906,1,0.98,0.9900990099009901,0.9702970297029703,1.0,1.0,0.9880792079207922,0.011573846641703791,0.9014084507042254,0.9142857142857143,0.9,0.9428571428571428,0.8285714285714286,0.8974245472837021,0.03771385976739569,2,0.9928571428571429,0.9893238434163701,0.9750889679715302,0.9928825622775801,1.0,0.9900305033045246,0.008237279189294889,0.8675213675213675,0.9146666666666666,0.8564444444444443,0.9560000000000001,0.8222222222222223,0.8833709401709402,0.04683975589305181,10,0.9960833333333333,0.9954345434543453,0.9803905390539054,0.9995599559955995,1.0,0.9942936743674368,0.00718467128609255
0.011249876022338868,0.001168516397506138,0.02247962951660156,0.002289477147223628,0.005593350211997472,{'ccp_alpha': 0.005593350211997472},0.8929110105580694,0.9066666666666667,0.8901098901098901,0.9388111888111889,0.8164335664335665,0.8889864645158763,0.04018875431272122,2,0.9921870640102685,0.9884325644579223,0.9730093170684853,0.9923047431263008,1.0,0.9891867377325954,0.00892107922779701,0.8627450980392157,0.88,0.8571428571428571,0.9230769230769231,0.7692307692307693,0.8584391294979531,0.05024195204054111,2,0.98989898989899,0.9852216748768473,0.9655172413793104,0.9901960784313726,1.0,0.9861667969173041,0.011391393954098071,0.8461538461538461,0.88,0.84,0.96,0.8,0.8652307692307692,0.053767855160129906,1,0.98,0.9900990099009901,0.9702970297029703,1.0,1.0,0.9880792079207922,0.011573846641703791,0.9014084507042254,0.9142857142857143,0.9,0.9428571428571428,0.8285714285714286,0.8974245472837021,0.03771385976739569,2,0.9928571428571429,0.9893238434163701,0.9750889679715302,0.9928825622775801,1.0,0.9900305033045246,0.008237279189294889,0.8675213675213675,0.9146666666666666,0.8564444444444443,0.9560000000000001,0.8222222222222223,0.8833709401709402,0.04683975589305181,10,0.9960833333333333,0.9954345434543453,0.9803905390539054,0.9995599559955995,1.0,0.9942936743674368,0.00718467128609255
0.01713418960571289,0.0021378960353628743,0.027756118774414064,0.001617867023477724,0.0,{'ccp_alpha': 0.0},0.8929110105580694,0.9066666666666667,0.8901098901098901,0.9377777777777778,0.8164335664335665,0.8887797823091941,0.039933833718003194,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8627450980392157,0.88,0.8571428571428571,0.92,0.7692307692307693,0.8578237448825684,0.04945921886020473,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8461538461538461,0.88,0.84,0.92,0.8,0.8572307692307692,0.04038161160990257,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9014084507042254,0.9142857142857143,0.9,0.9428571428571428,0.8285714285714286,0.8974245472837021,0.03771385976739569,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8897435897435897,0.9066666666666667,0.8866666666666666,0.9377777777777779,0.8222222222222223,0.8886153846153846,0.037830971560795165,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.01834406852722168,0.0013799405754551797,0.030323362350463866,0.006628391339731448,0.0028314164116633326,{'ccp_alpha': 0.0028314164116633326},0.8929110105580694,0.9066666666666667,0.8901098901098901,0.9377777777777778,0.8164335664335665,0.8887797823091941,0.039933833718003194,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8627450980392157,0.88,0.8571428571428571,0.92,0.7692307692307693,0.8578237448825684,0.04945921886020473,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8461538461538461,0.88,0.84,0.92,0.8,0.8572307692307692,0.04038161160990257,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9014084507042254,0.9142857142857143,0.9,0.9428571428571428,0.8285714285714286,0.8974245472837021,0.03771385976739569,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8897435897435897,0.9066666666666667,0.8866666666666666,0.9377777777777779,0.8222222222222223,0.8886153846153846,0.037830971560795165,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.01011195182800293,0.0010283780581920182,0.021866321563720703,0.0017867727588917889,0.008791208791208791,{'ccp_alpha': 0.008791208791208791},0.8929110105580694,0.9215070643642072,0.8558682223747426,0.9228905045164133,0.8470279720279721,0.8880409547682809,0.03186012716689265,8,0.945309448071879,0.9491968569640499,0.95299431247909,0.9767127071823205,0.9767127071823205,0.9601852063759321,0.013711728766017773,0.8627450980392157,0.8979591836734694,0.8085106382978723,0.9019607843137255,0.8076923076923077,0.8557736024033181,0.04124822291553089,8,0.9292929292929293,0.934010152284264,0.9387755102040817,0.97,0.97,0.9484157183562549,0.017876786270385345,0.8461538461538461,0.88,0.76,0.92,0.84,0.8492307692307692,0.052937386258723865,8,0.92,0.9108910891089109,0.9108910891089109,0.9603960396039604,0.9603960396039604,0.9325148514851485,0.023006594742101445,0.9014084507042254,0.9285714285714286,0.8714285714285714,0.9285714285714286,0.8571428571428571,0.8974245472837021,0.02917030420009739,2,0.95,0.9537366548042705,0.9572953736654805,0.9786476868327402,0.9786476868327402,0.9636654804270461,0.012448600011799333,0.8931623931623932,0.9306666666666668,0.8191111111111111,0.9493333333333335,0.8502222222222222,0.8884991452991453,0.0485396050692832,6,0.9546111111111112,0.9576457645764577,0.9516776677667766,0.9896589658965896,0.9785478547854785,0.9664282728272827,0.014972691669668187
0.012745952606201172,0.0031697398786689037,0.02280111312866211,0.001129389200780252,0.009559154295996398,{'ccp_alpha': 0.009559154295996398},0.8929110105580694,0.9215070643642072,0.8558682223747426,0.9228905045164133,0.8470279720279721,0.8880409547682809,0.03186012716689265,8,0.945309448071879,0.9491968569640499,0.95299431247909,0.9767127071823205,0.9767127071823205,0.9601852063759321,0.013711728766017773,0.8627450980392157,0.8979591836734694,0.8085106382978723,0.9019607843137255,0.8076923076923077,0.8557736024033181,0.04124822291553089,8,0.9292929292929293,0.934010152284264,0.9387755102040817,0.97,0.97,0.9484157183562549,0.017876786270385345,0.8461538461538461,0.88,0.76,0.92,0.84,0.8492307692307692,0.052937386258723865,8,0.92,0.9108910891089109,0.9108910891089109,0.9603960396039604,0.9603960396039604,0.9325148514851485,0.023006594742101445,0.9014084507042254,0.9285714285714286,0.8714285714285714,0.9285714285714286,0.8571428571428571,0.8974245472837021,0.02917030420009739,2,0.95,0.9537366548042705,0.9572953736654805,0.9786476868327402,0.9786476868327402,0.9636654804270461,0.012448600011799333,0.8931623931623932,0.9306666666666668,0.8191111111111111,0.9493333333333335,0.8502222222222222,0.8884991452991453,0.0485396050692832,6,0.9546111111111112,0.9576457645764577,0.9516776677667766,0.9896589658965896,0.9785478547854785,0.9664282728272827,0.014972691669668187
0.010818958282470703,0.0010267399487162037,0.02035689353942871,0.0008989672605890487,0.0096728391637122,{'ccp_alpha': 0.0096728391637122},0.8929110105580694,0.9215070643642072,0.8558682223747426,0.9228905045164133,0.8470279720279721,0.8880409547682809,0.03186012716689265,8,0.945309448071879,0.9491968569640499,0.95299431247909,0.9767127071823205,0.9767127071823205,0.9601852063759321,0.013711728766017773,0.8627450980392157,0.8979591836734694,0.8085106382978723,0.9019607843137255,0.8076923076923077,0.8557736024033181,0.04124822291553089,8,0.9292929292929293,0.934010152284264,0.9387755102040817,0.97,0.97,0.9484157183562549,0.017876786270385345,0.8461538461538461,0.88,0.76,0.92,0.84,0.8492307692307692,0.052937386258723865,8,0.92,0.9108910891089109,0.9108910891089109,0.9603960396039604,0.9603960396039604,0.9325148514851485,0.023006594742101445,0.9014084507042254,0.9285714285714286,0.8714285714285714,0.9285714285714286,0.8571428571428571,0.8974245472837021,0.02917030420009739,2,0.95,0.9537366548042705,0.9572953736654805,0.9786476868327402,0.9786476868327402,0.9636654804270461,0.012448600011799333,0.8931623931623932,0.9306666666666668,0.8191111111111111,0.9493333333333335,0.8502222222222222,0.8884991452991453,0.0485396050692832,6,0.9546111111111112,0.9576457645764577,0.9516776677667766,0.9896589658965896,0.9785478547854785,0.9664282728272827,0.014972691669668187
