metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9592857142857143,0.006487822187351784
train_precision,0.9545075465998274,0.005522162198950862
train_recall,0.9832402234636872,0.01310171999950676
train_f1,0.9686021010372471,0.0052181006425758535
train_roc_auc,0.9552519497759832,0.0036135281373293683
test_accuracy,0.8816901408450704,0.02745575871777175
test_precision,0.9055380820228184,0.027450528732845293
test_recall,0.9130434782608695,0.01537188654753367
test_f1,0.9092063149566656,0.020454506844133455
test_roc_auc,0.8602608695652174,0.06059300526739529
