metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9650940518556178,0.012454250166526069
train_precision,0.9631059899503098,0.013771241140656101
train_recall,0.9833333333333332,0.005555555555555591
train_f1,0.9730960944320366,0.009495642314689056
train_roc_auc,0.9667727172717273,0.01645126713705179
test_accuracy,0.9002414486921528,0.033635749352785946
test_precision,0.917239684889686,0.029977064529322965
test_recall,0.9288888888888888,0.03651483716701108
test_f1,0.9226494442569896,0.02641665975641852
test_roc_auc,0.889097435897436,0.05434962076167315
