mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_f1_b,split1_test_f1_b,split2_test_f1_b,split3_test_f1_b,split4_test_f1_b,mean_test_f1_b,std_test_f1_b,rank_test_f1_b,split0_train_f1_b,split1_train_f1_b,split2_train_f1_b,split3_train_f1_b,split4_train_f1_b,mean_train_f1_b,std_train_f1_b,split0_test_recall_b,split1_test_recall_b,split2_test_recall_b,split3_test_recall_b,split4_test_recall_b,mean_test_recall_b,std_test_recall_b,rank_test_recall_b,split0_train_recall_b,split1_train_recall_b,split2_train_recall_b,split3_train_recall_b,split4_train_recall_b,mean_train_recall_b,std_train_recall_b,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.016749238967895506,0.011562556735001618,0.02151031494140625,0.001958729640382237,8,1,"{'max_depth': 8, 'min_samples_leaf': 1}",0.9073913043478261,0.9215070643642072,0.8558682223747426,0.9388111888111889,0.8470279720279721,0.8941211503851874,0.03634374431544625,1,0.9529042386185244,0.9491968569640499,0.9489554950045413,0.984475138121547,0.9767127071823205,0.9624488871781967,0.015082443734394371,0.88,0.8979591836734694,0.8085106382978723,0.9230769230769231,0.8076923076923077,0.8634478105481145,0.047217390663141394,1,0.9387755102040817,0.934010152284264,0.9333333333333333,0.98,0.97,0.9512237991643359,0.019758308414212656,0.8461538461538461,0.88,0.76,0.96,0.84,0.8572307692307692,0.06473541964190097,4,0.92,0.9108910891089109,0.900990099009901,0.9702970297029703,0.9603960396039604,0.9325148514851485,0.027650939468396925,0.9154929577464789,0.9285714285714286,0.8714285714285714,0.9428571428571428,0.8571428571428571,0.9030985915492957,0.03316066296311622,1,0.9571428571428572,0.9537366548042705,0.9537366548042705,0.9857651245551602,0.9786476868327402,0.9658057956278597,0.013635716369742756,0.8961538461538462,0.9324444444444445,0.8831111111111112,0.9444444444444444,0.8502222222222222,0.9012752136752138,0.03405194383732017,31,0.9563333333333334,0.9576457645764577,0.9462871287128712,0.9918316831683168,0.9785478547854785,0.9661291529152916,0.016592022787999264
0.010457515716552734,0.0013683928035988088,0.02285161018371582,0.0025512361593821643,8,3,"{'max_depth': 8, 'min_samples_leaf': 3}",0.8961337513061651,0.9215070643642072,0.8558682223747426,0.9388111888111889,0.8470279720279721,0.8918696397768551,0.03579649656184381,2,0.9537343027098479,0.9491968569640499,0.95299431247909,0.9807209407632038,0.9611878453038674,0.9595668516440119,0.011268334346426672,0.8727272727272727,0.8979591836734694,0.8085106382978723,0.9230769230769231,0.8076923076923077,0.861993265093569,0.04679522376368166,2,0.9411764705882353,0.934010152284264,0.9387755102040817,0.9753694581280788,0.95,0.9478663182409319,0.014699425083307356,0.9230769230769231,0.88,0.76,0.96,0.84,0.8726153846153846,0.06925743076361071,1,0.96,0.9108910891089109,0.9108910891089109,0.9801980198019802,0.9405940594059405,0.9405148514851485,0.027238082637550343,0.9014084507042254,0.9285714285714286,0.8714285714285714,0.9428571428571428,0.8571428571428571,0.9002816901408449,0.032581311930886335,4,0.9571428571428572,0.9537366548042705,0.9572953736654805,0.9822064056939501,0.9644128113879004,0.9629588205388918,0.010232614770810172,0.9551282051282052,0.9306666666666668,0.8191111111111111,0.9551111111111112,0.8791111111111112,0.9078256410256411,0.05232581150901252,15,0.981388888888889,0.9576457645764577,0.9516776677667766,0.9924642464246425,0.9743674367436743,0.971508800880088,0.015035798962121498
0.012034463882446288,0.004711234106460418,0.0315340518951416,0.01310655035338487,,3,"{'max_depth': None, 'min_samples_leaf': 3}",0.8961337513061651,0.9215070643642072,0.8558682223747426,0.9388111888111889,0.8470279720279721,0.8918696397768551,0.03579649656184381,2,0.9537343027098479,0.9491968569640499,0.95299431247909,0.9807209407632038,0.9611878453038674,0.9595668516440119,0.011268334346426672,0.8727272727272727,0.8979591836734694,0.8085106382978723,0.9230769230769231,0.8076923076923077,0.861993265093569,0.04679522376368166,2,0.9411764705882353,0.934010152284264,0.9387755102040817,0.9753694581280788,0.95,0.9478663182409319,0.014699425083307356,0.9230769230769231,0.88,0.76,0.96,0.84,0.8726153846153846,0.06925743076361071,1,0.96,0.9108910891089109,0.9108910891089109,0.9801980198019802,0.9405940594059405,0.9405148514851485,0.027238082637550343,0.9014084507042254,0.9285714285714286,0.8714285714285714,0.9428571428571428,0.8571428571428571,0.9002816901408449,0.032581311930886335,4,0.9571428571428572,0.9537366548042705,0.9572953736654805,0.9822064056939501,0.9644128113879004,0.9629588205388918,0.010232614770810172,0.9551282051282052,0.9306666666666668,0.8191111111111111,0.9551111111111112,0.8791111111111112,0.9078256410256411,0.05232581150901252,15,0.981388888888889,0.9576457645764577,0.9516776677667766,0.9924642464246425,0.9743674367436743,0.971508800880088,0.015035798962121498
0.008382940292358398,0.0006531264091381067,0.02052030563354492,0.001564532789506941,5,3,"{'max_depth': 5, 'min_samples_leaf': 3}",0.8786324786324786,0.9215070643642072,0.8558682223747426,0.9529042386185244,0.8470279720279721,0.891187995203585,0.04020789885566682,4,0.9455555555555556,0.9491968569640499,0.95299431247909,0.9443406904357668,0.9651465663372887,0.9514467963543503,0.007487912799669672,0.8461538461538461,0.8979591836734694,0.8085106382978723,0.9387755102040817,0.8076923076923077,0.8598182972043155,0.05143010902753342,4,0.93,0.934010152284264,0.9387755102040817,0.9263157894736842,0.9552238805970149,0.9368650665118089,0.010072365851197087,0.8461538461538461,0.88,0.76,0.92,0.84,0.8492307692307692,0.052937386258723865,6,0.93,0.9108910891089109,0.9108910891089109,0.8712871287128713,0.9504950495049505,0.9147128712871286,0.026188042074416377,0.8873239436619719,0.9285714285714286,0.8714285714285714,0.9571428571428572,0.8571428571428571,0.9003219315895372,0.0371345070846354,2,0.95,0.9537366548042705,0.9572953736654805,0.9501779359430605,0.9679715302491103,0.9558362989323843,0.006631450830685991,0.9487179487179488,0.9324444444444445,0.8191111111111111,0.965777777777778,0.8791111111111112,0.9090324786324787,0.05352424913146658,6,0.9803611111111111,0.9576457645764577,0.9516776677667766,0.9467546754675468,0.9748899889988999,0.9622658415841585,0.013121422848483182
0.010282421112060547,0.001062320125865186,0.02274470329284668,0.002249329950138976,,1,"{'max_depth': None, 'min_samples_leaf': 1}",0.9073913043478261,0.9215070643642072,0.8558682223747426,0.9228905045164133,0.8470279720279721,0.8909370135262321,0.0328150005919862,5,0.9529042386185244,0.9491968569640499,0.95299431247909,0.9767127071823205,0.9767127071823205,0.9617041644852611,0.012330820462876925,0.88,0.8979591836734694,0.8085106382978723,0.9019607843137255,0.8076923076923077,0.859224582795475,0.04239304124316291,5,0.9387755102040817,0.934010152284264,0.9387755102040817,0.97,0.97,0.9503122345384855,0.016168896810201117,0.8461538461538461,0.88,0.76,0.92,0.84,0.8492307692307692,0.052937386258723865,6,0.92,0.9108910891089109,0.9108910891089109,0.9603960396039604,0.9603960396039604,0.9325148514851485,0.023006594742101445,0.9154929577464789,0.9285714285714286,0.8714285714285714,0.9285714285714286,0.8571428571428571,0.9002414486921528,0.030084728810789572,6,0.9571428571428572,0.9537366548042705,0.9572953736654805,0.9786476868327402,0.9786476868327402,0.9650940518556178,0.011139419992456146,0.8961538461538462,0.9306666666666668,0.8191111111111111,0.9493333333333335,0.8502222222222222,0.889097435897436,0.048611778629774026,39,0.9563333333333334,0.9576457645764577,0.9516776677667766,0.9896589658965896,0.9785478547854785,0.9667727172717273,0.01471446065378246
0.00924386978149414,0.0006553914960712491,0.021677350997924803,0.0044559982245484155,5,2,"{'max_depth': 5, 'min_samples_leaf': 2}",0.890937019969278,0.9215070643642072,0.8558682223747426,0.9529042386185244,0.8303591099361093,0.8903151310525723,0.04398189132136319,6,0.9531223840616105,0.9491968569640499,0.95299431247909,0.9443406904357668,0.9727701870232706,0.9544848861927575,0.009688120655683757,0.8571428571428571,0.8979591836734694,0.8085106382978723,0.9387755102040817,0.7843137254901961,0.8573403829616953,0.05656649644814395,7,0.9393939393939394,0.934010152284264,0.9387755102040817,0.9263157894736842,0.964824120603015,0.9406639023917969,0.012954039600747206,0.8076923076923077,0.88,0.76,0.92,0.8,0.8335384615384616,0.058025907292861556,19,0.93,0.9108910891089109,0.9108910891089109,0.8712871287128713,0.9504950495049505,0.9147128712871286,0.026188042074416377,0.9014084507042254,0.9285714285714286,0.8714285714285714,0.9571428571428572,0.8428571428571429,0.9002816901408451,0.040410029182942786,3,0.9571428571428572,0.9537366548042705,0.9572953736654805,0.9501779359430605,0.9750889679715302,0.9586883579054397,0.008605296436727113,0.9487179487179488,0.9324444444444445,0.8191111111111111,0.965777777777778,0.8462222222222223,0.9024547008547008,0.05857939996097737,30,0.982138888888889,0.9576457645764577,0.9516776677667766,0.9467546754675468,0.9757150715071506,0.9627864136413642,0.01377327578323434
0.008960676193237305,0.0010620726383449599,0.021050071716308592,0.0020764236297014394,5,1,"{'max_depth': 5, 'min_samples_leaf': 1}",0.9055851063829787,0.9215070643642072,0.8381128584643849,0.9529042386185244,0.8303591099361093,0.8896936755532409,0.047835919418386746,7,0.9404077810411612,0.9491968569640499,0.9489554950045413,0.9443406904357668,0.9727701870232706,0.951134202093758,0.01129445725873674,0.875,0.8979591836734694,0.782608695652174,0.9387755102040817,0.7843137254901961,0.8557314230039843,0.062447102451669005,8,0.9214659685863874,0.934010152284264,0.9333333333333333,0.9263157894736842,0.964824120603015,0.9359898728561367,0.015145441713167403,0.8076923076923077,0.88,0.72,0.92,0.8,0.8255384615384616,0.06927929922982154,21,0.88,0.9108910891089109,0.900990099009901,0.8712871287128713,0.9504950495049505,0.9027326732673266,0.027772063676134877,0.9154929577464789,0.9285714285714286,0.8571428571428571,0.9571428571428572,0.8428571428571429,0.9002414486921528,0.04341293291581953,6,0.9464285714285714,0.9537366548042705,0.9537366548042705,0.9501779359430605,0.9750889679715302,0.9558337569903406,0.010000046522471115,0.9290598290598291,0.9324444444444445,0.88,0.965777777777778,0.8462222222222223,0.9107008547008547,0.042292646206521255,4,0.9507777777777778,0.9576457645764577,0.9462871287128712,0.9467546754675468,0.9757150715071506,0.9554360836083609,0.010926024678522123
0.012895584106445312,0.0073797746239660685,0.0329434871673584,0.02325992160926944,7,3,"{'max_depth': 7, 'min_samples_leaf': 3}",0.8961337513061651,0.9215070643642072,0.8558682223747426,0.9228905045164133,0.8470279720279721,0.8886855029178999,0.031984487540915534,8,0.9537343027098479,0.9491968569640499,0.95299431247909,0.9611878453038674,0.9611878453038674,0.9556602325521446,0.004768659456328561,0.8727272727272727,0.8979591836734694,0.8085106382978723,0.9019607843137255,0.8076923076923077,0.8577700373409295,0.0417755332514094,6,0.9411764705882353,0.934010152284264,0.9387755102040817,0.95,0.95,0.9427924266153163,0.006320973057265256,0.9230769230769231,0.88,0.76,0.92,0.84,0.8646153846153846,0.06045194678273386,3,0.96,0.9108910891089109,0.9108910891089109,0.9405940594059405,0.9405940594059405,0.9325940594059405,0.019084671436902515,0.9014084507042254,0.9285714285714286,0.8714285714285714,0.9285714285714286,0.8571428571428571,0.8974245472837021,0.02917030420009739,8,0.9571428571428572,0.9537366548042705,0.9572953736654805,0.9644128113879004,0.9644128113879004,0.9594001016776819,0.004286121338952777,0.9551282051282052,0.9306666666666668,0.8191111111111111,0.96,0.8791111111111112,0.908803418803419,0.05323799499727863,12,0.981388888888889,0.9576457645764577,0.9516776677667766,0.9848734873487349,0.9743674367436743,0.9699906490649065,0.013102186641255124
0.009629154205322265,0.0011249285563551203,0.03153462409973144,0.013554453223063803,6,1,"{'max_depth': 6, 'min_samples_leaf': 1}",0.9073913043478261,0.9215070643642072,0.8558682223747426,0.9228905045164133,0.8303591099361093,0.8876032411078597,0.037603801947811245,9,0.9529042386185244,0.9491968569640499,0.95299431247909,0.9611878453038674,0.9767127071823205,0.9585991921095705,0.009869666972873305,0.88,0.8979591836734694,0.8085106382978723,0.9019607843137255,0.7843137254901961,0.8545488663550527,0.048646889464732945,9,0.9387755102040817,0.934010152284264,0.9387755102040817,0.95,0.97,0.9463122345384853,0.01295882326319854,0.8461538461538461,0.88,0.76,0.92,0.8,0.8412307692307692,0.05662207318350003,9,0.92,0.9108910891089109,0.9108910891089109,0.9405940594059405,0.9603960396039604,0.9285544554455445,0.01926658388970245,0.9154929577464789,0.9285714285714286,0.8714285714285714,0.9285714285714286,0.8428571428571429,0.89738430583501,0.034409615441606096,9,0.9571428571428572,0.9537366548042705,0.9572953736654805,0.9644128113879004,0.9786476868327402,0.9622470767666498,0.008906964921199766,0.8961538461538462,0.9324444444444445,0.8191111111111111,0.96,0.8124444444444445,0.8840307692307693,0.059331847893409104,41,0.9563333333333334,0.9576457645764577,0.9516776677667766,0.9848734873487349,0.9785478547854785,0.9658156215621563,0.013280467626810774
0.01015610694885254,0.0009208974007862855,0.026880979537963867,0.00862872202839686,8,2,"{'max_depth': 8, 'min_samples_leaf': 2}",0.8804713804713804,0.9215070643642072,0.8381128584643849,0.9388111888111889,0.8470279720279721,0.8851860928278267,0.03972159105974283,10,0.9691562018065654,0.9491968569640499,0.9489554950045413,0.984475138121547,0.9767127071823205,0.9656992798158048,0.014411544240011533,0.8518518518518519,0.8979591836734694,0.782608695652174,0.9230769230769231,0.8076923076923077,0.8526377923893451,0.05280243995679473,10,0.9607843137254902,0.934010152284264,0.9333333333333333,0.98,0.97,0.9556255598686174,0.018928918675418318,0.8846153846153846,0.88,0.72,0.96,0.84,0.8569230769230769,0.07868745755411953,5,0.98,0.9108910891089109,0.900990099009901,0.9702970297029703,0.9603960396039604,0.9445148514851486,0.03225241103919809,0.8873239436619719,0.9285714285714286,0.8571428571428571,0.9428571428571428,0.8571428571428571,0.8946076458752514,0.03561411406028882,10,0.9714285714285714,0.9537366548042705,0.9537366548042705,0.9857651245551602,0.9786476868327402,0.9686629384850025,0.013003204086377113,0.867948717948718,0.9306666666666668,0.88,0.9444444444444444,0.8502222222222222,0.8946564102564103,0.0365461220139851,34,0.9882222222222223,0.9576457645764577,0.9462871287128712,0.9918316831683168,0.9785478547854785,0.9725069306930694,0.01769317090966132
