rank_test_macro_f1,param_max_depth,param_min_samples_leaf,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
1,8,1,0.8941211503851874,0.03634374431544625,0.8634478105481145,0.047217390663141394,0.8572307692307692,0.06473541964190097,0.9030985915492957,0.03316066296311622,0.9012752136752138,0.03405194383732017,0.9624488871781967,0.015082443734394371
2,8,3,0.8918696397768551,0.03579649656184381,0.861993265093569,0.04679522376368166,0.8726153846153846,0.06925743076361071,0.9002816901408449,0.032581311930886335,0.9078256410256411,0.05232581150901252,0.9595668516440119,0.011268334346426672
2,,3,0.8918696397768551,0.03579649656184381,0.861993265093569,0.04679522376368166,0.8726153846153846,0.06925743076361071,0.9002816901408449,0.032581311930886335,0.9078256410256411,0.05232581150901252,0.9595668516440119,0.011268334346426672
4,5,3,0.891187995203585,0.04020789885566682,0.8598182972043155,0.05143010902753342,0.8492307692307692,0.052937386258723865,0.9003219315895372,0.0371345070846354,0.9090324786324787,0.05352424913146658,0.9514467963543503,0.007487912799669672
5,,1,0.8909370135262321,0.0328150005919862,0.859224582795475,0.04239304124316291,0.8492307692307692,0.052937386258723865,0.9002414486921528,0.030084728810789572,0.889097435897436,0.048611778629774026,0.9617041644852611,0.012330820462876925
6,5,2,0.8903151310525723,0.04398189132136319,0.8573403829616953,0.05656649644814395,0.8335384615384616,0.058025907292861556,0.9002816901408451,0.040410029182942786,0.9024547008547008,0.05857939996097737,0.9544848861927575,0.009688120655683757
7,5,1,0.8896936755532409,0.047835919418386746,0.8557314230039843,0.062447102451669005,0.8255384615384616,0.06927929922982154,0.9002414486921528,0.04341293291581953,0.9107008547008547,0.042292646206521255,0.951134202093758,0.01129445725873674
8,7,3,0.8886855029178999,0.031984487540915534,0.8577700373409295,0.0417755332514094,0.8646153846153846,0.06045194678273386,0.8974245472837021,0.02917030420009739,0.908803418803419,0.05323799499727863,0.9556602325521446,0.004768659456328561
9,6,1,0.8876032411078597,0.037603801947811245,0.8545488663550527,0.048646889464732945,0.8412307692307692,0.05662207318350003,0.89738430583501,0.034409615441606096,0.8840307692307693,0.059331847893409104,0.9585991921095705,0.009869666972873305
10,8,2,0.8851860928278267,0.03972159105974283,0.8526377923893451,0.05280243995679473,0.8569230769230769,0.07868745755411953,0.8946076458752514,0.03561411406028882,0.8946564102564103,0.0365461220139851,0.9656992798158048,0.014411544240011533
11,7,1,0.8847071823499084,0.03650999532388686,0.8510978859628958,0.04731272757861668,0.8412307692307692,0.05662207318350003,0.8945674044265592,0.03337275527836776,0.8775247863247863,0.055911101494811107,0.9617041644852611,0.012330820462876925
12,,2,0.8820019559688717,0.03573318369656431,0.8484145646367056,0.047586545291819715,0.8489230769230769,0.06927109936402477,0.8917505030181087,0.03202041177434573,0.8959897435897437,0.03823903976914454,0.9641467936279596,0.012610905576777633
13,6,2,0.8786681835504991,0.03942723902694642,0.8437388481962833,0.052275616135129384,0.8409230769230769,0.07209198594760602,0.8888933601609658,0.03543610881365442,0.8905675213675213,0.051577211439395615,0.961041821252269,0.010934565577031135
