model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fold
AdaBoost,iteration_2,42,0.9535714285714286,0.93717277486911,0.9944444444444445,0.9649595687331537,0.9866944444444444,0.9295774647887324,0.9,1.0,0.9473684210526315,0.9854700854700854,1
AdaBoost,iteration_2,42,0.9537366548042705,0.93717277486911,0.9944444444444445,0.9649595687331537,0.9929867986798679,0.9428571428571428,0.9183673469387755,1.0,0.9574468085106383,0.9644444444444444,2
AdaBoost,iteration_2,42,0.9537366548042705,0.9326424870466321,1.0,0.9651474530831099,0.9914466446644664,0.9142857142857143,0.8823529411764706,1.0,0.9375,0.9475555555555556,3
AdaBoost,iteration_2,42,0.9395017793594306,0.9137055837563451,1.0,0.9549071618037135,0.9908415841584158,0.9714285714285714,0.9574468085106383,1.0,0.9782608695652174,0.9675555555555555,4
AdaBoost,iteration_2,42,0.9572953736654805,0.9421052631578948,0.9944444444444445,0.9675675675675676,0.9932618261826184,0.8714285714285714,0.8913043478260869,0.9111111111111111,0.9010989010989011,0.9293333333333333,5
