threshold,accuracy,macro_f1,f1_g,f1_b,recall_g,recall_b,precision_g,precision_b,accuracy_std,macro_f1_std,f1_g_std,f1_b_std,recall_g_std,recall_b_std,precision_g_std,precision_b_std
0.1,0.8169014084507042,0.7579075070188861,0.8770772667968929,0.6387377472408792,1.0,0.48,0.7822320363520384,1.0,0.05174978329823621,0.07828777871840378,0.03168487098300755,0.12497194942150248,0.0,0.14696938456699066,0.0516435144331339,0.0
0.12,0.8394366197183099,0.7933475864039063,0.8906178583094457,0.6960773144983671,1.0,0.5439999999999999,0.8039824863284444,1.0,0.0503902642816854,0.07368385882910435,0.03141565070538001,0.11606148853994618,0.0,0.14310835055998652,0.051974224456895854,0.0
0.14,0.847887323943662,0.8073546504220479,0.8954538451316442,0.7192554557124519,0.9956521739130434,0.576,0.8147913209170816,0.9846153846153847,0.054000815528678324,0.0749251515341353,0.034737506678652,0.11525560582530657,0.009722034684781718,0.14587666023048376,0.05560061368032867,0.03440104580768907
0.16,0.8535211267605634,0.8176549007674268,0.8982816532213341,0.7370281483135198,0.9913043478260869,0.6,0.8224088434251774,0.9761904761904763,0.04057707124193783,0.05617032140084079,0.025839056883635816,0.08658082483287935,0.011907012119677526,0.12328828005937952,0.04748015613596733,0.033671751485073696
0.18,0.8788732394366197,0.8539703553294562,0.9141467823252913,0.7937939283336211,0.9913043478260869,0.6719999999999999,0.8487797108551826,0.9779761904761906,0.029206255427222175,0.03865934129508784,0.019141139809777694,0.05825781347260709,0.011907012119677526,0.0867179335547152,0.0347437649978763,0.030612835406247138
0.2,0.8816901408450704,0.8579121662967797,0.9159328432843286,0.7998914893092308,0.9913043478260869,0.6799999999999999,0.8517667238421955,0.9779761904761906,0.02745575871777177,0.03600564092415063,0.018108588120724255,0.053965578926998756,0.011907012119677526,0.08,0.0323650261464184,0.030612835406247138
0.22,0.8929577464788732,0.8731498252056896,0.9232171717171717,0.8230824786942078,0.9913043478260869,0.712,0.8642068483577917,0.9787114845938376,0.02136021251845514,0.027286293203711568,0.014380682358618425,0.04026887703254334,0.011907012119677526,0.059329587896765346,0.024569350120845795,0.02941843328429385
0.24,0.8985915492957746,0.8804386316373533,0.926972273757988,0.8339049895167185,0.9913043478260869,0.728,0.8707595549104983,0.9787114845938376,0.023143206655147894,0.029280206139862913,0.015719604371044908,0.04289952272916589,0.011907012119677526,0.05932958789676534,0.02481826171959412,0.02941843328429385
0.26,0.9014084507042254,0.8842270137978284,0.9287904555761699,0.839663572019487,0.9913043478260869,0.736,0.8739042089985487,0.9793650793650794,0.017249927766078754,0.021457110601209015,0.011875758621979397,0.031138838855876844,0.011907012119677526,0.04560701700396555,0.019265488826979166,0.02839451399999736
0.28,0.904225352112676,0.8878179780200218,0.9306869717584003,0.8449489842816436,0.9913043478260869,0.744,0.8772423802612481,0.9793650793650794,0.018363950437190628,0.02271831152780049,0.012704325437908072,0.032815783265983674,0.011907012119677526,0.04560701700396555,0.019415792566458263,0.02839451399999736
0.3,0.9183098591549296,0.9056296679599811,0.9402009257311171,0.871058410188845,0.9913043478260869,0.784,0.8942383107088989,0.980952380952381,0.0062987830352106665,0.007382698227951249,0.004657262800572442,0.010399023634317453,0.011907012119677526,0.021908902300206666,0.008820886275682562,0.026082026547865077
0.32,0.923943661971831,0.9126157926191543,0.9440721649484536,0.881159420289855,0.9913043478260869,0.8,0.9011764705882352,0.980952380952381,0.007714402218382605,0.00829177454811735,0.005999538323188006,0.0105840107730467,0.011907012119677526,0.0,0.001073965799029741,0.026082026547865077
0.34,0.923943661971831,0.9129800871384459,0.9438551275094953,0.8821050467673963,0.9869565217391305,0.808,0.9044577831132454,0.9718614718614719,0.007714402218382611,0.008656327233637745,0.005818302437960471,0.011608846050772332,0.011907012119677514,0.017888543819998312,0.007837244930388083,0.02570203914943271
0.36,0.9352112676056338,0.9264917758086242,0.9517963792459874,0.9011871723712611,0.9869565217391305,0.8400000000000001,0.9191734693877551,0.9726896292113683,0.012597566070421333,0.014524861745009702,0.009238292072431074,0.01986211183817001,0.011907012119677514,0.028284271247461877,0.013280623025233305,0.024973820311496725
0.38,0.932394366197183,0.9234526388821267,0.949603396789847,0.8973018809744063,0.9826086956521738,0.8400000000000001,0.9188469387755103,0.9635987201204592,0.011783944035691198,0.01368498558670636,0.008576324189585939,0.01883661128456779,0.009722034684781668,0.028284271247461877,0.013275290590977052,0.02040158318000395
0.4,0.932394366197183,0.9234526388821267,0.949603396789847,0.8973018809744063,0.9826086956521738,0.8400000000000001,0.9188469387755103,0.9635987201204592,0.011783944035691198,0.01368498558670636,0.008576324189585939,0.01883661128456779,0.009722034684781668,0.028284271247461877,0.013275290590977052,0.02040158318000395
0.42,0.9352112676056338,0.9267654421669345,0.9516190742814483,0.9019118100524206,0.9826086956521738,0.8480000000000001,0.9226734693877552,0.9639939770374554,0.012597566070421333,0.014752562343002722,0.009088764472477417,0.020459907148717996,0.009722034684781668,0.033466401061363005,0.01564791010951624,0.020200490632729145
0.44,0.9380281690140844,0.9300058392179992,0.9536780996760947,0.9063335787599035,0.9826086956521738,0.8560000000000001,0.9266628310898828,0.9643562958780351,0.01605880880421319,0.01880182622160301,0.011567290064792513,0.026066729775658846,0.009722034684781668,0.04560701700396552,0.021732535706799134,0.020048637486788326
