threshold,accuracy,macro_f1,f1_g,f1_b,recall_g,recall_b,precision_g,precision_b,accuracy_std,macro_f1_std,f1_g_std,f1_b_std,recall_g_std,recall_b_std,precision_g_std,precision_b_std
0.1,0.7577464788732394,0.6542262237175284,0.8430546236968255,0.46539782373823113,1.0,0.312,0.7293348366193194,1.0,0.04386594789407728,0.07968305294813584,0.02471381195008899,0.1347290796208771,0.0,0.1245792920191795,0.03773279317225603,0.0
0.12,0.8225352112676056,0.7668441054759723,0.8803693076330411,0.6533189033189034,1.0,0.496,0.7873544973544974,1.0,0.05039026428168539,0.07915888731601316,0.030276175804383916,0.1281527258036806,0.0,0.14310835055998655,0.04860113096269469,0.0
0.14,0.8366197183098592,0.7881164421952177,0.8890519571274288,0.6871809272630067,1.0,0.5359999999999999,0.8016079095281052,1.0,0.0550918513115717,0.08284102643545838,0.03381105947634231,0.13194578076085958,0.0,0.15646085772486357,0.055194434946377914,0.0
0.16,0.8647887323943662,0.8307585797078427,0.906250163224129,0.7552669961915566,1.0,0.616,0.8295479250103439,1.0,0.04628641331029575,0.06894453656401477,0.028540661419982058,0.10941832562251945,0.0,0.13145341380123982,0.04677216572260161,0.0
0.18,0.8873239436619718,0.8641777593283451,0.9201840625839296,0.8081714560727606,1.0,0.6799999999999999,0.8524367945122663,1.0,0.022269560987101318,0.029732459707092946,0.014552443809294335,0.044921276114424966,0.0,0.06324555320336762,0.024977640143524816,0.0
0.2,0.8901408450704226,0.8676708216579317,0.9221196821925977,0.8132219611232656,1.0,0.688,0.8559058744519344,1.0,0.02709209022770617,0.0356143357810358,0.01790172236371989,0.05334579218189305,0.0,0.07694153624668544,0.031034341282074877,0.0
0.22,0.904225352112676,0.8870499618924457,0.9310582109757368,0.8430417128091546,0.9956521739130434,0.736,0.874550910510955,0.9888888888888889,0.025195132140842746,0.031191120882607122,0.01741523969101682,0.04500358962543523,0.009722034684781718,0.060663003552412435,0.026037080505390692,0.024845199749997656
0.24,0.9098591549295774,0.8947144717953976,0.9345985363842507,0.8548304072065447,0.9913043478260869,0.76,0.8843193033381713,0.9793650793650794,0.025585777640260526,0.0313808022315193,0.017804456635648565,0.04501925114180562,0.011907012119677526,0.06324555320336758,0.027528760666206433,0.02839451399999736
0.26,0.9098591549295774,0.8947144717953976,0.9345985363842507,0.8548304072065447,0.9913043478260869,0.76,0.8843193033381713,0.9793650793650794,0.025585777640260526,0.0313808022315193,0.017804456635648565,0.04501925114180562,0.011907012119677526,0.06324555320336758,0.027528760666206433,0.02839451399999736
0.28,0.9154929577464788,0.9019814941786992,0.9383503401360545,0.865612648221344,0.9913043478260869,0.776,0.8909230769230769,0.9799498746867167,0.01991850087849427,0.023853305410721438,0.014139701656731217,0.0336258883936236,0.011907012119677526,0.045607017003965515,0.020369370206355198,0.027511902757017787
0.3,0.923943661971831,0.9123690349756434,0.9441970445258949,0.8805410254253918,0.9913043478260869,0.8,0.9015409240619325,0.9804761904761904,0.021360212518455032,0.025122319682891303,0.015385700808424376,0.03490520168718982,0.011907012119677526,0.04898979485566355,0.022603195059229086,0.026747326990445006
0.32,0.9267605633802816,0.9158476071156901,0.9461300342166167,0.8855651800147637,0.9913043478260869,0.808,0.9050703358266384,0.980952380952381,0.018363950437190534,0.021529795622814863,0.013279048373883258,0.029852918517672227,0.011907012119677526,0.04381780460041328,0.020096826430246875,0.026082026547865077
0.34,0.9295774647887324,0.9193406694452768,0.9480656538252848,0.8906156850652687,0.9913043478260869,0.8160000000000001,0.9085394157663066,0.980952380952381,0.017249927766078706,0.019916798318178948,0.01262843378394669,0.027237029127125736,0.011907012119677526,0.03577708763999663,0.016930899516029274,0.026082026547865077
0.36,0.9295774647887324,0.9197163729165652,0.9478508771929824,0.891581868640148,0.9869565217391305,0.8240000000000001,0.9117551020408163,0.9714285714285713,0.01991850087849427,0.022925186342577022,0.014615368454999944,0.031236676824021634,0.011907012119677514,0.0357770876399966,0.017411404822966055,0.026082026547865084
0.38,0.9295774647887324,0.9197163729165652,0.9478508771929824,0.891581868640148,0.9869565217391305,0.8240000000000001,0.9117551020408163,0.9714285714285713,0.01991850087849427,0.022925186342577022,0.014615368454999944,0.031236676824021634,0.011907012119677514,0.0357770876399966,0.017411404822966055,0.026082026547865084
0.4,0.9352112676056338,0.9267078281967638,0.9516657334826426,0.901749922910885,0.9826086956521738,0.8480000000000001,0.922687074829932,0.9632034632034632,0.021360212518455088,0.024504749953122986,0.01571771480771932,0.03330153852075172,0.009722034684781682,0.04381780460041329,0.021455414565973496,0.020591231158485327
0.42,0.943661971830986,0.9369119251211664,0.9575335043167288,0.9162903459256043,0.9782608695652174,0.8800000000000001,0.9378256621797656,0.9564558629776021,0.02439508179674476,0.0274573961072718,0.018303359724958713,0.03664495588326646,0.015371886547533633,0.048989794855663564,0.024661325691915897,0.029523616277982775
