model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fold
DecisionTree,iteration_5,42,1.0,1.0,1.0,1.0,1.0,0.9154929577464789,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.908974358974359,1
DecisionTree,iteration_5,42,1.0,1.0,1.0,1.0,1.0,0.9,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.8955555555555554,2
DecisionTree,iteration_5,42,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.8977777777777778,3
DecisionTree,iteration_5,42,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9545454545454546,0.9333333333333333,0.9438202247191011,0.9266666666666667,4
DecisionTree,iteration_5,42,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8444444444444444,5
