metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.925,0.005646924393157853
train_precision,0.948893696191449,0.006622463162639723
train_recall,0.9329608938547486,0.003950317213332664
train_f1,0.9408508211114477,0.0043455964072370784
train_roc_auc,0.9832955362575364,0.002900363674918178
test_accuracy,0.8845070422535211,0.03211761760842643
test_precision,0.8959999999999999,0.03093115114429322
test_recall,0.9304347826086957,0.028344358283489815
test_f1,0.9126295690125478,0.024020555096256144
test_roc_auc,0.9203478260869564,0.03951788855781711
