metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9814285714285715,0.002988071523336013
train_precision,0.9887697581413064,0.0038957212003404604
train_recall,0.982122905027933,0.00467407836052555
train_f1,0.9854246001865427,0.002360066664824606
train_roc_auc,0.9960174788428564,0.001878600331626934
test_accuracy,0.9661971830985916,0.01259756607042139
test_precision,0.9742789598108746,0.017749713777861123
test_recall,0.9739130434782609,0.018188261446392934
test_f1,0.9739083855212888,0.009664062916204953
test_roc_auc,0.987304347826087,0.008421773921950067
