model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
SVM,iteration_6,0,0.9785714285714285,0.9887005649717514,0.9776536312849162,0.9831460674157303,0.9942474694396813,0.9577464788732394,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9860869565217392
SVM,iteration_6,1,0.9857142857142858,0.9943502824858758,0.9832402234636871,0.9887640449438202,0.9991703080922617,0.9577464788732394,0.9574468085106383,0.9782608695652174,0.967741935483871,0.9756521739130435
SVM,iteration_6,2,0.9785714285714285,0.9887005649717514,0.9776536312849162,0.9831460674157303,0.9952430997289673,0.971830985915493,1.0,0.9565217391304348,0.9777777777777777,0.9991304347826087
SVM,iteration_6,3,0.9821428571428571,0.9887640449438202,0.9832402234636871,0.9859943977591037,0.9960727916367055,0.9859154929577465,0.9787234042553191,1.0,0.989247311827957,0.9895652173913043
SVM,iteration_6,4,0.9821428571428571,0.9833333333333333,0.9888268156424581,0.9860724233983287,0.9953537253166658,0.9577464788732394,0.9574468085106383,0.9782608695652174,0.967741935483871,0.9860869565217392
