rank_test_macro_f1,param_clf__C,mean_test_macro_f1,std_test_macro_f1,mean_test_recall_b,std_test_recall_b,mean_test_f1_b,std_test_f1_b,mean_test_accuracy,std_test_accuracy,mean_train_macro_f1
1,5.0,0.9396139889032696,0.027523034078079805,0.8803076923076922,0.04438028241748382,0.920369211514393,0.03644222683412651,0.9457545271629779,0.024643608218870985,0.9938074807480749
1,4.0,0.9396139889032696,0.027523034078079805,0.8803076923076922,0.04438028241748382,0.920369211514393,0.03644222683412651,0.9457545271629779,0.024643608218870985,0.9938074807480749
1,3.0,0.9396139889032696,0.027523034078079805,0.8803076923076922,0.04438028241748382,0.920369211514393,0.03644222683412651,0.9457545271629779,0.024643608218870985,0.9938074807480749
1,2.0,0.9396139889032696,0.027523034078079805,0.8803076923076922,0.04438028241748382,0.920369211514393,0.03644222683412651,0.9457545271629779,0.024643608218870985,0.9938074807480749
1,10.0,0.9396139889032696,0.027523034078079805,0.8803076923076922,0.04438028241748382,0.920369211514393,0.03644222683412651,0.9457545271629779,0.024643608218870985,0.9938074807480749
1,7.0,0.9396139889032696,0.027523034078079805,0.8803076923076922,0.04438028241748382,0.920369211514393,0.03644222683412651,0.9457545271629779,0.024643608218870985,0.9938074807480749
7,1.0,0.9362805063651976,0.028672262485206126,0.8723076923076922,0.04722851410301515,0.9157592824363787,0.03804180094789919,0.9428973843058351,0.02562258708673509,0.9914720452576559
8,0.3,0.9328686913392857,0.03130898069456531,0.8643076923076922,0.05480379203396217,0.9109489216593204,0.04186599373928952,0.9400402414486922,0.027767474397907027,0.9852397032745008
8,0.5,0.9328686913392857,0.03130898069456531,0.8643076923076922,0.05480379203396217,0.9109489216593204,0.04186599373928952,0.9400402414486922,0.027767474397907027,0.9906940798178707
10,0.1,0.9294568763133739,0.03339348656104497,0.8563076923076922,0.060401810388636956,0.9061385608822622,0.0448560486733501,0.9371830985915492,0.02948256720923868,0.978271355512659
