metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9821428571428573,0.0035714285714286143
train_precision,0.9811970534069981,0.003009514648600451
train_recall,0.9910614525139664,0.003059902555894749
train_f1,0.9861033735685547,0.002777831659863565
train_roc_auc,0.9951877869351181,0.0017730317412273516
test_accuracy,0.9549295774647888,0.03211761760842642
test_precision,0.9471119067423454,0.03981072086423144
test_recall,0.9869565217391305,0.011907012119677518
test_f1,0.9663012442110033,0.023215144921417383
test_roc_auc,0.9860869565217392,0.008203461853962254
