mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__gamma,param_classifier__kernel,param_robust,param_pca__n_components,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_f1_b,split1_test_f1_b,split2_test_f1_b,split3_test_f1_b,split4_test_f1_b,mean_test_f1_b,std_test_f1_b,rank_test_f1_b,split0_train_f1_b,split1_train_f1_b,split2_train_f1_b,split3_train_f1_b,split4_train_f1_b,mean_train_f1_b,std_train_f1_b,split0_test_recall_b,split1_test_recall_b,split2_test_recall_b,split3_test_recall_b,split4_test_recall_b,mean_test_recall_b,std_test_recall_b,rank_test_recall_b,split0_train_recall_b,split1_train_recall_b,split2_train_recall_b,split3_train_recall_b,split4_train_recall_b,mean_train_recall_b,std_train_recall_b,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.011361169815063476,0.0025225918447660807,0.015835046768188477,0.004984610013545571,3.0,balanced,0.03,rbf,RobustScaler(),,"{'classifier__C': 3.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'robust': RobustScaler()}",0.9532587228439764,0.9365942028985508,0.9529042386185244,0.9843014128728415,0.9377777777777778,0.9529672710023341,0.017208808369950868,1,0.9805119781734155,0.9922375690607734,0.984475138121547,0.984475138121547,0.9767127071823205,0.9836825061319207,0.00515899171528893,0.9387755102040817,0.9166666666666666,0.9387755102040817,0.9795918367346939,0.92,0.9387619047619047,0.022393268327328835,1,0.9748743718592965,0.99,0.98,0.98,0.97,0.9789748743718594,0.006648573547301972,0.8846153846153846,0.88,0.92,0.96,0.92,0.912923076923077,0.028988469448157233,12,0.97,0.9801980198019802,0.9702970297029703,0.9702970297029703,0.9603960396039604,0.9702376237623762,0.006263063007777294,0.9577464788732394,0.9428571428571428,0.9571428571428572,0.9857142857142858,0.9428571428571428,0.9572635814889336,0.015651078450209643,1,0.9821428571428571,0.9928825622775801,0.9857651245551602,0.9857651245551602,0.9786476868327402,0.9850406710726995,0.0047289004309678485,0.9948717948717949,0.9608888888888889,0.9866666666666667,0.9893333333333333,0.9875555555555555,0.9838632478632479,0.011835737456146737,2,0.9917222222222222,0.9988448844884488,0.9962596259625962,0.9943344334433443,0.9976897689768977,0.9957701870187018,0.002522915663560326
0.012723302841186524,0.001420687020700316,0.0171384334564209,0.002793186281125729,3.0,balanced,0.03,rbf,RobustScaler(),0.99,"{'classifier__C': 3.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'pca__n_components': 0.99, 'robust': RobustScaler()}",0.9370567375886525,0.9377777777777778,0.9529042386185244,0.9843014128728415,0.9377777777777778,0.9499635889271147,0.018173103048973682,2,0.9766666666666666,0.9922375690607734,0.984475138121547,0.984475138121547,0.9767127071823205,0.9829134438305708,0.005818736105751247,0.9166666666666666,0.92,0.9387755102040817,0.9795918367346939,0.92,0.9350068027210885,0.02361693147045465,2,0.97,0.99,0.98,0.98,0.97,0.978,0.007483314773547889,0.8461538461538461,0.92,0.92,0.96,0.92,0.9132307692307693,0.036943584048747403,10,0.97,0.9801980198019802,0.9702970297029703,0.9702970297029703,0.9603960396039604,0.9702376237623762,0.006263063007777294,0.9436619718309859,0.9428571428571428,0.9571428571428572,0.9857142857142858,0.9428571428571428,0.9544466800804828,0.016552203544856696,2,0.9785714285714285,0.9928825622775801,0.9857651245551602,0.9857651245551602,0.9786476868327402,0.9843263853584139,0.005342569587569983,0.9923076923076923,0.959111111111111,0.9822222222222222,0.9857777777777778,0.9893333333333334,0.9817504273504273,0.011814711915006567,3,0.9902777777777777,0.9967546754675467,0.9958745874587458,0.9941694169416941,0.9971947194719473,0.9948542354235423,0.0025117164312077724
0.011191034317016601,0.001919259477671793,0.013701057434082032,0.0021298215385493723,10.0,balanced,0.03,rbf,RobustScaler(),,"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'robust': RobustScaler()}",0.9204927211646137,0.9215070643642072,0.9529042386185244,0.9843014128728415,0.9377777777777778,0.943396642959593,0.023659710511648467,3,0.9883071869040494,0.9961273962596988,0.9883821887790962,0.9922717271727173,0.9883821887790962,0.9906941375789315,0.0031111681680357373,0.8936170212765957,0.8979591836734694,0.9387755102040817,0.9795918367346939,0.92,0.9259887103777681,0.031324886845936116,3,0.9849246231155779,0.9950248756218906,0.9850746268656716,0.9900990099009901,0.9850746268656716,0.9880395524739602,0.004008003418357904,0.8076923076923077,0.88,0.92,0.96,0.92,0.8975384615384616,0.0515565984160775,14,0.98,0.9900990099009901,0.9801980198019802,0.9900990099009901,0.9801980198019802,0.9841188118811882,0.0048833465795796805,0.9295774647887324,0.9285714285714286,0.9571428571428572,0.9857142857142858,0.9428571428571428,0.9487726358148894,0.021195671841763162,3,0.9892857142857143,0.99644128113879,0.9893238434163701,0.9928825622775801,0.9893238434163701,0.9914514489069649,0.0028527294957011264,0.994017094017094,0.9600000000000001,0.9724444444444444,0.9884444444444445,0.9875555555555555,0.9804923076923077,0.012495987930900102,6,0.9958888888888888,0.9998349834983499,0.9997249724972497,0.9954895489548955,0.9970847084708471,0.9976046204620461,0.0018524568992008279
0.00943293571472168,0.0007972021762726388,0.01166548728942871,0.0008140402969262768,10.0,balanced,0.03,rbf,RobustScaler(),0.9,"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'pca__n_components': 0.9, 'robust': RobustScaler()}",0.9370567375886525,0.9048913043478262,0.9682971014492754,0.9843014128728415,0.9066666666666667,0.9402426445850525,0.031985750471475255,4,0.9843741280205369,0.9922375690607734,0.9883821887790962,0.9883821887790962,0.984475138121547,0.9875702425522099,0.0029290704882105585,0.9166666666666666,0.875,0.9583333333333334,0.9795918367346939,0.88,0.9219183673469388,0.04156523040855412,4,0.9797979797979798,0.99,0.9850746268656716,0.9850746268656716,0.98,0.9839894467058645,0.003793838760910824,0.8461538461538461,0.84,0.92,0.96,0.88,0.8892307692307693,0.04543022480071816,18,0.97,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.9702970297029703,0.9761782178217822,0.004924127801392911,0.9436619718309859,0.9142857142857143,0.9714285714285714,0.9857142857142858,0.9142857142857143,0.9458752515090543,0.0291232454792309,5,0.9857142857142858,0.9928825622775801,0.9893238434163701,0.9893238434163701,0.9857651245551602,0.9886019318759534,0.002674026376459448,0.9769230769230769,0.936,0.9768888888888889,0.9733333333333333,0.9751111111111112,0.9676512820512821,0.015881045129930077,36,0.9882222222222222,0.9969196919691969,0.9915291529152914,0.9933443344334433,0.9931793179317931,0.9926389438943893,0.0028232410573499982
0.010811281204223634,0.0009851915020126522,0.013232898712158204,0.0011603540172314519,10.0,balanced,0.03,rbf,RobustScaler(),0.99,"{'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'pca__n_components': 0.99, 'robust': RobustScaler()}",0.9204927211646137,0.9048913043478262,0.9529042386185244,0.9843014128728415,0.9377777777777778,0.9400734909563166,0.02737590276799615,5,0.9883071869040494,0.9961273962596988,0.9883821887790962,0.9922717271727173,0.9883821887790962,0.9906941375789315,0.0031111681680357373,0.8936170212765957,0.875,0.9387755102040817,0.9795918367346939,0.92,0.9213968736430742,0.036373100157352574,5,0.9849246231155779,0.9950248756218906,0.9850746268656716,0.9900990099009901,0.9850746268656716,0.9880395524739602,0.004008003418357904,0.8076923076923077,0.84,0.92,0.96,0.92,0.8895384615384616,0.05652166155424017,16,0.98,0.9900990099009901,0.9801980198019802,0.9900990099009901,0.9801980198019802,0.9841188118811882,0.0048833465795796805,0.9295774647887324,0.9142857142857143,0.9571428571428572,0.9857142857142858,0.9428571428571428,0.9459154929577466,0.024440643117783035,4,0.9892857142857143,0.99644128113879,0.9893238434163701,0.9928825622775801,0.9893238434163701,0.9914514489069649,0.0028527294957011264,0.9931623931623932,0.9617777777777778,0.9617777777777777,0.984,0.9866666666666667,0.977476923076923,0.013160260011406626,17,0.9955555555555555,0.9996699669966996,0.9997249724972497,0.9953795379537953,0.9974697469746975,0.9975599559955995,0.0018931151315071662
0.012225103378295899,0.003963811436810589,0.014328813552856446,0.002102745677360112,1.0,balanced,0.03,rbf,RobustScaler(),0.95,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'pca__n_components': 0.95, 'robust': RobustScaler()}",0.9370567375886525,0.9215070643642072,0.9199267902081903,0.9688888888888889,0.9388111888111889,0.9372381339722257,0.017614919056856148,6,0.9688888888888889,0.9769142293789024,0.9611878453038674,0.957210293893711,0.9649902404584908,0.9658382995847721,0.00676418106517457,0.9166666666666666,0.8979591836734694,0.8936170212765957,0.96,0.9230769230769231,0.918263958938731,0.02361088107021766,8,0.96,0.9705882352941176,0.95,0.9447236180904522,0.9547738693467337,0.9560171445462607,0.00887102389432091,0.8461538461538461,0.88,0.84,0.96,0.96,0.897230769230769,0.05303030282537974,15,0.96,0.9801980198019802,0.9405940594059405,0.9306930693069307,0.9405940594059405,0.9504158415841584,0.017667805684635204,0.9436619718309859,0.9285714285714286,0.9285714285714286,0.9714285714285714,0.9428571428571428,0.9430181086519115,0.015652526924813608,6,0.9714285714285714,0.9786476868327402,0.9644128113879004,0.9608540925266904,0.9679715302491103,0.9686629384850025,0.006113323581114161,0.988034188034188,0.9617777777777778,0.9902222222222222,0.9724444444444444,0.9866666666666667,0.9798290598290598,0.01097703191880716,13,0.9856111111111112,0.9925192519251925,0.9886138613861386,0.9907590759075908,0.9890539053905391,0.9893114411441145,0.0023078596556930855
0.011252117156982423,0.0011879026334569256,0.012497806549072265,0.001078048128975002,3.0,balanced,0.03,rbf,RobustScaler(),0.95,"{'classifier__C': 3.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'pca__n_components': 0.95, 'robust': RobustScaler()}",0.9370567375886525,0.9066666666666667,0.9365942028985508,0.9843014128728415,0.9215070643642072,0.9372252168781838,0.0260671444647217,7,0.9728377610554471,0.9883821887790962,0.984475138121547,0.984475138121547,0.9767127071823205,0.9813765866519916,0.005708656897346067,0.9166666666666666,0.88,0.9166666666666666,0.9795918367346939,0.8979591836734694,0.9181768707482993,0.03359341545789726,9,0.9651741293532339,0.9850746268656716,0.98,0.98,0.97,0.976049751243781,0.00731486092937374,0.8461538461538461,0.88,0.88,0.96,0.88,0.8892307692307693,0.03773467007201449,18,0.97,0.9801980198019802,0.9702970297029703,0.9702970297029703,0.9603960396039604,0.9702376237623762,0.006263063007777294,0.9436619718309859,0.9142857142857143,0.9428571428571428,0.9857142857142858,0.9285714285714286,0.9430181086519115,0.023906739873452307,6,0.975,0.9893238434163701,0.9857651245551602,0.9857651245551602,0.9786476868327402,0.9829003558718862,0.00525691560347764,0.9888888888888889,0.9528888888888889,0.9866666666666666,0.9768888888888888,0.991111111111111,0.9792888888888889,0.014064683026715354,15,0.9892222222222222,0.9955995599559956,0.992959295929593,0.9933993399339933,0.9920792079207922,0.9926519251925192,0.002070387587020117
0.012585687637329101,0.003068616096212495,0.014547920227050782,0.0017173981834689115,3.0,balanced,0.1,rbf,RobustScaler(),,"{'classifier__C': 3.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf', 'robust': RobustScaler()}",0.9541047188106011,0.9066666666666667,0.9529042386185244,0.9537343027098479,0.9107142857142858,0.9356248425039851,0.0220324655666886,8,0.9883071869040494,0.9961273962596988,0.9922717271727173,0.9922717271727173,0.9922717271727173,0.9922499529363801,0.0024731111201623714,0.9411764705882353,0.88,0.9387755102040817,0.9411764705882353,0.8928571428571429,0.9187971188475391,0.026754086323831663,6,0.9849246231155779,0.9950248756218906,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900493056880878,0.0031945603503921827,0.9230769230769231,0.88,0.92,0.96,1.0,0.9366153846153846,0.040568737781783396,1,0.98,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9880792079207922,0.004039603960396044,0.9577464788732394,0.9142857142857143,0.9571428571428572,0.9571428571428572,0.9142857142857143,0.9401207243460765,0.021095348881648355,12,0.9892857142857143,0.99644128113879,0.9928825622775801,0.9928825622775801,0.9928825622775801,0.9928749364514488,0.00226280819530067,0.9948717948717949,0.9395555555555555,0.9786666666666667,0.9822222222222222,0.992,0.9774632478632478,0.019876940717799794,18,0.9997222222222222,1.0,0.9998899889988999,0.994994499449945,0.9996699669966996,0.9988553355335534,0.0019340081049639142
0.012238168716430664,0.002005161668877793,0.016055202484130858,0.003552150601498579,3.0,balanced,0.1,rbf,RobustScaler(),0.99,"{'classifier__C': 3.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf', 'pca__n_components': 0.99, 'robust': RobustScaler()}",0.9541047188106011,0.9066666666666667,0.9529042386185244,0.9537343027098479,0.9107142857142858,0.9356248425039851,0.0220324655666886,8,0.9883071869040494,0.9961273962596988,0.9922717271727173,0.9922717271727173,0.9922717271727173,0.9922499529363801,0.0024731111201623714,0.9411764705882353,0.88,0.9387755102040817,0.9411764705882353,0.8928571428571429,0.9187971188475391,0.026754086323831663,6,0.9849246231155779,0.9950248756218906,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900493056880878,0.0031945603503921827,0.9230769230769231,0.88,0.92,0.96,1.0,0.9366153846153846,0.040568737781783396,1,0.98,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9880792079207922,0.004039603960396044,0.9577464788732394,0.9142857142857143,0.9571428571428572,0.9571428571428572,0.9142857142857143,0.9401207243460765,0.021095348881648355,12,0.9892857142857143,0.99644128113879,0.9928825622775801,0.9928825622775801,0.9928825622775801,0.9928749364514488,0.00226280819530067,0.994017094017094,0.9413333333333334,0.9760000000000001,0.9804444444444445,0.9928888888888889,0.976936752136752,0.019115405232905853,21,0.9997222222222222,1.0,0.9998899889988999,0.9948844884488449,0.9996699669966996,0.9988333333333334,0.001977932636461776
0.014781808853149414,0.001299509117415058,0.01832304000854492,0.001984531099284777,1.0,balanced,0.03,rbf,RobustScaler(),,"{'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03, 'classifier__kernel': 'rbf', 'robust': RobustScaler()}",0.9370567375886525,0.9066666666666667,0.9199267902081903,0.9843014128728415,0.9228905045164133,0.9341684223705528,0.026862692292734382,10,0.9688888888888889,0.9807209407632038,0.9728917738178912,0.9730093170684853,0.9727701870232706,0.9736562215123479,0.003858124963994676,0.9166666666666666,0.88,0.8936170212765957,0.9795918367346939,0.9019607843137255,0.9143672617983365,0.03471349676186094,13,0.96,0.9753694581280788,0.9651741293532339,0.9655172413793104,0.964824120603015,0.9661769898927275,0.005018524266564391,0.8461538461538461,0.88,0.84,0.96,0.92,0.8892307692307693,0.04543022480071816,18,0.96,0.9801980198019802,0.9603960396039604,0.9702970297029703,0.9504950495049505,0.9642772277227722,0.010129327430229769,0.9436619718309859,0.9142857142857143,0.9285714285714286,0.9857142857142858,0.9285714285714286,0.9401609657947686,0.02459888365643732,9,0.9714285714285714,0.9822064056939501,0.9750889679715302,0.9750889679715302,0.9750889679715302,0.9757803762074223,0.0035118711776183542,0.9905982905982906,0.9573333333333334,0.9884444444444445,0.9777777777777777,0.9884444444444445,0.9805196581196581,0.012428249065194298,5,0.9864444444444445,0.994994499449945,0.9914741474147415,0.9916391639163916,0.9921892189218922,0.991348294829483,0.0027622510299120384
