metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9508515505846467,0.008520673526262597
train_precision,0.9592150440644612,0.011094491379743655
train_recall,0.9644444444444444,0.0063343079172174105
train_f1,0.9617900856095224,0.006513111278445036
train_roc_auc,0.9891595159515951,0.002410867934731585
test_accuracy,0.9115090543259556,0.038490162083232964
test_precision,0.9011832392531481,0.033280707923957126
test_recall,0.968888888888889,0.025337231668869715
test_f1,0.9337441437140044,0.028636610171492296
test_roc_auc,0.9318222222222221,0.04511231525486497
