variant,n_features,best_penalty,best_C,best_cv_macro_f1,mean_test_recall_b,mean_test_f1_b,mean_test_accuracy
full_poly2,594,l2,3.0,0.9396139889032696,0.8803076923076922,0.920369211514393,0.9457545271629779
interaction_only,561,l2,0.01,0.9002448748172241,0.8086153846153845,0.866745605920444,0.9115090543259556
