model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
AdaBoost,iteration_6_class_weight_None,0,1.0,1.0,1.0,1.0,1.0,0.9436619718309859,0.9375,0.9782608695652174,0.9574468085106383,0.9634782608695652
AdaBoost,iteration_6_class_weight_None,1,0.9964285714285714,0.9944444444444445,1.0,0.9972144846796658,1.0,0.9295774647887324,0.9183673469387755,0.9782608695652174,0.9473684210526315,0.9582608695652174
AdaBoost,iteration_6_class_weight_None,2,1.0,1.0,1.0,1.0,1.0,0.9577464788732394,0.9574468085106383,0.9782608695652174,0.967741935483871,0.9747826086956523
AdaBoost,iteration_6_class_weight_None,3,1.0,1.0,1.0,1.0,1.0,0.9295774647887324,0.9183673469387755,0.9782608695652174,0.9473684210526315,0.9730434782608697
AdaBoost,iteration_6_class_weight_None,4,1.0,1.0,1.0,1.0,1.0,0.9154929577464789,0.9,0.9782608695652174,0.9375,0.9408695652173913
