metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9521428571428572,0.015689916168920563
train_precision,0.944178277891238,0.009251716398099824
train_recall,0.9832402234636872,0.01675977653631283
train_f1,0.9632896969388893,0.012214349550322924
train_roc_auc,0.9838652580341833,0.011158346843436202
test_accuracy,0.904225352112676,0.033626299679755826
test_precision,0.9081348713398402,0.012810058529732247
test_recall,0.9478260869565217,0.04507922033332116
test_f1,0.9272730739893211,0.02676616209954732
test_roc_auc,0.9392173913043479,0.029100243926767234
