metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9544128113879005,0.01658931828578
train_precision,0.9438609436419251,0.01651061085172947
train_recall,0.9877777777777779,0.008240220541217423
train_f1,0.9653022186310183,0.01248640074520528
train_roc_auc,0.9872667766776677,0.008636117676501387
test_accuracy,0.9173440643863179,0.03266765510339879
test_precision,0.9021666666666667,0.03137807089885121
test_recall,0.9777777777777776,0.015713484026367706
test_f1,0.9383588002263725,0.023600013018476647
test_roc_auc,0.9611042735042735,0.023274901320631494
