metric,repeated_mean,repeated_std
seed,2.0,1.5811388300841898
train_accuracy,0.9292857142857143,0.009583148474999097
train_precision,0.9234278483184626,0.006801138442745694
train_recall,0.9698324022346367,0.012239610223579115
train_f1,0.9460294879169002,0.007483179293286002
train_roc_auc,0.9778195696664639,0.004817931680167519
test_accuracy,0.8873239436619718,0.022269560987101287
test_precision,0.872533633902562,0.03423343544906421
test_recall,0.9695652173913043,0.019444069369563378
test_f1,0.9179378877650768,0.014396582726296113
test_roc_auc,0.9333913043478261,0.0319356631127319
