seed,threshold,accuracy,macro_f1,f1_g,f1_b,recall_g,recall_b,precision_g,precision_b
0,0.1,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.12,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.14,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.16,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.18,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.2,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.22,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.24,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.26,0.6619718309859155,0.4350132625994695,0.7931034482758621,0.07692307692307693,1.0,0.04,0.6571428571428571,1.0
0,0.28,0.6619718309859155,0.4350132625994695,0.7931034482758621,0.07692307692307693,1.0,0.04,0.6571428571428571,1.0
0,0.3,0.676056338028169,0.4740740740740741,0.8,0.14814814814814814,1.0,0.08,0.6666666666666666,1.0
0,0.32,0.676056338028169,0.4740740740740741,0.8,0.14814814814814814,1.0,0.08,0.6666666666666666,1.0
0,0.34,0.7183098591549296,0.5773809523809523,0.8214285714285714,0.3333333333333333,1.0,0.2,0.696969696969697,1.0
0,0.36,0.7323943661971831,0.6079628015111886,0.8288288288288288,0.3870967741935484,1.0,0.24,0.7076923076923077,1.0
0,0.38,0.7323943661971831,0.6079628015111886,0.8288288288288288,0.3870967741935484,1.0,0.24,0.7076923076923077,1.0
0,0.4,0.7605633802816901,0.6777036048064085,0.8411214953271028,0.5142857142857142,0.9782608695652174,0.36,0.7377049180327869,0.9
0,0.42,0.8169014084507042,0.7702265372168284,0.8737864077669902,0.6666666666666666,0.9782608695652174,0.52,0.7894736842105263,0.9285714285714286
0,0.44,0.8309859154929577,0.7911764705882353,0.8823529411764706,0.7,0.9782608695652174,0.56,0.8035714285714286,0.9333333333333333
0,0.46,0.8591549295774648,0.8309523809523809,0.9,0.7619047619047619,0.9782608695652174,0.64,0.8333333333333334,0.9411764705882353
0,0.48,0.8873239436619719,0.8682745825602969,0.9183673469387755,0.8181818181818182,0.9782608695652174,0.72,0.8653846153846154,0.9473684210526315
0,0.5,0.9295774647887324,0.9204927211646137,0.9473684210526315,0.8936170212765957,0.9782608695652174,0.84,0.9183673469387755,0.9545454545454546
0,0.52,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348
0,0.54,0.9577464788732394,0.9532587228439764,0.967741935483871,0.9387755102040817,0.9782608695652174,0.92,0.9574468085106383,0.9583333333333334
0,0.56,0.9436619718309859,0.9393162393162393,0.9555555555555556,0.9230769230769231,0.9347826086956522,0.96,0.9772727272727273,0.8888888888888888
0,0.58,0.8169014084507042,0.8131957093705727,0.8395061728395061,0.7868852459016393,0.7391304347826086,0.96,0.9714285714285714,0.6666666666666666
0,0.6,0.7464788732394366,0.7452153110047848,0.7631578947368421,0.7272727272727273,0.6304347826086957,0.96,0.9666666666666667,0.5853658536585366
0,0.62,0.7464788732394366,0.7460254372019078,0.7567567567567568,0.7352941176470589,0.6086956521739131,1.0,1.0,0.5813953488372093
0,0.64,0.5774647887323944,0.5705645161290323,0.5161290322580645,0.625,0.34782608695652173,1.0,1.0,0.45454545454545453
