mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__gamma,params,split0_test_macro_f1,split1_test_macro_f1,split2_test_macro_f1,split3_test_macro_f1,split4_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_macro_f1,split0_train_macro_f1,split1_train_macro_f1,split2_train_macro_f1,split3_train_macro_f1,split4_train_macro_f1,mean_train_macro_f1,std_train_macro_f1,split0_test_f1_b,split1_test_f1_b,split2_test_f1_b,split3_test_f1_b,split4_test_f1_b,mean_test_f1_b,std_test_f1_b,rank_test_f1_b,split0_train_f1_b,split1_train_f1_b,split2_train_f1_b,split3_train_f1_b,split4_train_f1_b,mean_train_f1_b,std_train_f1_b,split0_test_recall_b,split1_test_recall_b,split2_test_recall_b,split3_test_recall_b,split4_test_recall_b,mean_test_recall_b,std_test_recall_b,rank_test_recall_b,split0_train_recall_b,split1_train_recall_b,split2_train_recall_b,split3_train_recall_b,split4_train_recall_b,mean_train_recall_b,std_train_recall_b,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0.016205835342407226,0.0027683873800187476,0.03753190040588379,0.011547437391001374,balanced,0.03,"{'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}",0.9847015729368671,0.9529042386185244,0.9529042386185244,0.9682971014492754,0.9228905045164133,0.9563395312279208,0.02044421069188109,1,0.9766666666666666,0.9807209407632038,0.9806369812984936,0.9768151815181518,0.9806369812984936,0.979095350309002,0.001923198923129316,0.9803921568627451,0.9387755102040817,0.9387755102040817,0.9583333333333334,0.9019607843137255,0.9436474589835935,0.025888601130606727,1,0.97,0.9753694581280788,0.9751243781094527,0.9702970297029703,0.9751243781094527,0.973183048809991,0.0024810808377395766,0.9615384615384616,0.92,0.92,0.92,0.92,0.9283076923076923,0.016615384615384608,5,0.97,0.9801980198019802,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9722178217821782,0.0039917570198447555,0.9859154929577465,0.9571428571428572,0.9571428571428572,0.9714285714285714,0.9285714285714286,0.9600402414486922,0.01900683327607764,1,0.9785714285714285,0.9822064056939501,0.9822064056939501,0.9786476868327402,0.9822064056939501,0.9807676664972039,0.0017622534569757965,0.9982905982905983,0.9546666666666667,0.9893333333333334,0.9902222222222222,0.9786666666666667,0.9822358974358973,0.015130831391142624,8,0.9934444444444444,0.9993949394939493,0.9962596259625962,0.9943894389438943,0.9959845984598459,0.9958946094609461,0.0020328547562398587
0.014113092422485351,0.0022364177453923235,0.036524486541748044,0.008001561052610686,balanced,scale,"{'classifier__class_weight': 'balanced', 'classifier__gamma': 'scale'}",0.9691304347826086,0.9529042386185244,0.9529042386185244,0.9682971014492754,0.9228905045164133,0.9532253035970693,0.01673641830997089,2,0.9766666666666666,0.9807209407632038,0.9806369812984936,0.9768151815181518,0.9806369812984936,0.979095350309002,0.001923198923129316,0.96,0.9387755102040817,0.9387755102040817,0.9583333333333334,0.9019607843137255,0.9395690276110444,0.020905325185982773,2,0.97,0.9753694581280788,0.9751243781094527,0.9702970297029703,0.9751243781094527,0.973183048809991,0.0024810808377395766,0.9230769230769231,0.92,0.92,0.92,0.92,0.9206153846153846,0.0012307692307692354,6,0.97,0.9801980198019802,0.9702970297029703,0.9702970297029703,0.9702970297029703,0.9722178217821782,0.0039917570198447555,0.971830985915493,0.9571428571428572,0.9571428571428572,0.9714285714285714,0.9285714285714286,0.9572233400402416,0.015723338720659685,2,0.9785714285714285,0.9822064056939501,0.9822064056939501,0.9786476868327402,0.9822064056939501,0.9807676664972039,0.0017622534569757965,0.9982905982905983,0.9546666666666667,0.9893333333333334,0.9902222222222222,0.9795555555555555,0.9824136752136752,0.015093025492299869,7,0.9934999999999999,0.9993949394939493,0.9962596259625962,0.9943894389438943,0.996039603960396,0.9959167216721673,0.0020200900374845302
0.05695981979370117,0.023828863849397336,0.06151909828186035,0.025063291569427673,,scale,"{'classifier__class_weight': None, 'classifier__gamma': 'scale'}",0.9532587228439764,0.9365942028985508,0.9529042386185244,0.9682971014492754,0.9215070643642072,0.9465122660349069,0.016028594036824266,3,0.9764521193092621,0.9883300801528303,0.984475138121547,0.9767127071823205,0.9727701870232706,0.9797480463578461,0.005740446681468096,0.9387755102040817,0.9166666666666666,0.9387755102040817,0.9583333333333334,0.8979591836734694,0.9301020408163266,0.02079007726521924,3,0.9693877551020408,0.9849246231155779,0.98,0.97,0.964824120603015,0.9738272997641267,0.007438653494643104,0.8846153846153846,0.88,0.92,0.92,0.88,0.8969230769230769,0.018917447567925436,7,0.95,0.9702970297029703,0.9702970297029703,0.9603960396039604,0.9504950495049505,0.9602970297029703,0.0089679143558212,0.9577464788732394,0.9428571428571428,0.9571428571428572,0.9714285714285714,0.9285714285714286,0.951549295774648,0.014617896642213203,3,0.9785714285714285,0.9893238434163701,0.9857651245551602,0.9786476868327402,0.9750889679715302,0.9814794102694459,0.005238611386165643,0.9974358974358974,0.9475555555555555,0.9857777777777779,0.9857777777777779,0.9786666666666667,0.9790427350427351,0.01685594211895787,9,0.9898888888888888,0.9991199119911991,0.995984598459846,0.9929592959295929,0.9952695269526953,0.9946444444444443,0.0030877689307412448
0.029976034164428712,0.002292322410104225,0.044387102127075195,0.008617614350154783,,0.03,"{'classifier__class_weight': None, 'classifier__gamma': 0.03}",0.9532587228439764,0.9365942028985508,0.9529042386185244,0.9682971014492754,0.9215070643642072,0.9465122660349069,0.016028594036824266,3,0.9764521193092621,0.9883300801528303,0.984475138121547,0.9767127071823205,0.9727701870232706,0.9797480463578461,0.005740446681468096,0.9387755102040817,0.9166666666666666,0.9387755102040817,0.9583333333333334,0.8979591836734694,0.9301020408163266,0.02079007726521924,3,0.9693877551020408,0.9849246231155779,0.98,0.97,0.964824120603015,0.9738272997641267,0.007438653494643104,0.8846153846153846,0.88,0.92,0.92,0.88,0.8969230769230769,0.018917447567925436,7,0.95,0.9702970297029703,0.9702970297029703,0.9603960396039604,0.9504950495049505,0.9602970297029703,0.0089679143558212,0.9577464788732394,0.9428571428571428,0.9571428571428572,0.9714285714285714,0.9285714285714286,0.951549295774648,0.014617896642213203,3,0.9785714285714285,0.9893238434163701,0.9857651245551602,0.9786476868327402,0.9750889679715302,0.9814794102694459,0.005238611386165643,0.9974358974358974,0.9475555555555555,0.9857777777777779,0.9857777777777779,0.9786666666666667,0.9790427350427351,0.01685594211895787,9,0.9898333333333333,0.999064906490649,0.995929592959296,0.9929042904290428,0.9952695269526953,0.9946003300330032,0.003090243202842545
0.018131446838378907,0.0024264475714431315,0.0322455883026123,0.0021950091880701007,balanced,0.1,"{'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}",0.9541047188106011,0.9529042386185244,0.9529042386185244,0.9537343027098479,0.9095607235142118,0.944641644454342,0.01754672703996466,5,0.9922222222222222,1.0,0.9922717271727173,0.9922717271727173,0.9922717271727173,0.9938074807480749,0.0030963189891199112,0.9411764705882353,0.9387755102040817,0.9387755102040817,0.9411764705882353,0.8888888888888888,0.9297585700947046,0.02046303087569157,5,0.99,1.0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.992059405940594,0.003970482205997448,0.9230769230769231,0.92,0.92,0.96,0.96,0.9366153846153846,0.01912648648359387,3,0.99,1.0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.992059405940594,0.003970482205997448,0.9577464788732394,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9142857142857143,0.9486921529175051,0.017204807720803066,5,0.9928571428571429,1.0,0.9928825622775801,0.9928825622775801,0.9928825622775801,0.9943009659379765,0.0028495340377096643,0.9974358974358974,0.952888888888889,0.9866666666666668,0.9937777777777778,0.9875555555555555,0.9836649572649574,0.015894787390812643,4,0.9997777777777778,1.0,0.9998899889988999,0.9997799779977997,0.9998899889988999,0.9998675467546754,8.279846283921527e-05
0.04562463760375977,0.027757691310861574,0.049870967864990234,0.007940280393075552,,0.1,"{'classifier__class_weight': None, 'classifier__gamma': 0.1}",0.9541047188106011,0.9377777777777778,0.9529042386185244,0.9537343027098479,0.9240945564953372,0.9445231188824177,0.011914041468269417,6,0.9922222222222222,0.9961273962596988,0.9922717271727173,0.9922717271727173,0.9922717271727173,0.9930329600000146,0.001547336922693528,0.9411764705882353,0.92,0.9387755102040817,0.9411764705882353,0.9056603773584906,0.9293577657478085,0.01426317969541824,6,0.99,0.9950248756218906,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9910643810649722,0.0019806185215530997,0.9230769230769231,0.92,0.92,0.96,0.96,0.9366153846153846,0.01912648648359387,3,0.99,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900792079207921,3.960396039603964e-05,0.9577464788732394,0.9428571428571428,0.9571428571428572,0.9571428571428572,0.9285714285714286,0.9486921529175051,0.01152128910267228,5,0.9928571428571429,0.99644128113879,0.9928825622775801,0.9928825622775801,0.9928825622775801,0.9935892221657345,0.0014260634693051943,0.9974358974358974,0.9591111111111111,0.9884444444444445,0.9902222222222222,0.9928888888888889,0.9856205128205129,0.013596553258128776,3,0.9998888888888888,1.0,0.9998899889988999,0.9951595159515951,0.9998899889988999,0.9989656765676568,0.0019035604287297478
0.01390528678894043,0.0009794248810287912,0.03453130722045898,0.00951156269230278,balanced,0.01,"{'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}",0.9691304347826086,0.9215070643642072,0.9199267902081903,0.9682971014492754,0.9048913043478262,0.9367505390304215,0.026735953801063014,7,0.9607535321821037,0.9728917738178912,0.9689502762430939,0.9690869086908691,0.9688089688089687,0.9680982919485853,0.003978222375880682,0.96,0.8979591836734694,0.8936170212765957,0.9583333333333334,0.875,0.9169819076566796,0.03530087587621549,7,0.9489795918367347,0.9651741293532339,0.96,0.9603960396039604,0.9595959595959596,0.9588291440779777,0.005323280731171119,0.9230769230769231,0.88,0.84,0.92,0.84,0.8806153846153846,0.036479385440686636,9,0.93,0.9603960396039604,0.9504950495049505,0.9603960396039604,0.9405940594059405,0.9483762376237624,0.011761709485386258,0.971830985915493,0.9285714285714286,0.9285714285714286,0.9714285714285714,0.9142857142857143,0.9429376257545272,0.024001114643352126,7,0.9642857142857143,0.9750889679715302,0.9715302491103203,0.9715302491103203,0.9715302491103203,0.9707930859176411,0.0035335737404179088,0.9974358974358974,0.944,0.984,0.9848888888888889,0.968,0.9756649572649572,0.018384497689030322,12,0.9878888888888889,0.9961496149614962,0.9890539053905391,0.9915841584158416,0.9936193619361936,0.9916591859185919,0.0030004832429975973
0.01827244758605957,0.0019914467733034525,0.0327359676361084,0.0039366761792324016,,0.3,"{'classifier__class_weight': None, 'classifier__gamma': 0.3}",0.941029900332226,0.9240945564953372,0.9537343027098479,0.9397071490094746,0.896427816529275,0.930998745015232,0.019678327552438046,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,0.9056603773584906,0.9411764705882353,0.9259259259259259,0.8771929824561403,0.9157054369800441,0.022373547162881424,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.96,0.96,1.0,1.0,0.984,0.019595917942265444,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9436619718309859,0.9285714285714286,0.9571428571428572,0.9428571428571428,0.9,0.9344466800804829,0.019451818877795957,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9957264957264957,0.9573333333333334,0.9928888888888889,0.9964444444444445,0.992,0.9868786324786324,0.014866510899396135,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03171968460083008,0.002380373199970891,0.051781845092773435,0.014346124615384162,,0.01,"{'classifier__class_weight': None, 'classifier__gamma': 0.01}",0.9532587228439764,0.9199267902081903,0.8853801169590643,0.9682971014492754,0.9199267902081903,0.9293579043337393,0.028980848183351192,9,0.9524456521739131,0.9766067266067266,0.9568084957730734,0.9646614965416056,0.960828593732575,0.9622701929655788,0.00824238407227915,0.9387755102040817,0.8936170212765957,0.8444444444444444,0.9583333333333334,0.8936170212765957,0.9057574661070102,0.0397705430622994,10,0.9375,0.9696969696969697,0.9435897435897436,0.9538461538461539,0.9489795918367347,0.9507224917939204,0.010941080044996549,0.8846153846153846,0.84,0.76,0.92,0.84,0.8489230769230769,0.05365151635415902,10,0.9,0.9504950495049505,0.9108910891089109,0.9207920792079208,0.9207920792079208,0.9205940594059406,0.016807204098156763,0.9577464788732394,0.9285714285714286,0.9,0.9714285714285714,0.9285714285714286,0.9372635814889335,0.025005907993498368,8,0.9571428571428572,0.9786476868327402,0.9608540925266904,0.9679715302491103,0.9644128113879004,0.9658057956278597,0.007363570439094236,0.9974358974358974,0.9422222222222222,0.9866666666666666,0.984,0.9697777777777778,0.9760205128205127,0.019062673966517497,11,0.9848333333333333,0.9941144114411441,0.9878437843784379,0.9926292629262926,0.9903190319031904,0.9899479647964797,0.0033248566386216817
0.018030357360839844,0.0036709650522691187,0.036087751388549805,0.004511917437914048,balanced,0.3,"{'classifier__class_weight': 'balanced', 'classifier__gamma': 0.3}",0.941029900332226,0.9240945564953372,0.9537343027098479,0.9251336898395721,0.896427816529275,0.9280840531812515,0.01924717281034514,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,0.9056603773584906,0.9411764705882353,0.9090909090909091,0.8771929824561403,0.9123384336130409,0.021842564363117215,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.96,0.96,1.0,1.0,0.984,0.019595917942265444,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9436619718309859,0.9285714285714286,0.9571428571428572,0.9285714285714286,0.9,0.93158953722334,0.019051680544872395,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9957264957264957,0.9573333333333334,0.9937777777777779,0.9964444444444445,0.9937777777777779,0.9874119658119659,0.015076394354742721,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
