model,iteration,seed,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,fold
SVM,iteration_6,42,0.9785714285714285,0.9887640449438202,0.9777777777777777,0.9832402234636871,0.9934444444444444,0.9859154929577465,0.9782608695652174,1.0,0.989010989010989,0.9982905982905983,1
SVM,iteration_6,42,0.9822064056939501,0.9888268156424581,0.9833333333333333,0.9860724233983287,0.9993949394939493,0.9571428571428572,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9546666666666667,2
SVM,iteration_6,42,0.9786476868327402,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9962596259625962,0.9571428571428572,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9893333333333334,3
SVM,iteration_6,42,0.9822064056939501,0.9943502824858758,0.9777777777777777,0.9859943977591037,0.9943894389438943,0.9714285714285714,0.9574468085106383,1.0,0.9782608695652174,0.9902222222222222,4
SVM,iteration_6,42,0.9786476868327402,0.9887640449438202,0.9777777777777777,0.9832402234636871,0.9959845984598459,0.9,0.975,0.8666666666666667,0.9176470588235294,0.9786666666666667,5
