metric,cv_mean,cv_std
seed,42.0,0.0
selected_threshold,0.19457844506371166,0.14584878191108766
threshold_train_macro_f1,0.9486938297620627,0.0033419624782004284
threshold_default_macro_f1,0.9418298056136745,0.0034283296385764963
train_accuracy,0.9800559227249618,0.0019633602285351642
train_macro_f1,0.9784042110343837,0.002152742095295034
train_b_recall,0.9801584158415843,0.00700161730164834
train_b_f1,0.9724323017851395,0.0027947476739182933
train_g_recall,0.9799999999999999,0.0030429030972509118
train_g_f1,0.984376120283628,0.0015136209928003608
train_roc_auc,0.9958946094609461,0.002272800711668044
test_accuracy,0.9543259557344065,0.03262505808084345
test_macro_f1,0.9507988634797184,0.03375317826176399
test_b_recall,0.9363076923076923,0.02233685096970033
test_b_f1,0.9378007566663029,0.04022459656778122
test_g_recall,0.9644444444444445,0.05577733510227169
test_g_f1,0.9637969702931339,0.02736653430976457
test_roc_auc,0.9822358974358973,0.01691678377334131
