threshold,macro_f1,accuracy,b_recall,b_f1,g_recall,g_f1
0.0,0.9563556913457439,0.9601139601139601,0.9285714285714286,0.9435483870967742,0.9777777777777777,0.9691629955947136
0.03746283983094467,0.9563556913457439,0.9601139601139601,0.9285714285714286,0.9435483870967742,0.9777777777777777,0.9691629955947136
0.09208113151263908,0.9533232266815608,0.9572649572649573,0.9285714285714286,0.9397590361445783,0.9733333333333334,0.9668874172185431
-0.025740183595741928,0.9531521110468479,0.9572649572649573,0.9206349206349206,0.9392712550607287,0.9777777777777777,0.967032967032967
0.1420032673591144,0.9503008849557522,0.9544159544159544,0.9285714285714286,0.936,0.9688888888888889,0.9646017699115044
-0.05332765520212879,0.9499358151476252,0.9544159544159544,0.9126984126984127,0.9349593495934959,0.9777777777777777,0.9649122807017544
-0.08327344525666203,0.9497458658458015,0.9544159544159544,0.9047619047619048,0.9344262295081968,0.9822222222222222,0.9650655021834061
0.33799974341257866,0.9478249464434049,0.9515669515669516,0.9523809523809523,0.933852140077821,0.9511111111111111,0.9617977528089887
0.2571634225178263,0.9476510067114094,0.9515669515669516,0.9444444444444444,0.9333333333333333,0.9555555555555556,0.9619686800894854
0.18715588560160024,0.9472884515154459,0.9515669515669516,0.9285714285714286,0.9322709163346613,0.9644444444444444,0.9623059866962306
-0.07091217293772367,0.9467065600857411,0.9515669515669516,0.9047619047619048,0.9306122448979591,0.9777777777777777,0.962800875273523
-0.09223826025642157,0.9465020576131686,0.9515669515669516,0.8968253968253969,0.9300411522633745,0.9822222222222222,0.9629629629629629
0.36913708656309685,0.9448460087994972,0.9487179487179487,0.9523809523809523,0.9302325581395349,0.9466666666666667,0.9594594594594594
0.2874472434885851,0.9446643778026906,0.9487179487179487,0.9444444444444444,0.9296875,0.9511111111111111,0.9596412556053812
0.24571842060329452,0.9444776434195725,0.9487179487179487,0.9365079365079365,0.9291338582677166,0.9555555555555556,0.9598214285714286
0.20627005189035952,0.9442857142857143,0.9487179487179487,0.9285714285714286,0.9285714285714286,0.96,0.96
-0.10151749747396521,0.9432446999640676,0.9487179487179487,0.8888888888888888,0.9256198347107438,0.9822222222222222,0.9608695652173913
0.38764368979339403,0.9418757680608696,0.9458689458689459,0.9523809523809523,0.9266409266409267,0.9422222222222222,0.9571106094808126
0.22722399114528657,0.9412924637094289,0.9458689458689459,0.9285714285714286,0.924901185770751,0.9555555555555556,0.9576837416481069
-0.10298540296595349,0.9399735375919208,0.9458689458689459,0.8809523809523809,0.921161825726141,0.9822222222222222,0.9587852494577006
0.40088457558695756,0.9389140271493213,0.9430199430199431,0.9523809523809523,0.9230769230769231,0.9377777777777778,0.9547511312217195
-0.11497856930944461,0.9366883116883117,0.9430199430199431,0.873015873015873,0.9166666666666666,0.9822222222222222,0.9567099567099567
-0.17631158436769712,0.9364314691393798,0.9430199430199431,0.8650793650793651,0.9159663865546218,0.9866666666666667,0.9568965517241379
0.4226493812313602,0.9359605911330049,0.9401709401709402,0.9523809523809523,0.9195402298850575,0.9333333333333333,0.9523809523809523
-0.14487701902021033,0.9333887598615542,0.9401709401709402,0.8650793650793651,0.9121338912133892,0.9822222222222222,0.9546436285097192
-0.2040047462201824,0.9331155573703552,0.9401709401709402,0.8571428571428571,0.9113924050632911,0.9866666666666667,0.9548387096774194
0.44289461411482534,0.9330152671755725,0.9373219373219374,0.9523809523809523,0.916030534351145,0.9288888888888889,0.95
0.4631558117371495,0.9302879841112215,0.9344729344729344,0.9603174603174603,0.9132075471698113,0.92,0.9473684210526315
0.4452627448841072,0.9300778644863457,0.9344729344729344,0.9523809523809523,0.9125475285171103,0.9244444444444444,0.9476082004555809
-0.25199736661999667,0.9297846802938823,0.9373219373219374,0.8492063492063492,0.9067796610169492,0.9866666666666667,0.9527896995708155
0.48536182854517596,0.9273642822652963,0.9316239316239316,0.9603174603174603,0.9097744360902256,0.9155555555555556,0.944954128440367
0.4486813833528063,0.9271481942714819,0.9316239316239316,0.9523809523809523,0.9090909090909091,0.92,0.9452054794520548
-0.30991539594008005,0.9264385621212812,0.9344729344729344,0.8412698412698413,0.902127659574468,0.9866666666666667,0.9507494646680942
0.5042242306012823,0.9244478884153429,0.9287749287749287,0.9603174603174603,0.9063670411985019,0.9111111111111111,0.9425287356321839
-0.33924712798713896,0.9230769230769231,0.9316239316239316,0.8333333333333334,0.8974358974358975,0.9866666666666667,0.9487179487179487
0.5429808065155429,0.9215386202627416,0.9259259259259259,0.9603174603174603,0.9029850746268657,0.9066666666666666,0.9400921658986175
-0.3927688814709286,0.9196994793048858,0.9287749287749287,0.8253968253968254,0.8927038626609443,0.9866666666666667,0.9466950959488273
0.5752047636245391,0.9186362972947448,0.9230769230769231,0.9603174603174603,0.8996282527881041,0.9022222222222223,0.9376443418013857
-0.45476877884419176,0.9163059427732942,0.9259259259259259,0.8174603174603174,0.8879310344827587,0.9866666666666667,0.9446808510638298
0.585085893443854,0.9157407407407407,0.9202279202279202,0.9603174603174603,0.8962962962962963,0.8977777777777778,0.9351851851851852
-0.475106087331829,0.912896021176276,0.9230769230769231,0.8095238095238095,0.8831168831168831,0.9866666666666667,0.9426751592356688
0.5935006828993044,0.9128517735293362,0.9173789173789174,0.9603174603174603,0.8929889298892989,0.8933333333333333,0.9327146171693735
0.6037843747805428,0.9099692202462379,0.9145299145299145,0.9603174603174603,0.8897058823529411,0.8888888888888888,0.9302325581395349
-0.494424213342444,0.9094694178334561,0.9202279202279202,0.8015873015873016,0.8782608695652174,0.9866666666666667,0.940677966101695
0.6261719086197052,0.907092907092907,0.9116809116809117,0.9603174603174603,0.8864468864468864,0.8844444444444445,0.9277389277389277
-0.5102498818552643,0.9060258315869162,0.9173789173789174,0.7936507936507936,0.8733624454148472,0.9866666666666667,0.9386892177589852
-0.5259631123112471,0.9055970322281475,0.9173789173789174,0.7857142857142857,0.8722466960352423,0.9911111111111112,0.9389473684210526
0.6436532809591748,0.904222661845965,0.9088319088319088,0.9603174603174603,0.8832116788321168,0.88,0.9252336448598131
-0.5190758996626373,0.9025649566955363,0.9145299145299145,0.7857142857142857,0.868421052631579,0.9866666666666667,0.9367088607594937
-0.5367859434828799,0.902115713542054,0.9145299145299145,0.7777777777777778,0.8672566371681416,0.9911111111111112,0.9369747899159664
0.6501404974397713,0.9013583138173302,0.905982905982906,0.9603174603174603,0.88,0.8755555555555555,0.9227166276346604
-0.574736209269904,0.8986163522012578,0.9116809116809117,0.7698412698412699,0.8622222222222222,0.9911111111111112,0.9350104821802935
0.6857627308891888,0.8984996938150642,0.9031339031339032,0.9603174603174603,0.8768115942028986,0.8711111111111111,0.92018779342723
-0.6279031594044313,0.8981341921229766,0.9116809116809117,0.7619047619047619,0.8609865470852018,0.9955555555555555,0.9352818371607515
0.7227646395615893,0.8956466341049054,0.9002849002849003,0.9603174603174603,0.8736462093862816,0.8666666666666667,0.9176470588235294
-0.6046786371006782,0.8950986252241482,0.9088319088319088,0.7619047619047619,0.8571428571428571,0.9911111111111112,0.9330543933054394
-0.657222637898055,0.8945945945945946,0.9088319088319088,0.753968253968254,0.8558558558558559,0.9955555555555555,0.9333333333333333
0.7357990548651527,0.8927989683724719,0.8974358974358975,0.9603174603174603,0.8705035971223022,0.8622222222222222,0.9150943396226415
-0.6769851615536073,0.8910358322123029,0.905982905982906,0.746031746031746,0.8506787330316742,0.9955555555555555,0.9313929313929314
-0.7198533972308834,0.8904960435633456,0.905982905982906,0.7380952380952381,0.8493150684931506,1.0,0.9316770186335404
0.7580166159553491,0.889956531686113,0.8945868945868946,0.9603174603174603,0.8673835125448028,0.8577777777777778,0.9125295508274232
-0.6969913266628955,0.8874575631837043,0.9031339031339032,0.7380952380952381,0.8454545454545455,0.9955555555555555,0.9294605809128631
0.8007200336825804,0.8873860182370821,0.8917378917378918,0.9682539682539683,0.8652482269503546,0.8488888888888889,0.9095238095238095
0.7724090755165904,0.8871191604603927,0.8917378917378918,0.9603174603174603,0.8642857142857143,0.8533333333333334,0.909952606635071
-0.7400202144131086,0.8868943816817045,0.9031339031339032,0.7301587301587301,0.8440366972477065,1.0,0.9297520661157025
0.8015334583251067,0.8845560268854837,0.8888888888888888,0.9682539682539683,0.8621908127208481,0.8444444444444444,0.9069212410501193
0.7869536781326565,0.8842866924201824,0.8888888888888888,0.9603174603174603,0.8612099644128114,0.8488888888888889,0.9073634204275535
-0.7545083244262989,0.8832723644828733,0.9002849002849003,0.7222222222222222,0.8387096774193549,1.0,0.9278350515463918
0.8074565359871608,0.8817305748365792,0.886039886039886,0.9682539682539683,0.8591549295774648,0.84,0.9043062200956937
-0.7834520789330465,0.8796296296296297,0.8974358974358975,0.7142857142857143,0.8333333333333334,1.0,0.9259259259259259
0.8185804524578258,0.8789095039757667,0.8831908831908832,0.9682539682539683,0.856140350877193,0.8355555555555556,0.9016786570743405
0.8411301454136334,0.8760926573426573,0.8803418803418803,0.9682539682539683,0.8531468531468531,0.8311111111111111,0.8990384615384616
-0.8138173624853426,0.8759658087006351,0.8945868945868946,0.7063492063492064,0.827906976744186,1.0,0.9240246406570842
0.867188101669336,0.8732798790982746,0.8774928774928775,0.9682539682539683,0.8501742160278746,0.8266666666666667,0.8963855421686747
-0.8407805800564134,0.8722805270415198,0.8917378917378918,0.6984126984126984,0.822429906542056,1.0,0.9221311475409836
0.883027201315593,0.8704710144927537,0.8746438746438746,0.9682539682539683,0.8472222222222222,0.8222222222222222,0.893719806763285
-0.8573007656633573,0.8685734036118552,0.8888888888888888,0.6904761904761905,0.8169014084507042,1.0,0.9202453987730062
0.8916365302095556,0.8676659098335247,0.8717948717948718,0.9682539682539683,0.8442906574394463,0.8177777777777778,0.8910411622276029
0.8963467631575042,0.8648644124539673,0.8689458689458689,0.9682539682539683,0.8413793103448276,0.8133333333333334,0.8883495145631068
-0.8617440115924382,0.8648440508278783,0.886039886039886,0.6825396825396826,0.8113207547169812,1.0,0.9183673469387755
0.9109437637488706,0.8620663706825193,0.8660968660968661,0.9682539682539683,0.8384879725085911,0.8088888888888889,0.8856447688564477
-0.8767644237830823,0.8610920744008262,0.8831908831908832,0.6746031746031746,0.8056872037914692,1.0,0.9164969450101833
0.9492873702712742,0.8595438175270108,0.8632478632478633,0.9761904761904762,0.8367346938775511,0.8,0.8823529411764706
0.9316616268436421,0.8592716338122286,0.8632478632478633,0.9682539682539683,0.8356164383561644,0.8044444444444444,0.8829268292682927
-0.8911825845194121,0.8573170731707318,0.8803418803418803,0.6666666666666666,0.8,1.0,0.9146341463414634
0.9621553775268775,0.8567525923458126,0.8603988603988604,0.9761904761904762,0.8338983050847457,0.7955555555555556,0.8796068796068796
