metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9351855617691918,0.01049333257286458
train_precision,0.9262521927963105,0.007244980066840277
train_recall,0.9766666666666666,0.012044157438154846
train_f1,0.9507669279030841,0.008149458484885071
train_roc_auc,0.9803331133113311,0.0073184399231657855
test_accuracy,0.8859154929577464,0.05072258618090754
test_precision,0.8722873764890572,0.04331816324394473
test_recall,0.9644444444444444,0.03370166864022911
test_f1,0.9158576795986668,0.036752790021273976
test_roc_auc,0.8963418803418802,0.07223938904862824
