metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9829079816980173,0.0038891547128580236
train_precision,0.975070126227209,0.004724421154127417
train_recall,0.9988888888888889,0.0024845199749997577
train_f1,0.9868312015853,0.002984966742240221
train_roc_auc,0.9997194719471947,0.00031622183392310233
test_accuracy,0.9400804828973843,0.046797751154245296
test_precision,0.9324942419150825,0.0375218270576965
test_recall,0.9777777777777779,0.03849001794597506
test_f1,0.9544565815849871,0.03577214411545415
test_roc_auc,0.9608341880341881,0.02820020262611589
