threshold,accuracy,macro_f1,f1_g,f1_b,recall_g,recall_b,precision_g,precision_b,accuracy_std,macro_f1_std,f1_g_std,f1_b_std,recall_g_std,recall_b_std,precision_g_std,precision_b_std
0.1,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.6507042253521127,0.40153256704980844,0.7876805187150014,0.015384615384615385,1.0,0.008,0.649738430583501,0.2,0.006298783035210675,0.018716277795754212,0.0030315097838193683,0.034401045807689073,0.0,0.01788854381999832,0.0041392002802812826,0.447213595499958
0.18,0.6619718309859155,0.4334005881192814,0.7931748026121892,0.07362637362637363,1.0,0.04,0.6573061900816665,0.6,0.017249927766078695,0.04798736665289919,0.008448034008012193,0.08753352558693464,0.0,0.04898979485566356,0.011670021321101603,0.5477225575051661
0.2,0.676056338028169,0.46968628837049886,0.8002191375875587,0.13915343915343914,1.0,0.08,0.6671763199517964,0.6,0.029877751317741445,0.07906858657866783,0.014851030494595152,0.14331691640960084,0.0,0.08485281374238571,0.020726910150400443,0.5477225575051661
0.22,0.6845070422535211,0.48996663541808727,0.8045618829647868,0.17537138787138787,1.0,0.10400000000000001,0.673383487197696,0.8,0.03805424249607407,0.09309959977919047,0.019378338326810164,0.1668937030644762,0.0,0.10807404868885039,0.027507175245554145,0.4472135954999579
0.24,0.7267605633802817,0.5884340148692329,0.8264591793296153,0.3504088504088504,1.0,0.22400000000000003,0.7048728085372251,1.0,0.047345736095694695,0.10149415601147928,0.025123815777071994,0.17794255079820312,0.0,0.1344618905117729,0.03671303372367484,0.0
0.26,0.7464788732394366,0.6369572087644826,0.8360739365089709,0.43784048101999423,0.9956521739130434,0.288,0.720895201741162,0.9714285714285715,0.035908588123892894,0.06919633379370078,0.020080794357633904,0.11876144771003211,0.009722034684781718,0.09549869109050657,0.0275859536598896,0.06388765649999398
0.28,0.7464788732394366,0.6407683135194234,0.8353764963198925,0.44616013071895433,0.9913043478260869,0.296,0.722156036168133,0.9532467532467532,0.028169014084507015,0.055356987098230837,0.015409077603485123,0.09587340847828704,0.011907012119677526,0.08294576541331088,0.02331654978512891,0.06660198132445758
0.3,0.771830985915493,0.6880540111358815,0.8494444652476746,0.5266635570240883,0.9913043478260869,0.368,0.7434516273820202,0.9595959595959596,0.03362629967975582,0.05960412933684484,0.019413789117194703,0.10042701983183497,0.011907012119677526,0.09121403400793103,0.02764703952851028,0.055784651601955886
0.32,0.7943661971830986,0.724777761335184,0.8626262183217086,0.5869293043486592,0.9913043478260869,0.43200000000000005,0.7643098941488845,0.9657142857142856,0.0462864133102957,0.08042482738033234,0.026684495381456924,0.13466954224673777,0.011907012119677526,0.13084341787036904,0.04063924364336379,0.04802210375420461
0.34,0.8169014084507042,0.7644887568420694,0.8754687417543143,0.6535087719298246,0.9913043478260869,0.496,0.7841344741163253,0.9675324675324676,0.03149391517605333,0.04664051369382513,0.019639474481076384,0.07385573649307066,0.011907012119677526,0.07797435475847167,0.027249247588402196,0.04498833266412667
0.36,0.8338028169014085,0.7901692848069957,0.8857497066040756,0.6945888630099157,0.9913043478260869,0.544,0.8008316785209338,0.9690476190476189,0.03645684255083037,0.05090885355182926,0.023406229899144988,0.07848875300002604,0.011907012119677526,0.08763560920082662,0.03272297672232538,0.04259177099999601
0.38,0.8591549295774648,0.825732034390738,0.9017796211957236,0.7496844475857521,0.9913043478260869,0.616,0.8278804376633134,0.9728070175438596,0.04453912197420254,0.06303876870322689,0.028200787212114723,0.09793027600376414,0.011907012119677526,0.11865917579353057,0.04405752058379371,0.03878542275339327
0.4,0.8816901408450704,0.8580361599185128,0.9158991596638655,0.8001731601731603,0.9913043478260869,0.68,0.8514550264550265,0.9761403508771929,0.03085760887353051,0.04040156027094499,0.020545084084713897,0.06033535709416159,0.011907012119677526,0.07483314773547878,0.029944935665900927,0.0330458517276382
0.42,0.9070422535211268,0.8908615181342323,0.9328249845392703,0.8488980517291942,0.9913043478260869,0.752,0.8812586142020106,0.9783625730994151,0.03391998472899239,0.04149871332075325,0.023654606143452408,0.059393546285647365,0.011907012119677526,0.08197560612767675,0.03590090852994926,0.029646296738331194
0.44,0.9126760563380282,0.8982354185048104,0.9365388579674294,0.8599319790421914,0.9913043478260869,0.768,0.8877387518142236,0.9789473684210526,0.028864650044956575,0.03473213649666958,0.020389393207222415,0.0491022774405957,0.011907012119677526,0.06572670690061994,0.029468604282492084,0.02882750302658773
0.46,0.9295774647887324,0.9190335038300839,0.9482360897857717,0.8898309178743962,0.9913043478260869,0.8160000000000001,0.909,0.9800000000000001,0.02987775131774144,0.03496876103058115,0.021586353951016702,0.048353270941140766,0.011907012119677526,0.06693280212272604,0.03171931518469841,0.027386127875258334
