threshold,accuracy,macro_f1,f1_g,f1_b,recall_g,recall_b,precision_g,precision_b,accuracy_std,macro_f1_std,f1_g_std,f1_b_std,recall_g_std,recall_b_std,precision_g_std,precision_b_std
0.1,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.6507042253521127,0.40153256704980844,0.7876805187150014,0.015384615384615385,1.0,0.008,0.649738430583501,0.2,0.0062987830352106665,0.01871627779575421,0.0030315097838193574,0.034401045807689073,0.0,0.017888543819998316,0.004139200280281293,0.4472135954999579
0.24,0.6591549295774648,0.42608507711955984,0.7917712938402593,0.0603988603988604,1.0,0.032,0.655345405767941,0.6,0.011783944035691201,0.034022694846655946,0.005713793927333994,0.06233394267762094,0.0,0.033466401061363026,0.00784025797124483,0.5477225575051661
0.26,0.6676056338028169,0.450079575596817,0.7958856469201298,0.10427350427350426,1.0,0.05600000000000001,0.6610060362173038,0.8,0.012597566070421335,0.036033898328979075,0.006122384919646756,0.0659468776651101,0.0,0.03577708763999663,0.008413574976378993,0.4472135954999579
0.28,0.6788732394366197,0.4799525817692305,0.8014767464893543,0.1584284170491067,1.0,0.088,0.668798026673356,1.0,0.018363950437190527,0.048084897274162285,0.009137182595911454,0.08703824608153449,0.0,0.05215361924162119,0.012755774159840153,0.0
0.3,0.6929577464788732,0.51548284156094,0.8085727833096253,0.22239289981225463,1.0,0.128,0.6787933634992458,1.0,0.02314320665514789,0.054837478676028784,0.011854641990768333,0.09783070255531001,0.0,0.06572670690061992,0.01688233616436078,0.0
0.32,0.704225352112676,0.5409661207535982,0.8144462154004806,0.2674860261067158,1.0,0.16,0.6872667474950178,1.0,0.03303109690016501,0.07344263050275056,0.017282522979072155,0.12963281995273931,0.0,0.0938083151964686,0.024988442494968212,0.0
0.34,0.7211267605633803,0.5783371981355258,0.823341062937718,0.3333333333333333,1.0,0.20800000000000002,0.700195786213144,1.0,0.04033189031908833,0.08368287802221373,0.021624281064797586,0.14580296087995107,0.0,0.11454256850621083,0.031827947127206685,0.0
0.36,0.7464788732394366,0.632100812475593,0.8368386144893074,0.42736301046187847,1.0,0.27999999999999997,0.7199662638757488,1.0,0.04106304151299508,0.0808175238758721,0.022403733472884334,0.13927741917962952,0.0,0.11661903789690602,0.03338624791151382,0.0
0.38,0.771830985915493,0.683909206375151,0.8501559770912619,0.51766243565904,0.9956521739130435,0.36,0.7424023423345074,0.9846153846153847,0.036456842550830384,0.07036205489107293,0.01968874715683348,0.12113546946209694,0.009722034684781694,0.1131370849898476,0.03261395635235811,0.03440104580768906
0.4,0.7971830985915493,0.7326802150282458,0.8638281414653795,0.6015322885911122,0.9913043478260869,0.44000000000000006,0.7656872240025172,0.9657142857142856,0.027455758717771724,0.04463485201626833,0.016308318423434016,0.07330710175511553,0.011907012119677526,0.07483314773547883,0.02399731273767093,0.04802210375420461
0.42,0.8422535211267606,0.8034297133027181,0.8907132920382492,0.7161461345671871,0.9913043478260869,0.568,0.8088713162215886,0.9739495798319329,0.01836395043719053,0.026147304687632565,0.011647488561159117,0.04096122039659825,0.011907012119677526,0.052153619241621166,0.018603797990389852,0.035948318716315014
0.44,0.8704225352112676,0.8431183703794793,0.9085004932666136,0.777736247492345,0.9913043478260869,0.648,0.8387070337070337,0.9761403508771929,0.023143206655147873,0.030872558266538674,0.015204586756701284,0.04664857875269661,0.011907012119677526,0.05932958789676527,0.02307581731319409,0.0330458517276382
0.46,0.8985915492957746,0.8798227916495739,0.9272034703470347,0.8324421129521132,0.9913043478260869,0.728,0.8715242995997713,0.9787114845938376,0.033626299679755875,0.042568409454978466,0.02283404974871181,0.06239430881016561,0.011907012119677526,0.09121403400793106,0.03830319679720772,0.02941843328429385
0.48,0.9126760563380282,0.898604249968985,0.9363227237326145,0.8608857762053553,0.9869565217391305,0.776,0.8909538700821402,0.9692716640085062,0.03053448364602647,0.03724772802433225,0.021316660197373983,0.05321168168479397,0.011907012119677514,0.07266360849833978,0.03211501302892794,0.028290746694052373
0.5,0.9295774647887324,0.9206165912004804,0.9472769690182904,0.8939562133826703,0.9782608695652174,0.8400000000000001,0.9182687074829932,0.9557312252964427,0.026349699906858707,0.02912598390149954,0.020112270366770872,0.03815006262284719,0.026624888508512787,0.02828427124746187,0.015222448918790819,0.05326077790073291
