seed,threshold,accuracy,macro_f1,f1_g,f1_b,recall_g,recall_b,precision_g,precision_b
0,0.1,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.12,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.14,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.16,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.18,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.2,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.22,0.647887323943662,0.39316239316239315,0.7863247863247863,0.0,1.0,0.0,0.647887323943662,0.0
0,0.24,0.7183098591549296,0.5773809523809523,0.8214285714285714,0.3333333333333333,1.0,0.2,0.696969696969697,1.0
0,0.26,0.7183098591549296,0.5965909090909092,0.8181818181818182,0.375,0.9782608695652174,0.24,0.703125,0.8571428571428571
0,0.28,0.7183098591549296,0.5965909090909092,0.8181818181818182,0.375,0.9782608695652174,0.24,0.703125,0.8571428571428571
0,0.3,0.7464788732394366,0.6519607843137255,0.8333333333333334,0.47058823529411764,0.9782608695652174,0.32,0.7258064516129032,0.8888888888888888
0,0.32,0.7605633802816901,0.6777036048064085,0.8411214953271028,0.5142857142857142,0.9782608695652174,0.36,0.7377049180327869,0.9
0,0.34,0.7746478873239436,0.7023060796645703,0.8490566037735849,0.5555555555555556,0.9782608695652174,0.4,0.75,0.9090909090909091
0,0.36,0.7887323943661971,0.7258687258687259,0.8571428571428571,0.5945945945945946,0.9782608695652174,0.44,0.7627118644067796,0.9166666666666666
0,0.38,0.7887323943661971,0.7258687258687259,0.8571428571428571,0.5945945945945946,0.9782608695652174,0.44,0.7627118644067796,0.9166666666666666
0,0.4,0.8309859154929577,0.7911764705882353,0.8823529411764706,0.7,0.9782608695652174,0.56,0.8035714285714286,0.9333333333333333
0,0.42,0.8732394366197183,0.8498942917547568,0.9090909090909091,0.7906976744186046,0.9782608695652174,0.68,0.8490566037735849,0.9444444444444444
0,0.44,0.8873239436619719,0.8682745825602969,0.9183673469387755,0.8181818181818182,0.9782608695652174,0.72,0.8653846153846154,0.9473684210526315
0,0.46,0.9014084507042254,0.8861397479954181,0.9278350515463918,0.8444444444444444,0.9782608695652174,0.76,0.8823529411764706,0.95
0,0.48,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348
0,0.5,0.9436619718309859,0.9370567375886525,0.9574468085106383,0.9166666666666666,0.9782608695652174,0.88,0.9375,0.9565217391304348
0,0.52,0.9436619718309859,0.9382608695652175,0.9565217391304348,0.92,0.9565217391304348,0.92,0.9565217391304348,0.92
0,0.54,0.9436619718309859,0.9382608695652175,0.9565217391304348,0.92,0.9565217391304348,0.92,0.9565217391304348,0.92
0,0.56,0.9436619718309859,0.9382608695652175,0.9565217391304348,0.92,0.9565217391304348,0.92,0.9565217391304348,0.92
0,0.58,0.9295774647887324,0.9235078646843353,0.945054945054945,0.9019607843137255,0.9347826086956522,0.92,0.9555555555555556,0.8846153846153846
0,0.6,0.9154929577464789,0.908974358974359,0.9333333333333333,0.8846153846153846,0.9130434782608695,0.92,0.9545454545454546,0.8518518518518519
0,0.62,0.9154929577464789,0.908974358974359,0.9333333333333333,0.8846153846153846,0.9130434782608695,0.92,0.9545454545454546,0.8518518518518519
