metric,cv_mean,cv_std
seed,42.0,0.0
train_accuracy,0.9807676664972039,0.001970259261690941
train_precision,0.9844688622076813,0.002436605045495186
train_recall,0.9855555555555556,0.003042903097250973
train_f1,0.985007651808013,0.001528761241820481
train_roc_auc,0.9958946094609461,0.002272800711668044
test_accuracy,0.9600402414486922,0.021250285621157317
test_precision,0.960659322176436,0.00989637912151118
test_recall,0.9777777777777779,0.02721655269759086
test_f1,0.9690316034722484,0.016792542340187504
test_roc_auc,0.9822358974358973,0.01691678377334131
