rank_test_macro_f1,param_classifier__kernel,param_classifier__C,param_classifier__gamma,param_classifier__degree,param_classifier__coef0,param_classifier__class_weight,mean_test_macro_f1,std_test_macro_f1,mean_test_f1_b,std_test_f1_b,mean_test_recall_b,std_test_recall_b,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_train_macro_f1,std_train_macro_f1
11,rbf,1.0,0.03,,,balanced,0.9432745533184109,0.019354223838074436,0.9258254450716457,0.02575740540540838,0.8966153846153846,0.032481583311745624,0.948651911468813,0.01725058489366762,0.981182905982906,0.013998864109706992,0.9728957690473543,0.0035315289453256116
12,rbf,10.0,0.01,,,,0.942775063909363,0.022037559933610597,0.9244468085106383,0.02957636948154164,0.8806153846153846,0.036479385440686636,0.9486519114688129,0.01947345198558431,0.9774358974358975,0.023634433080956717,0.9797480463578461,0.005740446681468096
13,rbf,1.0,0.1,,,,0.9416163522861927,0.017161109457103713,0.9260034680538883,0.02018464113017611,0.9366153846153846,0.01912648648359387,0.9458350100603623,0.0167442148667446,0.9843829059829059,0.014881409997159003,0.9891436814082863,0.003810373058930311
14,rbf,10.0,0.1,,,,0.941475975570194,0.02387640315135686,0.9255656979773041,0.028840579615202214,0.9286153846153846,0.015737491510823872,0.9458350100603623,0.022918697403809488,0.977982905982906,0.020007776996249574,0.996896916882756,0.0015515717717266627
15,rbf,10.0,scale,,,balanced,0.9405630166135441,0.022462798388415684,0.9228233519266954,0.028575374023863592,0.8975384615384616,0.04492307692307693,0.9459154929577466,0.020834580146678872,0.9802871794871795,0.015535181171888313,0.9930244736844402,0.003810791095829059
15,rbf,10.0,0.03,,,balanced,0.9405630166135441,0.022462798388415684,0.9228233519266954,0.028575374023863592,0.8975384615384616,0.04492307692307693,0.9459154929577466,0.020834580146678872,0.9801094017094016,0.015839628747186932,0.9930244736844402,0.003810791095829059
17,rbf,1.0,scale,,,balanced,0.9401002109306844,0.015834801474748264,0.921580547112462,0.02110416004041207,0.8889230769230769,0.029742882396540514,0.9458350100603623,0.014097378424461961,0.9813606837606837,0.013685712209425967,0.9728957690473543,0.0035315289453256116
18,rbf,10.0,0.03,,,,0.9399590656990343,0.018446457635853824,0.9210703430308295,0.024532453275693283,0.8815384615384616,0.041028205048081946,0.9459154929577466,0.01645644019118156,0.9781675213675214,0.017367569822935313,0.9899161721391465,0.0019095845919205748
19,rbf,0.3,scale,,,balanced,0.9370272270608627,0.017454299359910372,0.9177822277847308,0.022887134041306514,0.8886153846153846,0.03060881259186683,0.9429376257545272,0.01579629361206083,0.9799794871794874,0.011236699315114021,0.9517227622742718,0.005290149417035539
19,rbf,0.3,0.03,,,balanced,0.9370272270608627,0.017454299359910372,0.9177822277847308,0.022887134041306514,0.8886153846153846,0.03060881259186683,0.9429376257545272,0.01579629361206083,0.9798017094017094,0.011319046311815099,0.9517227622742718,0.005290149417035539
21,rbf,10.0,scale,,,,0.936990986159526,0.022023709932082025,0.9174785062961355,0.0286263768325843,0.8815384615384616,0.041028205048081946,0.9430583501006037,0.02006430722304695,0.9783384615384616,0.017542874105448397,0.9906940798178707,0.001918457680152539
